"spo","meanW","semW"
"SPO_Sp16SA",1.05,0
"SPO_Sp16SB",1.05,0
"SPO_Sp16SC",1.06,0
"SPO_Sp23SA",1.02,0
"SPO_Sp23SB",1.02,0
"SPO_Sp5SD",1.02,0.01
"SPO_Sp5SE",1.02,0.01
"SPO_Sp5SF",1.02,0.02
"SPO0001",0.82,0.04
"SPO0002",1.06,0.01
"SPO0003",0.18,0.18
"SPO0005",1.05,0.01
"SPO0006",1.03,0.01
"SPO0007",1.02,0.01
"SPO0008",0.96,0.02
"SPO0009",0.96,0.02
"SPO0010",0,0
"SPO0011",0.99,0.01
"SPO0012",1.04,0.01
"SPO0013",1,0.01
"SPO0014",1,0.01
"SPO0015",1.02,0.01
"SPO0016",0.98,0.01
"SPO0017",0.99,0.01
"SPO0018",0.12,0.07
"SPO0019",1,0.01
"SPO0020",1.02,0.01
"SPO0021",0.95,0.01
"SPO0022",0.97,0.01
"SPO0023",1,0.01
"SPO0024",0.93,0.01
"SPO0025",1.02,0.03
"SPO0027",1,0.01
"SPO0028",0.99,0.01
"SPO0029",1.02,0.01
"SPO0030",1.03,0.01
"SPO0031",1.01,0.02
"SPO0033",1.02,0.01
"SPO0034",0.98,0.01
"SPO0035",0.98,0.01
"SPO0036",0.98,0.01
"SPO0037",1,0.01
"SPO0040",1.03,0.01
"SPO0041",1,0.02
"SPO0042",1.03,0.01
"SPO0044",0.85,0.07
"SPO0045",1.01,0.01
"SPO0046",0.96,0.03
"SPO0046a",1.02,0.04
"SPO0047",0.97,0.02
"SPO0048",1,0.03
"SPO0049",0.98,0.02
"SPO0050",0.99,0.01
"SPO0051",0.98,0.02
"SPO0052",1.04,0.02
"SPO0053",0.98,0.01
"SPO0054",1,0.01
"SPO0055",0.99,0.02
"SPO0056",0.99,0.01
"SPO0057",0.79,0.2
"SPO0058",1.04,0.01
"SPO0059",1.02,0.02
"SPO0060",1.05,0.01
"SPO0062",0.49,0.28
"SPO0063",0.26,0.26
"SPO0066",0.97,0
"SPO0067",1.04,0.09
"SPO0068",0.92,0.03
"SPO0069",1,0
"SPO0070",1,0.02
"SPO0071",0.92,0.04
"SPO0072",0.84,0.28
"SPO0075",1.06,0.01
"SPO0077",0.92,0.02
"SPO0078",1.02,0.02
"SPO0084",1.03,0.02
"SPO0085",0.97,0.02
"SPO0086",1.03,0.01
"SPO0087",0.98,0.01
"SPO0088",1.02,0.02
"SPO0089",0.98,0.02
"SPO0090",0.96,0.02
"SPO0091",1.01,0.01
"SPO0092",1,0.01
"SPO0093",1.01,0.02
"SPO0094",0.98,0.01
"SPO0095",0.93,0.03
"SPO0096",0.99,0.02
"SPO0097",0.98,0.01
"SPO0098",0.95,0.02
"SPO0099",0.97,0.02
"SPO0100",1.02,0.02
"SPO0101",0.99,0.01
"SPO0102",1.01,0.02
"SPO0103",1.03,0.04
"SPO0104",1,0.01
