"spo","meanW","semW"
"SPO_Sp16SA",1.05,0.01
"SPO_Sp16SB",1.05,0.01
"SPO_Sp16SC",1.05,0.01
"SPO_Sp23SA",1.02,0
"SPO_Sp23SB",1.02,0
"SPO_Sp5SD",1.02,0
"SPO_Sp5SE",1.01,0
"SPO_Sp5SF",1.01,0
"SPO0001",0.81,0.01
"SPO0002",1.05,0.01
"SPO0003",0,0
"SPO0005",1.03,0.02
"SPO0006",1.02,0.01
"SPO0007",1.02,0.02
"SPO0008",0.99,0.01
"SPO0009",0.97,0.02
"SPO0010",0.56,0.21
"SPO0011",1,0.01
"SPO0012",1.04,0.01
"SPO0013",0.99,0.02
"SPO0014",1,0.01
"SPO0015",1.02,0.01
"SPO0016",1,0.02
"SPO0017",1.02,0.01
"SPO0018",0.07,0.04
"SPO0019",0.98,0.01
"SPO0020",1.02,0.01
"SPO0021",0.95,0.01
"SPO0022",1,0.01
"SPO0023",1,0
"SPO0024",0.93,0.01
"SPO0025",1,0
"SPO0027",1,0.01
"SPO0028",0.99,0.01
"SPO0029",1.05,0.02
"SPO0030",1.03,0.01
"SPO0031",1.02,0.01
"SPO0033",1.03,0.01
"SPO0034",1,0.01
"SPO0035",0.98,0.01
"SPO0036",0.98,0
"SPO0037",1,0
"SPO0040",1,0.01
"SPO0041",1.04,0.01
"SPO0042",1,0.01
"SPO0044",0.92,0.04
"SPO0045",1,0.02
"SPO0046",0.95,0.01
"SPO0046a",0.99,0.05
"SPO0047",0.95,0.02
"SPO0048",0.96,0.03
"SPO0049",0.97,0.01
"SPO0050",0.96,0.01
"SPO0051",0.98,0
"SPO0052",1,0.01
"SPO0053",1,0.01
"SPO0054",0.97,0.01
"SPO0055",1.02,0.01
"SPO0056",1.02,0.01
"SPO0057",0.9,0.16
"SPO0058",1.02,0.01
"SPO0059",0.99,0.01
"SPO0060",1.05,0.01
"SPO0062",0.39,0.23
"SPO0063",0.61,0.21
"SPO0066",0.93,0.01
"SPO0067",0.91,0.05
"SPO0068",0.95,0.02
"SPO0069",1,0.01
"SPO0070",1,0.01
"SPO0071",0.99,0.03
"SPO0072",0.8,0.1
"SPO0075",1.05,0.01
"SPO0077",0.91,0.02
"SPO0078",1.06,0.02
"SPO0084",1.02,0.01
"SPO0085",0.91,0.04
"SPO0086",1.03,0.01
"SPO0087",1.01,0
"SPO0088",1,0.02
"SPO0089",0.98,0.01
"SPO0090",0.99,0.02
"SPO0091",1.03,0.01
"SPO0092",0.97,0.02
"SPO0093",1.02,0.01
"SPO0094",0.95,0.01
"SPO0095",0.96,0.01
"SPO0096",0.99,0.02
"SPO0097",0.98,0.02
"SPO0098",0.96,0.01
"SPO0099",0.96,0.02
