"spo","w_1","w_2","w_3","w_4"
"SPO_Sp16SA",0.96,0.97,0.96,0.98
"SPO_Sp16SB",0.95,0.97,0.96,0.98
"SPO_Sp16SC",0.95,0.97,0.96,0.98
"SPO_Sp23SA",0.95,0.97,0.96,0.96
"SPO_Sp23SB",0.96,0.97,0.96,0.96
"SPO_Sp5SD",1.01,0.99,0.98,1
"SPO_Sp5SE",0.96,0.97,1,0.98
"SPO_Sp5SF",0.93,0.96,0.99,0.96
"SPO0001",0.71,0.84,0.85,0.9
"SPO0002",0.98,1.09,1.03,0.99
"SPO0003",NA,0.71,0.92,NA
"SPO0004",NA,NA,NA,NA
"SPO0005",1.08,1.04,1.07,1.05
"SPO0006",0.99,1.03,1.03,1.06
"SPO0007",1.05,1.03,1.08,0.99
"SPO0008",1.01,0.96,0.97,0.99
"SPO0009",0.97,0.89,1.01,0.95
"SPO0010",0,0.79,0.65,0
"SPO0011",0.99,0.98,1,0.99
"SPO0012",1.08,1,1,0.99
"SPO0013",0.96,0.99,1.05,0.99
"SPO0014",0.99,1,0.94,0.99
"SPO0015",1.03,1.14,1.04,0.99
"SPO0016",0.99,1.03,0.98,0.93
"SPO0017",1.02,1,1.02,1.04
"SPO0018",0,0,0,0
"SPO0019",0.94,0.98,1,0.97
"SPO0020",1.01,1.01,1.05,1.02
"SPO0021",0.93,0.91,0.9,0.96
"SPO0022",0.97,0.99,1,1.02
"SPO0023",1.06,1.03,1.04,0.99
"SPO0024",0.88,0.93,0.89,0.95
"SPO0025",1.05,1.01,1.04,0.96
"SPO0026",NA,NA,NA,NA
"SPO0027",0.98,0.98,0.98,1
"SPO0028",0.96,0.99,1,1.02
"SPO0029",1.08,1.05,1.07,0.99
"SPO0030",1.05,1.04,1.01,0.99
"SPO0031",1.07,1.03,1.05,1.02
"SPO0033",1.11,1.04,1.01,1.02
"SPO0034",1.04,0.96,0.99,1.02
"SPO0035",1,0.99,1.03,0.97
"SPO0036",0.98,1,0.98,0.98
"SPO0037",1,1,0.98,0.98
"SPO0038",NA,NA,NA,NA
"SPO0039",NA,NA,NA,NA
"SPO0040",0.98,1.02,0.99,1.04
"SPO0041",1.06,1.07,1.03,1.01
"SPO0042",1.06,1.02,1.04,0.96
"SPO0043",NA,NA,NA,NA
"SPO0044",1.07,0.75,0.88,1.02
"SPO0045",1.03,0.96,1.02,0.95
"SPO0046",0.95,0.91,0.91,0.92
"SPO0046a",0.89,1.07,1.08,0.89
"SPO0047",0.93,0.84,0.94,1.03
"SPO0048",0.99,0.95,0.96,1.08
"SPO0049",1.04,0.99,0.98,1.01
