"spo","pval","gene","funct","NCBI","padj"
"SPO_Sp16SA",0.0294,"16S rRNA","","",0.340563253012048
"SPO_Sp16SB",0.2092,"16S rRNA","","",1
"SPO_Sp16SC",0.1964,"16S rRNA","","",1
"SPO_Sp23SA",0.0266,"23S rRNA","","",0.340563253012048
"SPO_Sp23SB",0,"23S rRNA","","",0
"SPO_Sp5SD",0,"5S rRNA","","",0
"SPO_Sp5SE",0.1436,"5S rRNA","","",0.874424960505529
"SPO_Sp5SF",0.398,"5S rRNA","","",1
"SPO0001",0.5074,"gidA","glucose inhibited division protein A","SPO_RS00005",1
"SPO0002",0.9984,"gidB","glucose-inhibited division protein B","SPO_RS22355",1
"SPO0003",0.6078,"parA","chromosome partitioning protein ParA","SPO_RS00015",1
"SPO0005",0,"SPO0005","hypothetical protein","SPO_RS00025",0
"SPO0006",1,"SPO0006","oxygen-independent coproporphyrinogen III oxidase, putative","SPO_RS00030",1
"SPO0007",1.0024,"SPO0007","non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family","SPO_RS00035",1
"SPO0008",0.2028,"rph","ribonuclease PH","SPO_RS00040",1
"SPO0009",0.6124,"hrcA","heat-inducible transcription repressor HrcA","SPO_RS00045",1
"SPO0010",0.4362,"grpE","co-chaperone GrpE","SPO_RS00050",1
"SPO0011",0.4156,"mutS","DNA mismatch repair protein MutS","SPO_RS00055",1
"SPO0012",1.002,"maeB","NADP-dependent malic enzyme","SPO_RS00060",1
"SPO0013",0.7994,"rbsK","ribokinase","SPO_RS00065",1
"SPO0014",0.7046,"msrA-1","methionine-S-sulfoxide reductase","SPO_RS00070",1
"SPO0015",0.9902,"SPO0015","hypothetical protein","SPO_RS00075",1
"SPO0016",0.6618,"SPO0016","sterol carrier family protein","SPO_RS00080",1
"SPO0017",1.012,"SPO0017","hypothetical protein","SPO_RS00085",1
"SPO0018",0,"argG","argininosuccinate synthase","SPO_RS00090",0
"SPO0019",0.5786,"SPO0019","hypothetical protein","SPO_RS00095",1
"SPO0020",0.9988,"ilvA","threonine dehydratase","SPO_RS00100",1
"SPO0021",0.0278,"SPO0021","Hpt domain protein","SPO_RS00105",0.340563253012048
"SPO0022",0.4048,"SPO0022","response regulator","SPO_RS00110",1
"SPO0023",1.0102,"SPO0023","hydrolase, NUDIX family","SPO_RS00115",1
"SPO0024",0.6434,"hslO","chaperonin, 33 kDa","SPO_RS00120",1
"SPO0025",0.9482,"SPO0025","hydrolase, NUDIX family","SPO_RS00125",1
"SPO0027",1.003,"SPO0027","ABC transporter, transmembrane ATP-binding protein","SPO_RS00135",1
"SPO0028",1.3406,"SPO0028","ABC transporter, transmembrane ATP-binding protein","SPO_RS00140",1
"SPO0029",0,"rumA","23S rRNA (Uracil-5-)-methyltransferase rumA","SPO_RS00145",0
"SPO0030",0.9882,"SPO0030","voltage-gated sodium channel","SPO_RS00150",1
"SPO0031",1.5648,"SPO0031","ErfK/YbiS/YcfS/YnhG family protein","SPO_RS00155",1
"SPO0033",0.9976,"SPO0033","transcriptional regulator, LysR family","SPO_RS00165",1
"SPO0034",0.489,"SPO0034","hypothetical protein","SPO_RS00170",1
"SPO0035",1.1686,"SPO0035","core-2/I-branching enzyme family protein","SPO_RS00175",1
"SPO0036",1.006,"SPO0036","hypothetical protein","SPO_RS00180",1
"SPO0037",0.3128,"SPO0037","hypothetical protein","SPO_RS00185",1
"SPO0040",0,"SPO0040","ABC transporter, permease protein","SPO_RS00200",0
"SPO0041",0.9976,"SPO0041","hypothetical protein","SPO_RS22085",1
"SPO0042",0.7466,"SPO0042","alkylated DNA repair protein, putative","SPO_RS00210",1
"SPO0044",0.5062,"dnaJ","chaperone protein DnaJ","SPO_RS00220",1
"SPO0045",0.4346,"thiD","phosphomethylpyrimidine kinase","SPO_RS00225",1
"SPO0046",0.9952,"SPO0046","thiamine biosynthesis oxidoreductase ThiO, putative","SPO_RS00230",1
"SPO0046a",1.0054,"thiS","thiamine biosynthesis protein ThiS","SPO_RS00235",1
"SPO0047",0.8294,"thiG","thiazole biosynthesis protein ThiG","SPO_RS00240",1
"SPO0048",0.4388,"thiE","thiamine-phosphate pyrophosphorylase","SPO_RS00245",1
"SPO0049",0.7316,"SPO0049","thiamine biosynthesis protein ThiF","SPO_RS00250",1
"SPO0050",0.6364,"SPO0050","ABC transporter, periplasmic substrate-binding protein","SPO_RS00255",1
"SPO0051",0.5514,"SPO0051","TENA/THI-4 family protein","SPO_RS00260",1
"SPO0052",0.5486,"SPO0052","ABC transporter, ATP-binding protein","SPO_RS00265",1
"SPO0053",0.6668,"SPO0053","ABC transporter, permease protein","SPO_RS00270",1
"SPO0054",0.9206,"radC","DNA repair protein RadC","SPO_RS00275",1
"SPO0055",1.565,"SPO0055","OmpA domain protein","SPO_RS00280",1
"SPO0056",1.34,"SPO0056","hypothetical protein","SPO_RS00285",1
"SPO0057",0.4054,"secA","preprotein translocase, SecA subunit","SPO_RS00290",1
"SPO0058",0.9986,"SPO0058","PPIC-type PPIASE domain protein","SPO_RS00295",1
"SPO0059",0.7518,"argJ","glutamate N-acetyltransferase/amino-acid acetyltransferase","SPO_RS00300",1
"SPO0060",0,"mutT","mutator mutT protein","SPO_RS00305",0
"SPO0062",0.6614,"SPO0062","hypothetical protein","SPO_RS00315",1
"SPO0063",0.139,"nusA","transcription termination factor NusA","SPO_RS00320",0.874424960505529
"SPO0066",1.2722,"pip","proline iminopeptidase","SPO_RS00335",1
"SPO0067",0.8552,"ubiG","3-demethylubiquinone-9 3-methyltransferase","SPO_RS00340",1
"SPO0068",0.114,"SPO0068","transcriptional regulator, putative","SPO_RS00345",0.839901923076923
"SPO0069",0.1328,"SPO0069","hydrolase, carbon-nitrogen family","SPO_RS00350",0.874424960505529
"SPO0070",0.9046,"SPO0070","glutaredoxin","SPO_RS00355",1
"SPO0071",0,"SPO0071","competence protein F, putative","SPO_RS00360",0
"SPO0072",0.407,"SPO0072","hypothetical protein","SPO_RS00365",1
"SPO0075",1.573,"SPO0075","ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein","SPO_RS00380",1
"SPO0077",0.0628,"ptsN","PTS IIA-like nitrogen-regulatory protein PtsN","SPO_RS00390",0.596519280205655
"SPO0078",0,"SPO0078","ribosomal subunit interface protein, putative","SPO_RS00395",0
"SPO0084",0,"betB","betaine aldehyde dehydrogenase","SPO_RS00425",0
"SPO0085",0.5258,"SPO0085","hypothetical protein","SPO_RS00430",1
"SPO0086",1.5784,"SPO0086","lipoprotein, putative","SPO_RS00435",1
"SPO0087",0.6436,"SPO0087","hypothetical protein","SPO_RS00440",1
"SPO0088",1.1354,"SPO0088","hypothetical protein","SPO_RS00445",1
