"spo","meanW","semW"
"SPO_Sp16SA",1.047,0.005
"SPO_Sp16SB",1.047,0.006
"SPO_Sp16SC",1.046,0.005
"SPO_Sp23SA",1.021,0.004
"SPO_Sp23SB",1.019,0.004
"SPO_Sp5SD",1.018,0.002
"SPO_Sp5SE",1.009,0.005
"SPO_Sp5SF",1.011,0.004
"SPO0001",0.807,0.006
"SPO0002",1.045,0.013
"SPO0003",0,0
"SPO0005",1.03,0.016
"SPO0006",1.018,0.011
"SPO0007",1.024,0.013
"SPO0008",0.989,0.008
"SPO0009",0.965,0.017
"SPO0010",0.564,0.214
"SPO0011",0.996,0.006
"SPO0012",1.043,0.008
"SPO0013",0.988,0.016
"SPO0014",0.993,0.007
"SPO0015",1.02,0.011
"SPO0016",0.998,0.017
"SPO0017",1.015,0.009
"SPO0018",0.067,0.039
"SPO0019",0.977,0.006
"SPO0020",1.02,0.012
"SPO0021",0.949,0.009
"SPO0022",1.004,0.01
"SPO0023",1.001,0.005
"SPO0024",0.931,0.008
"SPO0025",0.994,0.004
"SPO0027",0.992,0.005
"SPO0028",0.989,0.007
"SPO0029",1.046,0.02
"SPO0030",1.031,0.006
"SPO0031",1.021,0.015
"SPO0033",1.03,0.011
"SPO0034",0.996,0.009
"SPO0035",0.986,0.011
"SPO0036",0.981,0.003
"SPO0037",0.994,0.004
"SPO0040",1,0.008
"SPO0041",1.04,0.012
"SPO0042",0.996,0.007
"SPO0044",0.925,0.043
"SPO0045",0.998,0.022
"SPO0046",0.951,0.01
"SPO0046a",0.992,0.052
"SPO0047",0.95,0.019
"SPO0048",0.957,0.032
"SPO0049",0.966,0.006
"SPO0050",0.957,0.014
"SPO0051",0.981,0.004
"SPO0052",0.994,0.009
"SPO0053",0.994,0.007
"SPO0054",0.971,0.011
"SPO0055",1.025,0.008
"SPO0056",1.015,0.008
"SPO0057",0.895,0.159
"SPO0058",1.017,0.009
"SPO0059",0.99,0.007
"SPO0060",1.051,0.015
"SPO0062",0.392,0.227
"SPO0063",0.611,0.206
"SPO0066",0.931,0.014
"SPO0067",0.911,0.048
"SPO0068",0.952,0.018
"SPO0069",0.999,0.008
"SPO0070",1,0.013
"SPO0071",0.991,0.026
"SPO0072",0.805,0.1
"SPO0075",1.05,0.013
"SPO0077",0.907,0.017
"SPO0078",1.055,0.015
"SPO0084",1.019,0.008
"SPO0085",0.91,0.038
"SPO0086",1.03,0.004
"SPO0087",1.009,0.001
"SPO0088",0.997,0.017
"SPO0089",0.982,0.011
"SPO0090",0.986,0.017
"SPO0091",1.028,0.008
"SPO0092",0.97,0.023
"SPO0093",1.019,0.007
"SPO0094",0.952,0.008
"SPO0095",0.958,0.007
"SPO0096",0.992,0.023
"SPO0097",0.98,0.016
"SPO0098",0.957,0.014
"SPO0099",0.961,0.016
"SPO0100",1.029,0.014
"SPO0101",0.987,0.009
"SPO0102",0.992,0.013
"SPO0103",1.032,0.017
"SPO0104",1.005,0.004
"SPO0105",0.992,0.017
"SPO0106",1.008,0.011
"SPO0107",1.018,0.007
"SPO0108",0.938,0.023
"SPO0109",1.012,0.007
"SPO0110",1.017,0.003
"SPO0111",1.032,0.008
"SPO0112",1.018,0.004
"SPO0113",1.024,0.016
"SPO0114",1.022,0.02
"SPO0115",0.995,0.004
"SPO0116",1.017,0.011
"SPO0118",0.948,0.005
"SPO0119",1.049,0.036
"SPO0120",0.998,0.018
"SPO0122",0.99,0.038
"SPO0123",0.991,0.014
"SPO0124",1.026,0.004
"SPO0125",1.017,0.024
"SPO0126",1.031,0.011
"SPO0127",1.108,0.05
"SPO0128",1.006,0.017
"SPO0129",1.04,0.013
"SPO0130",0.922,0.02
"SPO0131",1.042,0.025
"SPO0132",0.956,0.008
"SPO0133",0.992,0.005
"SPO0134",1.052,0.069
"SPO0135",0.965,0.021
"SPO0136",0.984,0.018
"SPO0137",0.993,0.011
"SPO0138",0.957,0.007
"SPO0139",0.99,0.017
"SPO0140",0.954,0.019
"SPO0141",0.906,0.031
"SPO0142",1.01,0.004
"SPO0143",0.94,0.026
"SPO0146",1.031,0.011
"SPO0147",0.466,0.198
"SPO0151",0.969,0.015
"SPO0152",0.989,0.006
"SPO0153",0.87,0.041
"SPO0154",1.027,0.024
"SPO0156",1.014,0.012
"SPO0157",1.004,0.012
"SPO0160",1.032,0.006
"SPO0161",0.981,0.008
"SPO0162",0.976,0.023
"SPO0163",0.97,0.004
"SPO0164",0.98,0.013
"SPO0165",0.953,0.034
"SPO0166",0.971,0.025
"SPO0167",0.997,0.018
"SPO0168",1.035,0.029
"SPO0169",0.934,0.018
"SPO0170",0.969,0.026
"SPO0171",0.966,0.037
"SPO0172",0.949,0.03
"SPO0173",0.953,0.074
"SPO0174",0.929,0.042
"SPO0175",0.924,0.023
"SPO0176",0.958,0.052
"SPO0177",0.974,0.016
"SPO0178",0.952,0.052
"SPO0179",0.906,0.05
"SPO0180",0.847,0.07
"SPO0181",0.91,0.043
"SPO0182",0.945,0.009
"SPO0183",0.988,0.011
"SPO0184",1.043,0.007
"SPO0185",1.03,0.001
"SPO0186",1.04,0.007
"SPO0187",0.97,0.039
"SPO0188",0.98,0.011
"SPO0189",0.96,0.031
"SPO0190",0.993,0.006
"SPO0191",0.981,0.012
"SPO0192",1.005,0.01
"SPO0193",0.932,0.019
"SPO0194",0.978,0.014
"SPO0195",0.995,0.025
"SPO0196",1.007,0.028
"SPO0197",1.012,0.016
"SPO0198",1.002,0.03
"SPO0199",0.99,0.013
"SPO0200",0.947,0.014
"SPO0201",0.965,0.051
"SPO0202",1.002,0.022
"SPO0203",0.993,0.012
"SPO0204",0.96,0.016
"SPO0205",0.989,0.009
"SPO0206",0.975,0.025
"SPO0207",1,0.014
"SPO0209",0.985,0.027
"SPO0210",0.054,0.032
"SPO0211",0.977,0.011
"SPO0212",0.996,0.016
"SPO0213",0.992,0.018
"SPO0214",0.987,0.01
"SPO0215",0.291,0.065
"SPO0216",0.15,0.029
"SPO0217",0.598,0.214
"SPO0218",0.981,0.013
"SPO0219",1.024,0.009
"SPO0220",1.002,0.006
"SPO0221",1.022,0.042
"SPO0222",1.019,0.014
"SPO0223",0.969,0.024
"SPO0224",0.958,0.015
"SPO0225",0.978,0.025
"SPO0226",0.997,0.013
"SPO0227",1.04,0.007
"SPO0228",1.02,0.011
"SPO0230",1.009,0.039
"SPO0231",1.029,0.008
"SPO0232",0.99,0.002
"SPO0233",0.972,0.052
"SPO0234",1.057,0.009
"SPO0235",1.048,0.007
"SPO0236",1.006,0.011
"SPO0237",1.037,0.016
"SPO0238",0.973,0.009
"SPO0239",1.02,0.011
"SPO0240",0.995,0.01
"SPO0241",0.98,0.03
"SPO0248",0.989,0.01
"SPO0249",1.094,0.049
"SPO0250",0.975,0.021
"SPO0252",0.365,0.218
"SPO0253",1.048,0.012
"SPO0254",1.054,0.009
"SPO0255",0.983,0.018
"SPO0256",1.067,0.032
"SPO0257",0.936,0.037
"SPO0258",1.016,0.01
"SPO0259",0.903,0.056
"SPO0260",0.985,0.022
"SPO0261",0.988,0.004
"SPO0263",0.964,0.006
"SPO0264",1.007,0.014
"SPO0265",0.989,0.017
"SPO0266",0.981,0.04
"SPO0268",1.01,0.024
"SPO0269",0.988,0.024
"SPO0270",1.065,0.029
"SPO0274",0.955,0.033
"SPO0275",1.048,0.028
"SPO0276",0.985,0.024
"SPO0277",0.957,0.014
"SPO0280",0.986,0.019
"SPO0281",0.969,0.034
"SPO0282",0.976,0.056
"SPO0284",0.339,0.087
"SPO0285",0.952,0.031
"SPO0286",0.906,0.023
"SPO0287",0.133,0.133
"SPO0289",0.87,0.039
"SPO0290",0.924,0.013
"SPO0291",0.755,0.038
"SPO0292",0.981,0.019
"SPO0293",0.992,0.01
"SPO0294",0.877,0.034
"SPO0295",0.968,0.008
"SPO0296",1.03,0.015
"SPO0297",0.682,0.118
"SPO0298",0.982,0.008
"SPO0299",1.028,0.02
"SPO0300",1.02,0.008
"SPO0301",1.005,0.01
"SPO0302",0.947,0.036
"SPO0303",1.057,0.021
"SPO0304",1.073,0.008
"SPO0305",1.003,0.032
"SPO0306",0.885,0.024
"SPO0307",0.851,0.023
"SPO0308",0.933,0.046
"SPO0309",0.971,0.024
"SPO0310",0.943,0.023
"SPO0311",1.067,0.012
"SPO0312",0.999,0.019
