"spo","meanW","semW"
"SPO_Sp16SA",1.042,0.003
"SPO_Sp16SB",1.043,0.005
"SPO_Sp16SC",1.043,0.004
"SPO_Sp23SA",1.013,0.005
"SPO_Sp23SB",1.014,0.005
"SPO_Sp5SD",1.018,0.01
"SPO_Sp5SE",1.019,0.011
"SPO_Sp5SF",1.024,0.014
"SPO0001",0.788,0.019
"SPO0002",1.043,0.012
"SPO0003",0.518,0.518
"SPO0005",1.063,0.021
"SPO0006",1.008,0.009
"SPO0007",1.019,0.015
"SPO0008",0.961,0.004
"SPO0009",0.953,0.014
"SPO0010",0,0
"SPO0011",0.988,0.01
"SPO0012",1.039,0.012
"SPO0013",0.986,0.017
"SPO0014",1.001,0.011
"SPO0015",1.005,0.015
"SPO0016",1.018,0.024
"SPO0017",1.014,0.013
"SPO0018",0.094,0.094
"SPO0019",0.975,0.01
"SPO0020",1.007,0.01
"SPO0021",0.961,0.007
"SPO0022",0.977,0.011
"SPO0023",1.026,0.016
"SPO0024",0.923,0.005
"SPO0025",0.999,0.018
"SPO0027",0.978,0.006
"SPO0028",0.992,0.012
"SPO0029",1.024,0.012
"SPO0030",0.998,0.003
"SPO0031",1.019,0.003
"SPO0033",1.007,0.01
"SPO0034",0.987,0.01
"SPO0035",0.992,0.006
"SPO0036",0.976,0.007
"SPO0037",0.98,0.003
"SPO0040",1.014,0.005
"SPO0041",1.015,0.013
"SPO0042",0.987,0.018
"SPO0044",0.855,0.049
"SPO0045",1.008,0.007
"SPO0046",0.926,0.023
"SPO0046a",1.003,0.035
"SPO0047",0.941,0.024
"SPO0048",0.973,0.028
"SPO0049",0.999,0.021
"SPO0050",0.968,0.018
"SPO0051",0.999,0.011
"SPO0052",0.975,0.023
"SPO0053",0.96,0.011
"SPO0054",0.947,0.027
"SPO0055",1.025,0.004
"SPO0056",1.011,0.013
"SPO0057",0.579,0.29
"SPO0058",1.009,0.023
"SPO0059",0.968,0.027
"SPO0060",1.062,0.013
"SPO0062",0.506,0.298
"SPO0063",0.505,0.301
"SPO0066",0.97,0.006
"SPO0067",0.92,0.068
"SPO0068",0.911,0.035
"SPO0069",0.963,0.026
"SPO0070",0.98,0.028
"SPO0071",0.972,0.033
"SPO0072",0.956,0.069
"SPO0075",1.059,0.016
"SPO0077",0.902,0.022
"SPO0078",1.028,0.006
"SPO0084",1.028,0.007
"SPO0085",0.92,0.045
"SPO0086",1.036,0.006
"SPO0087",0.985,0.011
"SPO0088",1.005,0.008
"SPO0089",1.007,0.009
"SPO0090",0.984,0.021
"SPO0091",1.044,0.014
"SPO0092",0.928,0.029
"SPO0093",1.039,0.027
"SPO0094",0.971,0.023
"SPO0095",0.958,0.014
"SPO0096",0.969,0.038
"SPO0097",0.98,0.006
"SPO0098",0.937,0.009
"SPO0099",0.968,0.018
"SPO0100",1,0.032
"SPO0101",0.993,0.012
"SPO0102",1.001,0.013
"SPO0103",1.05,0.044
"SPO0104",1.001,0.009
"SPO0105",0.992,0.02
"SPO0106",1.015,0.014
"SPO0107",1.01,0.017
"SPO0108",0.995,0.025
"SPO0109",1.003,0.01
"SPO0110",1.02,0.004
"SPO0111",1.036,0.009
"SPO0112",1.019,0.005
"SPO0113",1.021,0.01
"SPO0114",1.026,0.03
"SPO0115",1.006,0.016
"SPO0116",1.02,0.011
"SPO0118",0.946,0.003
"SPO0119",1.047,0.048
"SPO0120",1.008,0.014
"SPO0122",0.985,0.025
"SPO0123",1.003,0.012
"SPO0124",1.035,0.005
"SPO0125",0.973,0.028
"SPO0126",1.045,0.02
"SPO0127",1,0.097
"SPO0128",1.011,0.018
"SPO0129",1.039,0.02
"SPO0130",0.905,0.027
"SPO0131",1.066,0.017
"SPO0132",0.96,0.003
"SPO0133",1.003,0.008
"SPO0134",1.067,0.057
"SPO0135",0.966,0.01
"SPO0136",1.008,0.023
"SPO0137",1.001,0.012
"SPO0138",0.979,0.021
"SPO0139",0.966,0.017
"SPO0140",0.967,0.039
"SPO0141",0.963,0.036
"SPO0142",0.997,0.011
"SPO0143",0.937,0.013
"SPO0146",1.03,0.013
"SPO0147",0.595,0.207
"SPO0151",0.958,0.006
"SPO0152",0.985,0.006
"SPO0153",0.873,0.018
"SPO0154",1.01,0.006
"SPO0156",1.014,0.011
"SPO0157",1.008,0.012
"SPO0160",1.03,0.011
"SPO0161",0.989,0.008
"SPO0162",0.954,0.043
"SPO0163",0.994,0.029
"SPO0164",0.952,0.04
"SPO0165",1.002,0.014
"SPO0166",0.962,0.009
"SPO0167",0.998,0.04
"SPO0168",1.023,0.025
"SPO0169",0.922,0.042
"SPO0170",1.01,0.027
"SPO0171",1.049,0.041
"SPO0172",0.971,0.031
"SPO0173",0.953,0.05
"SPO0174",0.941,0.074
"SPO0175",0.963,0.05
"SPO0176",0.987,0.03
"SPO0177",0.998,0.023
"SPO0178",0.925,0.027
"SPO0179",0.905,0.07
"SPO0180",0.813,0.061
"SPO0181",0.978,0.061
"SPO0182",0.922,0.039
"SPO0183",0.944,0.033
"SPO0184",1.031,0.012
"SPO0185",1.004,0.018
"SPO0186",1.05,0.009
"SPO0187",0.895,0.086
"SPO0188",0.985,0.015
"SPO0189",0.995,0.017
"SPO0190",1.008,0.022
"SPO0191",0.934,0.039
"SPO0192",1.022,0.022
"SPO0193",0.962,0.019
"SPO0194",0.998,0.027
"SPO0195",0.984,0.018
"SPO0196",0.978,0.022
"SPO0197",0.979,0.007
"SPO0198",0.962,0.021
"SPO0199",0.988,0.008
"SPO0200",0.982,0.022
"SPO0201",0.97,0.078
"SPO0202",0.999,0.055
"SPO0203",0.981,0.015
"SPO0204",0.95,0.015
"SPO0205",1.02,0.013
"SPO0206",0.958,0.009
"SPO0207",0.987,0.015
"SPO0209",0.952,0.019
"SPO0210",0.146,0.088
"SPO0211",0.991,0.016
"SPO0212",0.955,0.023
"SPO0213",0.968,0.009
"SPO0214",0.977,0.006
"SPO0215",0.418,0.029
"SPO0216",0.154,0.058
"SPO0217",0.934,0.087
"SPO0218",0.979,0.008
"SPO0219",1.07,0.011
"SPO0220",1.023,0.015
"SPO0221",1.078,0.059
"SPO0222",1.026,0.011
"SPO0223",0.982,0.009
"SPO0224",0.969,0.03
"SPO0225",0.99,0.029
"SPO0226",0.991,0.021
"SPO0227",1.02,0.005
"SPO0228",1.02,0.032
"SPO0230",1.015,0.016
"SPO0231",1.03,0.006
"SPO0232",1.012,0.005
"SPO0233",0.978,0.033
"SPO0234",1.053,0.014
"SPO0235",1.041,0.012
"SPO0236",0.998,0.024
"SPO0237",1.023,0.005
"SPO0238",0.965,0.013
"SPO0239",1.001,0.015
"SPO0240",0.99,0.011
"SPO0241",0.991,0.013
"SPO0248",0.976,0.034
"SPO0249",1.191,0.054
"SPO0250",1.001,0.022
"SPO0252",0,0
"SPO0253",1.051,0.013
"SPO0254",1.041,0.011
"SPO0255",0.99,0.012
"SPO0256",1.009,0.02
"SPO0257",0.978,0.03
"SPO0258",0.997,0.017
"SPO0259",0.962,0.063
"SPO0260",0.994,0.014
"SPO0261",0.985,0.012
"SPO0263",0.959,0.039
"SPO0264",1.016,0.021
"SPO0265",0.988,0.024
"SPO0266",0.983,0.037
"SPO0268",1.04,0.019
"SPO0269",0.985,0.044
"SPO0270",1.056,0.031
"SPO0274",1.029,0.038
"SPO0275",1.064,0.025
"SPO0276",0.942,0.011
"SPO0277",0.981,0.027
"SPO0280",0.632,0.316
"SPO0281",0.993,0.027
"SPO0282",0.924,0.051
"SPO0284",0.409,0.119
"SPO0285",0.911,0.044
"SPO0286",0.868,0.081
"SPO0287",0.423,0.145
"SPO0289",0.937,0.028
"SPO0290",0.965,0.043
"SPO0291",0.822,0.017
"SPO0292",0.979,0.036
"SPO0293",0.985,0.008
"SPO0294",0.922,0.045
"SPO0295",0.987,0.012
"SPO0296",1.04,0.002
"SPO0297",0,0
"SPO0298",0.985,0.007
"SPO0299",1.006,0.016
"SPO0300",1.026,0.013
"SPO0301",1,0.017
"SPO0302",0.958,0.031
"SPO0303",1.057,0.044
"SPO0304",1.061,0.012
"SPO0305",0.972,0.02
"SPO0306",0.957,0.024
"SPO0307",0.946,0.043
"SPO0308",0.918,0.058
"SPO0309",0.963,0.038
"SPO0310",0.977,0.026
"SPO0311",1.077,0.009
"SPO0312",0.983,0.013
"SPO0313",0.999,0.037
"SPO0314",1.018,0.036
"SPO0315",0.904,0.05
"SPO0317",0.914,0.055
"SPO0320",0.976,0.075
"SPO0321",0.989,0.031
"SPO0322",1.036,0.015
"SPO0323",0.96,0.019
"SPO0324",0.996,0.036
"SPO0325",1.021,0.036
"SPO0326",1.036,0.007
"SPO0327",1.002,0.019
"SPO0328",0.932,0.016
"SPO0329",0.925,0.029
"SPO0330",0.948,0.009
"SPO0331",1.017,0.029
"SPO0332",0.058,0.058
"SPO0333",1.075,0.036
"SPO0334",0.329,0.086
"SPO0335",0.984,0.014
"SPO0336",0.974,0.044
"SPO0337",1.021,0.006
"SPO0338",1.044,0.023
"SPO0339",1.022,0.02
"SPO0342",0.966,0.045
"SPO0343",1.056,0.032
"SPO0344a",0.829,0.049
"SPO0345",0.39,0.182
"SPO0346a",0.806,0.019
"SPO0347",0,NA
"SPO0348",0.938,0.009
"SPO0349",0.283,0.158
"SPO0350",1.022,0.019
"SPO0351",0.939,0.09
"SPO0352",0.977,0.031
"SPO0353",0.996,0.034
"SPO0354",0.966,0.026
"SPO0355",0.874,0.025
"SPO0356",0.946,0.023
"SPO0357",0.967,0.015
"SPO0360a",0,0
"SPO0362",1.032,0.004
"SPO0363",1.011,0.011
"SPO0364",1.007,0.013
"SPO0365",0.998,0.001
"SPO0366",1.023,0.006
"SPO0367",0.998,0.007
"SPO0368",1.002,0.012
"SPO0369",1.007,0.027
"SPO0370",1.03,0.014
"SPO0371",0.946,0.018
"SPO0372",1.047,0.011
"SPO0373",1.016,0.01
"SPO0374",0.826,0.062
"SPO0375",0.933,0.014
"SPO0376",1.016,0.028
"SPO0377",1.044,0.021
"SPO0378",1.02,0.015
"SPO0379",0.999,0.052
"SPO0380",0.974,0.017
"SPO0383",0.97,0.091
"SPO0384",1.043,0.019
"SPO0385",0.981,0.024
"SPO0386",0.661,0.086
"SPO0387",0.989,0.033
"SPO0388",1.029,0.021
"SPO0389",0.906,0.019
"SPO0390",1.056,0.008
"SPO0391",1.069,0.013
"SPO0393",0.913,0.052
"SPO0394",0.999,0.007
"SPO0395",0.97,0.08
"SPO0396",0.947,NA
"SPO0397",0.197,0.197
"SPO0398",0.912,0.11
"SPO0399",0.988,0.125
"SPO0400",1.105,0.046
"SPO0401",0.67,0.038
"SPO0402",0.961,0.015
"SPO0403",0.969,0.015
"SPO0405",0.82,0.21
