spo,gene,funct,NCBI
SPO_Sp16SA,16S rRNA,,
SPO_Sp16SB,16S rRNA,,
SPO_Sp16SC,16S rRNA,,
SPO_Sp23SA,23S rRNA,,
SPO_Sp23SB,23S rRNA,,
SPO_Sp5SD,5S rRNA,,
SPO_Sp5SE,5S rRNA,,
SPO_Sp5SF,5S rRNA,,
SPO0001,gidA,glucose inhibited division protein A,SPO_RS00005
SPO0002,gidB,glucose-inhibited division protein B,SPO_RS22355
SPO0003,parA,chromosome partitioning protein ParA,SPO_RS00015
SPO0004,parB,chromosome partitioning protein parB,SPO_RS00020
SPO0005,SPO0005,hypothetical protein,SPO_RS00025
SPO0006,SPO0006,"oxygen-independent coproporphyrinogen III oxidase, putative",SPO_RS00030
SPO0007,SPO0007,"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family",SPO_RS00035
SPO0008,rph,ribonuclease PH,SPO_RS00040
SPO0009,hrcA,heat-inducible transcription repressor HrcA,SPO_RS00045
SPO0010,grpE,co-chaperone GrpE,SPO_RS00050
SPO0011,mutS,DNA mismatch repair protein MutS,SPO_RS00055
SPO0012,maeB,NADP-dependent malic enzyme,SPO_RS00060
SPO0013,rbsK,ribokinase,SPO_RS00065
SPO0014,msrA-1,methionine-S-sulfoxide reductase,SPO_RS00070
SPO0015,SPO0015,hypothetical protein,SPO_RS00075
SPO0016,SPO0016,sterol carrier family protein,SPO_RS00080
SPO0017,SPO0017,hypothetical protein,SPO_RS00085
SPO0018,argG,argininosuccinate synthase,SPO_RS00090
SPO0019,SPO0019,hypothetical protein,SPO_RS00095
SPO0020,ilvA,threonine dehydratase,SPO_RS00100
SPO0021,SPO0021,Hpt domain protein,SPO_RS00105
SPO0022,SPO0022,response regulator,SPO_RS00110
SPO0023,SPO0023,"hydrolase, NUDIX family",SPO_RS00115
SPO0024,hslO,"chaperonin, 33 kDa",SPO_RS00120
SPO0025,SPO0025,"hydrolase, NUDIX family",SPO_RS00125
SPO0026,SPO0026,polyA polymerase family protein,SPO_RS00130
SPO0027,SPO0027,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00135
SPO0028,SPO0028,"ABC transporter, transmembrane ATP-binding protein",SPO_RS00140
SPO0029,rumA,23S rRNA (Uracil-5-)-methyltransferase rumA,SPO_RS00145
SPO0030,SPO0030,voltage-gated sodium channel,SPO_RS00150
SPO0031,SPO0031,ErfK/YbiS/YcfS/YnhG family protein,SPO_RS00155
SPO0033,SPO0033,"transcriptional regulator, LysR family",SPO_RS00165
SPO0034,SPO0034,hypothetical protein,SPO_RS00170
SPO0035,SPO0035,core-2/I-branching enzyme family protein,SPO_RS00175
SPO0036,SPO0036,hypothetical protein,SPO_RS00180
SPO0037,SPO0037,hypothetical protein,SPO_RS00185
SPO0038,kdsB,3-deoxy-D-manno-octulosonate cytidylyltransferase,SPO_RS00190
SPO0039,cysQ,"3'(2'),5'-bisphosphate nucleotidase",SPO_RS00195
SPO0040,SPO0040,"ABC transporter, permease protein",SPO_RS00200
SPO0041,SPO0041,hypothetical protein,SPO_RS22085
SPO0042,SPO0042,"alkylated DNA repair protein, putative",SPO_RS00210
SPO0043,dnaK,chaperone protein DnaK,SPO_RS00215
SPO0044,dnaJ,chaperone protein DnaJ,SPO_RS00220
SPO0045,thiD,phosphomethylpyrimidine kinase,SPO_RS00225
SPO0046,SPO0046,"thiamine biosynthesis oxidoreductase ThiO, putative",SPO_RS00230
SPO0046a,thiS,thiamine biosynthesis protein ThiS,SPO_RS00235
SPO0047,thiG,thiazole biosynthesis protein ThiG,SPO_RS00240
SPO0048,thiE,thiamine-phosphate pyrophosphorylase,SPO_RS00245
SPO0049,SPO0049,thiamine biosynthesis protein ThiF,SPO_RS00250
SPO0050,SPO0050,"ABC transporter, periplasmic substrate-binding protein",SPO_RS00255
SPO0051,SPO0051,TENA/THI-4 family protein,SPO_RS00260
SPO0052,SPO0052,"ABC transporter, ATP-binding protein",SPO_RS00265
SPO0053,SPO0053,"ABC transporter, permease protein",SPO_RS00270
SPO0054,radC,DNA repair protein RadC,SPO_RS00275
SPO0055,SPO0055,OmpA domain protein,SPO_RS00280
SPO0056,SPO0056,hypothetical protein,SPO_RS00285
SPO0057,secA,"preprotein translocase, SecA subunit",SPO_RS00290
SPO0058,SPO0058,PPIC-type PPIASE domain protein,SPO_RS00295
SPO0059,argJ,glutamate N-acetyltransferase/amino-acid acetyltransferase,SPO_RS00300
SPO0060,mutT,mutator mutT protein,SPO_RS00305
SPO0061,infB,translation initiation factor IF-2,SPO_RS00310
SPO0062,SPO0062,hypothetical protein,SPO_RS00315
SPO0063,nusA,transcription termination factor NusA,SPO_RS00320
SPO0064,rimP,Ribosome maturation factor RimP,SPO_RS00325
SPO0065,SPO0065,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS00330
SPO0066,pip,proline iminopeptidase,SPO_RS00335
SPO0067,ubiG,3-demethylubiquinone-9 3-methyltransferase,SPO_RS00340
SPO0068,SPO0068,"transcriptional regulator, putative",SPO_RS00345
SPO0069,SPO0069,"hydrolase, carbon-nitrogen family",SPO_RS00350
SPO0070,SPO0070,glutaredoxin,SPO_RS00355
SPO0071,SPO0071,"competence protein F, putative",SPO_RS00360
SPO0072,SPO0072,hypothetical protein,SPO_RS00365
SPO0073,hemH,ferrochelatase,SPO_RS00370
SPO0074,SPO0074,hypothetical protein,SPO_RS00375
