Time,DSS3_DMSP_1,DSS3_DMSP_2,DSS3_DMSP_3,DSS3_DMSP_4,DSS3_DMSP_5,DSS3_DMSP_6,DSS3_DMSP_7,DSS3_DMSP_8,HF1_DMSP_1,HF1_DMSP_2,HF1_DMSP_3,HF1_DMSP_4,HF1_DMSP_5,HF1_DMSP_6,HF1_DMSP_7,HF1_DMSP_8,HF70_DMSP_1,HF70_DMSP_2,HF70_DMSP_3,HF70_DMSP_4,HF70_DMSP_5,HF70_DMSP_6,HF70_DMSP_7,HF70_DMSP_8,MBM -C,MBM -C,MBM -C,MBM -C,MBM -C,MBM -C,MBM -C,MBM -C
1,0.011,0.012,0.012,0.011,0.011,0.013,0.01,0.013,0.004,0.003,0,0.001,0.001,0.001,0.003,0.004,0.013,0.011,0.01,0.012,0.012,0.013,0.012,0.011,0,0,0.001,0,0.001,0,-0.002,-0.001
2,0.01,0.011,0.011,0.01,0.011,0.012,0.009,0.013,0.004,0.003,0,0.002,0.001,0.001,0.003,0.004,0.013,0.012,0.011,0.012,0.012,0.013,0.013,0.011,0,0.001,0.001,0,0.001,0,-0.001,-0.001
3,0.01,0.011,0.011,0.01,0.011,0.012,0.009,0.013,0.005,0.004,0.001,0.002,0.002,0.001,0.004,0.005,0.013,0.012,0.011,0.012,0.012,0.013,0.013,0.011,0.001,0,0.001,0,0.001,0,-0.001,-0.001
4,0.01,0.011,0.011,0.01,0.011,0.013,0.009,0.013,0.005,0.004,0.001,0.003,0.002,0.002,0.004,0.005,0.013,0.012,0.011,0.012,0.012,0.013,0.013,0.011,0.001,0,0.001,0,0.001,0,-0.001,-0.001
5,0.011,0.012,0.013,0.012,0.013,0.014,0.012,0.015,0.006,0.005,0.002,0.003,0.003,0.003,0.005,0.006,0.013,0.011,0.01,0.012,0.012,0.013,0.013,0.011,0.001,0,0,0,0.001,0,-0.001,-0.001
6,0.016,0.017,0.018,0.017,0.017,0.019,0.016,0.019,0.007,0.005,0.002,0.004,0.003,0.003,0.006,0.006,0.013,0.011,0.01,0.012,0.012,0.013,0.013,0.011,0.001,0,0.001,0,0.001,0,-0.001,-0.001
7,0.024,0.024,0.024,0.024,0.024,0.025,0.022,0.026,0.007,0.006,0.003,0.005,0.003,0.003,0.006,0.006,0.013,0.011,0.01,0.012,0.012,0.013,0.012,0.011,0,0,0.001,0,0.001,0,-0.001,-0.001
8,0.029,0.03,0.03,0.03,0.03,0.031,0.029,0.033,0.007,0.006,0.003,0.004,0.004,0.004,0.006,0.007,0.013,0.011,0.01,0.011,0.012,0.012,0.012,0.011,0.001,0,0.001,0,0.001,0,-0.001,-0.001
9,0.033,0.035,0.035,0.035,0.036,0.037,0.034,0.038,0.008,0.007,0.003,0.005,0.004,0.004,0.006,0.007,0.013,0.011,0.01,0.011,0.011,0.012,0.012,0.011,0.001,0,0.001,0,0.001,0,-0.001,-0.001
10,0.041,0.043,0.042,0.042,0.043,0.045,0.042,0.045,0.008,0.007,0.003,0.005,0.004,0.004,0.007,0.007,0.012,0.011,0.01,0.011,0.011,0.012,0.012,0.01,0.001,0,0.001,0,0.001,0,-0.001,-0.001
11,0.051,0.053,0.052,0.051,0.053,0.054,0.051,0.055,0.009,0.007,0.004,0.005,0.005,0.005,0.007,0.007,0.013,0.011,0.01,0.011,0.011,0.012,0.012,0.011,0,0,0.001,0,0.001,0,-0.001,-0.001
12,0.061,0.064,0.062,0.062,0.063,0.065,0.062,0.065,0.009,0.008,0.005,0.006,0.005,0.005,0.007,0.008,0.012,0.011,0.01,0.011,0.011,0.012,0.012,0.01,0.001,0,0.001,0,0.001,0,-0.001,-0.001
13,0.072,0.076,0.073,0.073,0.074,0.076,0.073,0.077,0.009,0.009,0.006,0.007,0.005,0.006,0.008,0.009,0.012,0.011,0.01,0.011,0.011,0.012,0.012,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
14,0.083,0.086,0.083,0.084,0.085,0.087,0.084,0.088,0.01,0.009,0.006,0.007,0.006,0.007,0.009,0.01,0.012,0.01,0.01,0.011,0.011,0.012,0.012,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
15,0.096,0.1,0.096,0.098,0.098,0.101,0.097,0.101,0.01,0.009,0.007,0.008,0.007,0.007,0.009,0.011,0.012,0.01,0.01,0.011,0.011,0.012,0.012,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
16,0.108,0.114,0.109,0.11,0.112,0.114,0.111,0.115,0.012,0.01,0.007,0.008,0.007,0.009,0.01,0.011,0.012,0.01,0.009,0.011,0.011,0.012,0.012,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
17,0.124,0.13,0.125,0.126,0.128,0.131,0.127,0.131,0.012,0.011,0.008,0.01,0.008,0.01,0.012,0.012,0.012,0.01,0.009,0.011,0.011,0.012,0.011,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
18,0.142,0.147,0.142,0.143,0.145,0.147,0.145,0.148,0.013,0.012,0.009,0.011,0.009,0.011,0.013,0.013,0.012,0.01,0.009,0.01,0.011,0.011,0.011,0.01,0,0,0.001,0,0.001,0,-0.001,-0.001
19,0.162,0.169,0.161,0.163,0.165,0.168,0.166,0.168,0.014,0.013,0.01,0.011,0.01,0.012,0.013,0.015,0.012,0.01,0.009,0.01,0.01,0.011,0.011,0.01,0.001,0,0.001,0,0.001,0,-0.001,-0.001
20,0.181,0.184,0.177,0.18,0.181,0.183,0.181,0.185,0.016,0.014,0.012,0.013,0.011,0.013,0.014,0.016,0.012,0.01,0.009,0.01,0.011,0.011,0.011,0.01,0.001,0,0.001,0,0.001,0,-0.001,-0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
