Time,DSS3_asparagine_1,DSS3_asparagine_2,DSS3_asparagine_3,DSS3_asparagine_4,DSS3_asparagine_5,DSS3_asparagine_6,HF1_asparagine_1,HF1_asparagine_2,HF1_asparagine_3,HF1_asparagine_4,HF1_asparagine_5,HF1_asparagine_6,HF70_asparagine_1,HF70_asparagine_2,HF70_asparagine_3,HF70_asparagine_4,HF70_asparagine_5,HF70_asparagine_6
0,0.104,0.072,0.075,0.073,0.069,0.058,0.049,0.04,0.045,0.047,0.031,0.035,0.027,0.021,0.017,0.017,0.019,0.034
1,0.098,0.08,0.08,0.113,0.123,0.078,0.052,0.041,0.041,0.038,0.034,0.032,0.031,0.02,0.02,0.023,0.024,0.037
2,0.098,0.12,0.104,0.094,0.08,0.063,0.054,0.039,0.037,0.034,0.027,0.032,0.039,0.028,0.032,0.032,0.032,0.044
3,0.101,0.103,0.114,0.105,0.114,0.08,0.051,0.035,0.042,0.029,0.025,0.039,0.049,0.039,0.041,0.04,0.04,0.051
4,0.112,0.12,0.121,0.115,0.112,0.087,0.052,0.033,0.034,0.035,0.026,0.035,0.057,0.049,0.051,0.05,0.049,0.06
5,0.11,0.121,0.129,0.121,0.103,0.097,0.049,0.039,0.035,0.033,0.029,0.04,0.066,0.061,0.061,0.061,0.059,0.07
6,0.127,0.125,0.132,0.12,0.119,0.113,0.047,0.036,0.038,0.031,0.029,0.034,0.071,0.068,0.067,0.068,0.067,0.078
7,0.154,0.153,0.155,0.148,0.146,0.14,0.046,0.034,0.035,0.033,0.03,0.036,0.079,0.079,0.077,0.078,0.078,0.088
8,0.19,0.189,0.19,0.184,0.182,0.177,0.05,0.037,0.041,0.036,0.032,0.038,0.103,0.103,0.102,0.107,0.107,0.113
9,0.21,0.204,0.202,0.191,0.191,0.185,0.05,0.039,0.037,0.037,0.033,0.042,0.112,0.11,0.107,0.11,0.112,0.121
10,0.191,0.199,0.202,0.191,0.186,0.182,0.049,0.036,0.04,0.036,0.034,0.04,0.117,0.113,0.112,0.115,0.12,0.125
11,0.188,0.195,0.199,0.192,0.181,0.181,0.049,0.036,0.039,0.037,0.03,0.033,0.125,0.12,0.119,0.126,0.124,0.132
12,0.188,0.194,0.199,0.194,0.181,0.175,0.048,0.03,0.037,0.028,0.027,0.034,0.133,0.128,0.127,0.137,0.135,0.14
13,0.187,0.195,0.199,0.193,0.182,0.179,0.05,0.032,0.03,0.03,0.029,0.036,0.141,0.135,0.135,0.139,0.139,0.147
14,0.187,0.203,0.198,0.185,0.181,0.176,0.05,0.032,0.03,0.03,0.03,0.038,0.145,0.139,0.138,0.141,0.143,0.15
15,0.186,0.2,0.189,0.18,0.179,0.173,0.046,0.031,0.031,0.031,0.029,0.036,0.147,0.141,0.14,0.143,0.147,0.152
16,0.186,0.202,0.189,0.182,0.179,0.173,0.045,0.035,0.033,0.033,0.031,0.038,0.15,0.144,0.143,0.146,0.147,0.155
17,0.185,0.193,0.196,0.188,0.178,0.175,0.045,0.036,0.034,0.034,0.032,0.039,0.151,0.145,0.144,0.147,0.148,0.157
18,0.183,0.192,0.197,0.186,0.176,0.17,0.043,0.034,0.033,0.032,0.03,0.037,0.15,0.143,0.142,0.145,0.146,0.154
19,0.19,0.195,0.195,0.182,0.173,0.165,0.043,0.033,0.032,0.032,0.03,0.039,0.148,0.142,0.14,0.146,0.145,0.153
20,0.183,0.197,0.199,0.187,0.176,0.169,0.048,0.038,0.038,0.037,0.035,0.042,0.152,0.146,0.144,0.147,0.15,0.156
21,0.182,0.197,0.196,0.186,0.173,0.168,0.049,0.039,0.038,0.037,0.036,0.043,0.151,0.145,0.142,0.146,0.147,0.155
22,0.183,0.195,0.19,0.176,0.172,0.167,0.049,0.039,0.039,0.038,0.036,0.051,0.15,0.144,0.141,0.144,0.146,0.155
23,0.178,0.193,0.186,0.184,0.171,0.166,0.051,0.041,0.04,0.039,0.037,0.045,0.15,0.143,0.141,0.144,0.145,0.154
24,0.177,0.195,0.187,0.174,0.172,0.166,0.053,0.044,0.043,0.042,0.04,0.049,0.151,0.144,0.141,0.144,0.146,0.161
25,0.175,0.191,0.184,0.183,0.17,0.163,0.053,0.044,0.043,0.042,0.041,0.055,0.149,0.142,0.139,0.142,0.144,0.158
26,0.172,0.19,0.183,0.171,0.168,0.161,0.054,0.044,0.044,0.042,0.041,0.048,0.147,0.139,0.137,0.14,0.145,0.15
27,0.172,0.19,0.183,0.179,0.168,0.163,0.057,0.048,0.047,0.046,0.045,0.053,0.147,0.14,0.137,0.14,0.142,0.151
28,0.169,0.188,0.181,0.174,0.165,0.162,0.057,0.048,0.048,0.046,0.045,0.051,0.144,0.138,0.138,0.138,0.14,0.148
29,0.17,0.19,0.183,0.179,0.167,0.165,0.061,0.052,0.051,0.05,0.049,0.056,0.146,0.139,0.139,0.139,0.142,0.15
30,0.175,0.19,0.18,0.171,0.166,0.161,0.063,0.054,0.053,0.051,0.051,0.056,0.144,0.138,0.135,0.138,0.14,0.149
31,0.178,0.189,0.179,0.176,0.164,0.157,0.065,0.055,0.055,0.053,0.051,0.059,0.144,0.137,0.139,0.137,0.139,0.147
32,0.171,0.185,0.178,0.165,0.163,0.156,0.066,0.057,0.056,0.054,0.052,0.059,0.142,0.135,0.138,0.137,0.138,0.146
33,0.173,0.186,0.179,0.168,0.163,0.156,0.068,0.058,0.058,0.056,0.055,0.066,0.141,0.135,0.131,0.138,0.139,0.145
34,0.17,0.184,0.177,0.173,0.162,0.156,0.071,0.061,0.061,0.059,0.057,0.064,0.141,0.134,0.131,0.137,0.136,0.144
35,0.164,0.184,0.178,0.166,0.162,0.157,0.074,0.064,0.064,0.062,0.06,0.066,0.141,0.134,0.133,0.135,0.137,0.145
36,0.163,0.182,0.175,0.171,0.16,0.153,0.075,0.066,0.065,0.063,0.061,0.068,0.141,0.132,0.129,0.134,0.134,0.143
37,0.169,0.184,0.174,0.169,0.16,0.151,0.078,0.069,0.068,0.065,0.064,0.07,0.142,0.131,0.13,0.133,0.133,0.142
38,0.16,0.181,0.172,0.162,0.157,0.15,0.08,0.071,0.07,0.067,0.065,0.073,0.14,0.13,0.126,0.129,0.131,0.14
39,0.168,0.173,0.174,0.169,0.158,0.15,0.084,0.075,0.074,0.071,0.069,0.076,0.14,0.13,0.127,0.132,0.133,0.141
40,0.169,0.179,0.173,0.169,0.158,0.15,0.087,0.08,0.077,0.074,0.072,0.079,0.143,0.129,0.128,0.133,0.131,0.141
41,0.159,0.171,0.171,0.167,0.157,0.149,0.09,0.085,0.08,0.077,0.075,0.081,0.137,0.128,0.125,0.128,0.13,0.139
42,0.167,0.182,0.172,0.169,0.156,0.15,0.094,0.085,0.084,0.081,0.078,0.084,0.138,0.128,0.125,0.128,0.129,0.139
43,0.156,0.178,0.172,0.168,0.155,0.149,0.097,0.088,0.087,0.084,0.081,0.087,0.138,0.127,0.124,0.127,0.129,0.138
44,0.155,0.169,0.17,0.167,0.154,0.15,0.101,0.092,0.091,0.088,0.085,0.09,0.134,0.127,0.123,0.127,0.128,0.137
45,0.159,0.176,0.169,0.164,0.151,0.148,0.103,0.094,0.093,0.09,0.087,0.091,0.133,0.125,0.121,0.124,0.126,0.136
46,0.152,0.173,0.168,0.163,0.152,0.148,0.107,0.098,0.097,0.094,0.091,0.094,0.133,0.124,0.121,0.124,0.126,0.135
47,0.152,0.168,0.168,0.163,0.151,0.149,0.112,0.102,0.102,0.098,0.095,0.106,0.133,0.125,0.121,0.124,0.126,0.135
