Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8
1,0.122,0.129,0.128,0.16,0.133,0.128,0.117,0.122,0.093,0.088,0.09,0.091,0.09,0.089,0.092,0.09,0.093,0.092,0.093,0.093,0.092,0.093,0.088,0.091
2,0.123,0.133,0.133,0.161,0.142,0.15,0.117,0.125,0.095,0.092,0.093,0.095,0.092,0.097,0.094,0.09,0.098,0.095,0.095,0.093,0.093,0.093,0.089,0.091
3,0.124,0.137,0.135,0.15,0.138,0.132,0.121,0.128,0.11,0.099,0.102,0.096,0.095,0.103,0.095,0.091,0.097,0.094,0.094,0.093,0.092,0.094,0.089,0.091
4,0.126,0.138,0.137,0.156,0.138,0.141,0.122,0.13,0.162,0.128,0.136,0.097,0.097,0.108,0.096,0.091,0.096,0.093,0.095,0.094,0.093,0.093,0.089,0.092
5,0.126,0.141,0.139,0.17,0.14,0.136,0.124,0.132,0.209,0.214,0.208,0.1,0.099,0.101,0.097,0.091,0.099,0.094,0.096,0.094,0.093,0.094,0.089,0.092
6,0.128,0.142,0.141,0.18,0.172,0.141,0.125,0.134,0.233,0.238,0.234,0.103,0.101,0.103,0.098,0.091,0.095,0.093,0.095,0.094,0.093,0.094,0.09,0.092
7,0.128,0.143,0.141,0.176,0.145,0.138,0.126,0.137,0.249,0.255,0.252,0.113,0.102,0.103,0.099,0.091,0.094,0.093,0.095,0.094,0.093,0.094,0.09,0.092
8,0.13,0.146,0.143,0.143,0.15,0.141,0.128,0.136,0.263,0.273,0.269,0.112,0.105,0.104,0.1,0.09,0.093,0.093,0.095,0.096,0.093,0.095,0.091,0.092
9,0.132,0.147,0.145,0.142,0.16,0.144,0.129,0.136,0.277,0.289,0.285,0.113,0.109,0.105,0.101,0.09,0.093,0.094,0.095,0.096,0.11,0.095,0.092,0.092
10,0.132,0.149,0.146,0.143,0.156,0.147,0.13,0.136,0.289,0.304,0.3,0.113,0.113,0.107,0.101,0.09,0.093,0.095,0.095,0.097,0.101,0.095,0.092,0.093
11,0.134,0.151,0.148,0.145,0.161,0.147,0.131,0.136,0.302,0.319,0.315,0.12,0.116,0.109,0.102,0.09,0.094,0.096,0.096,0.096,0.097,0.095,0.094,0.092
12,0.134,0.152,0.15,0.148,0.177,0.15,0.132,0.135,0.31,0.332,0.328,0.119,0.117,0.111,0.102,0.09,0.095,0.098,0.097,0.097,0.1,0.097,0.093,0.092
13,0.137,0.155,0.151,0.15,0.16,0.152,0.133,0.134,0.319,0.343,0.338,0.124,0.119,0.113,0.103,0.09,0.097,0.1,0.099,0.098,0.097,0.099,0.094,0.093
14,0.138,0.156,0.153,0.153,0.17,0.154,0.135,0.134,0.327,0.353,0.348,0.123,0.121,0.115,0.103,0.09,0.099,0.102,0.101,0.098,0.099,0.097,0.094,0.092
15,0.139,0.158,0.156,0.154,0.169,0.155,0.135,0.134,0.334,0.362,0.357,0.129,0.125,0.117,0.104,0.09,0.101,0.104,0.103,0.1,0.109,0.098,0.094,0.094
16,0.14,0.16,0.157,0.158,0.184,0.159,0.136,0.134,0.34,0.368,0.364,0.129,0.125,0.118,0.104,0.09,0.105,0.108,0.106,0.1,0.111,0.098,0.095,0.093
17,0.141,0.163,0.159,0.16,0.177,0.16,0.138,0.135,0.344,0.375,0.369,0.129,0.127,0.121,0.105,0.09,0.108,0.113,0.111,0.101,0.101,0.099,0.096,0.095
18,0.144,0.164,0.162,0.162,0.184,0.163,0.138,0.133,0.349,0.379,0.374,0.132,0.129,0.122,0.105,0.09,0.112,0.117,0.115,0.102,0.104,0.1,0.097,0.094
19,0.146,0.167,0.162,0.164,0.199,0.166,0.14,0.132,0.352,0.384,0.378,0.137,0.132,0.124,0.106,0.09,0.117,0.123,0.121,0.102,0.103,0.101,0.097,0.096
20,0.147,0.167,0.166,0.165,0.187,0.169,0.142,0.131,0.351,0.382,0.377,0.135,0.133,0.124,0.106,0.09,0.125,0.131,0.129,0.106,0.104,0.102,0.098,0.095
21,0.148,0.17,0.167,0.167,0.197,0.17,0.143,0.131,0.351,0.382,0.379,0.135,0.135,0.126,0.107,0.09,0.133,0.139,0.137,0.103,0.104,0.102,0.099,0.092
