Time,E8,F8,G8,H8,E2,F2,G2,H2,E4,F4,G4,H4,E6,F6,G6,H6
0,0.085,0.084,0.085,0.085,0.095,0.094,0.1,0.097,0.089,0.087,0.091,0.093,0.086,0.085,0.085,0.086
1,0.084,0.085,0.085,0.084,0.096,0.096,0.102,0.099,0.09,0.088,0.091,0.092,0.086,0.085,0.086,0.086
2,0.084,0.085,0.085,0.084,0.099,0.098,0.104,0.101,0.089,0.088,0.09,0.091,0.086,0.085,0.086,0.086
3,0.084,0.085,0.085,0.084,0.101,0.101,0.107,0.104,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.087
4,0.084,0.085,0.085,0.085,0.104,0.103,0.11,0.107,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.088
5,0.085,0.085,0.085,0.085,0.106,0.105,0.112,0.109,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.089
6,0.084,0.085,0.085,0.084,0.107,0.107,0.114,0.111,0.089,0.089,0.09,0.092,0.086,0.086,0.086,0.089
7,0.084,0.085,0.085,0.084,0.11,0.11,0.117,0.113,0.089,0.089,0.09,0.092,0.086,0.086,0.086,0.089
8,0.084,0.085,0.085,0.085,0.113,0.113,0.121,0.117,0.089,0.089,0.09,0.092,0.086,0.086,0.087,0.09
9,0.084,0.085,0.085,0.085,0.117,0.118,0.127,0.122,0.09,0.089,0.09,0.092,0.086,0.086,0.087,0.09
10,0.084,0.085,0.085,0.084,0.124,0.123,0.134,0.129,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.09
11,0.084,0.085,0.085,0.084,0.141,0.131,0.151,0.143,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.091
12,0.084,0.085,0.085,0.085,0.148,0.138,0.169,0.167,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.091
13,0.084,0.085,0.085,0.085,0.161,0.151,0.181,0.173,0.09,0.089,0.091,0.091,0.087,0.087,0.088,0.091
14,0.084,0.085,0.085,0.085,0.171,0.155,0.191,0.199,0.09,0.089,0.091,0.091,0.087,0.087,0.088,0.091
15,0.084,0.085,0.085,0.085,0.179,0.165,0.206,0.214,0.09,0.089,0.091,0.092,0.087,0.087,0.087,0.091
16,0.084,0.085,0.085,0.085,0.188,0.176,0.217,0.231,0.09,0.089,0.092,0.092,0.087,0.087,0.087,0.09
17,0.084,0.085,0.085,0.085,0.198,0.187,0.23,0.247,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.09
18,0.084,0.085,0.085,0.085,0.209,0.198,0.243,0.264,0.09,0.089,0.092,0.092,0.087,0.086,0.087,0.088
