Time,Rp_arginine_1,Rp_arginine_2,Rp_arginine_3,Rp_glutamine_1,Rp_glutamine_2,Rp_glutamine_3,Marivivens_arginine_1,Marivivens_arginine_2,Marivivens_arginine_3,Marivivens_glutamine_1,Marivivens_glutamine_2,Marivivens_glutamine_3,Vibrio_arginine_1,Vibrio_arginine_2,Vibrio_arginine_3,Vibrio_glutamine_1,Vibrio_glutamine_2,Vibrio_glutamine_3
1,0.022,0.018,0.005,0.018,0.035,0.029,0.015,0.016,0.025,0.02,0.015,0.017,0.017,0.015,0.015,0.018,0.017,0.027
2,0.019,0.017,0.004,0.02,0.034,0.03,0.014,0.016,0.026,0.02,0.013,0.016,0.02,0.018,0.017,0.028,0.03,0.04
3,0.021,0.015,0.003,0.021,0.038,0.031,0.014,0.016,0.026,0.02,0.014,0.015,0.02,0.018,0.018,0.05,0.051,0.061
4,0.021,0.015,0.003,0.024,0.042,0.033,0.014,0.015,0.027,0.02,0.012,0.017,0.02,0.018,0.018,0.078,0.078,0.09
5,0.018,0.016,0.004,0.027,0.04,0.035,0.013,0.015,0.026,0.02,0.013,0.017,0.02,0.018,0.018,0.111,0.112,0.125
6,0.026,0.019,0.005,0.029,0.046,0.04,0.013,0.015,0.026,0.02,0.014,0.017,0.02,0.019,0.018,0.134,0.136,0.148
7,0.026,0.023,0.006,0.032,0.038,0.046,0.012,0.014,0.026,0.02,0.013,0.017,0.02,0.018,0.018,0.127,0.128,0.14
8,0.03,0.028,0.009,0.04,0.043,0.057,0.013,0.016,0.027,0.021,0.015,0.016,0.021,0.02,0.019,0.12,0.12,0.134
9,0.033,0.033,0.014,0.051,0.054,0.067,0.014,0.016,0.027,0.022,0.015,0.018,0.023,0.021,0.02,0.113,0.115,0.127
10,0.039,0.038,0.02,0.062,0.065,0.079,0.014,0.016,0.027,0.023,0.016,0.016,0.025,0.022,0.021,0.107,0.108,0.121
