mean,lwrCL,uprCL,spo,naCount
1.052,1.047,1.057,SPO_Sp16SA,0
1.052,1.047,1.057,SPO_Sp16SB,0
1.053,1.05,1.056,SPO_Sp16SC,0
1.024,1.02,1.028,SPO_Sp23SA,0
1.024,1.018,1.029,SPO_Sp23SB,0
1.023,1.004,1.039,SPO_Sp5SD,0
1.016,0.997,1.036,SPO_Sp5SE,0
1.018,0.995,1.041,SPO_Sp5SF,0
0.822,0.755,0.89,SPO0001,0
1.054,1.035,1.076,SPO0002,0
0.191,0,0.4,SPO0003,642
NA,NA,NA,SPO0004,10000
1.053,1.032,1.078,SPO0005,0
1.026,1.008,1.044,SPO0006,0
1.027,1.007,1.048,SPO0007,0
0.965,0.932,0.994,SPO0008,0
0.953,0.919,0.99,SPO0009,0
0,0,0,SPO0010,0
0.988,0.971,1.008,SPO0011,0
1.035,1.017,1.056,SPO0012,0
0.998,0.975,1.018,SPO0013,0
0.998,0.978,1.017,SPO0014,0
1.024,1.001,1.044,SPO0015,0
0.977,0.948,1,SPO0016,0
0.99,0.969,1.011,SPO0017,0
0.113,0,0.232,SPO0018,0
0.994,0.978,1.01,SPO0019,0
1.018,1.003,1.033,SPO0020,0
0.948,0.93,0.966,SPO0021,0
0.974,0.957,0.988,SPO0022,0
1.004,0.982,1.032,SPO0023,0
0.93,0.918,0.943,SPO0024,0
1.024,0.984,1.062,SPO0025,0
NA,NA,NA,SPO0026,10000
0.993,0.982,1.006,SPO0027,0
0.991,0.97,1.009,SPO0028,0
1.022,0.993,1.049,SPO0029,0
1.027,1.009,1.046,SPO0030,0
1.009,0.98,1.036,SPO0031,0
1.021,1.007,1.037,SPO0033,0
0.977,0.944,1.004,SPO0034,0
0.984,0.968,0.999,SPO0035,0
0.985,0.975,0.995,SPO0036,0
0.995,0.984,1.008,SPO0037,0
NA,NA,NA,SPO0038,10000
NA,NA,NA,SPO0039,10000
1.027,1.015,1.04,SPO0040,0
1.001,0.975,1.027,SPO0041,0
1.028,0.999,1.056,SPO0042,0
NA,NA,NA,SPO0043,10000
0.85,0.754,0.952,SPO0044,0
1.007,0.997,1.021,SPO0045,0
0.968,0.93,1.013,SPO0046,0
1.018,0.962,1.088,SPO0046a,0
0.969,0.94,0.995,SPO0047,0
0.998,0.949,1.047,SPO0048,0
0.976,0.945,1.007,SPO0049,0
0.99,0.969,1.009,SPO0050,0
0.985,0.963,1.012,SPO0051,0
1.035,0.997,1.068,SPO0052,0
0.984,0.952,1.018,SPO0053,0
1.002,0.986,1.019,SPO0054,0
0.993,0.963,1.023,SPO0055,0
0.99,0.95,1.033,SPO0056,0
0.65,0.138,1.132,SPO0057,6
1.048,1.027,1.066,SPO0058,0
1.024,0.997,1.047,SPO0059,0
1.047,1.029,1.067,SPO0060,0
NA,NA,NA,SPO0061,10000
0.472,0,0.944,SPO0062,0
0.228,0,0.695,SPO0063,0
NA,NA,NA,SPO0064,10000
NA,NA,NA,SPO0065,10000
0.969,0.955,0.985,SPO0066,0
1.039,0.903,1.165,SPO0067,0
0.923,0.868,0.981,SPO0068,0
1.001,0.973,1.028,SPO0069,0
0.996,0.946,1.042,SPO0070,0
0.92,0.846,0.988,SPO0071,0
0.843,0.282,1.189,SPO0072,0
NA,NA,NA,SPO0074,10000
1.059,1.037,1.08,SPO0075,0
0.922,0.881,0.957,SPO0077,0
1.014,0.985,1.043,SPO0078,0
NA,NA,NA,SPO0079,10000
NA,NA,NA,SPO0080,10000
NA,NA,NA,SPO0081,10000
NA,NA,NA,SPO0082,10000
1.031,1.008,1.056,SPO0084,0
0.967,0.926,1.007,SPO0085,0
1.032,1.02,1.045,SPO0086,0
0.978,0.964,0.994,SPO0087,0
1.016,0.982,1.041,SPO0088,0
0.976,0.945,1.013,SPO0089,0
0.961,0.935,0.989,SPO0090,0
1.012,0.992,1.033,SPO0091,0
0.994,0.96,1.034,SPO0092,0
1.011,0.974,1.054,SPO0093,0
0.985,0.962,1.013,SPO0094,0
0.937,0.892,0.975,SPO0095,0
0.992,0.96,1.027,SPO0096,0
0.982,0.961,1.004,SPO0097,0
0.946,0.922,0.97,SPO0098,0
0.971,0.946,0.991,SPO0099,0
