mean,lwrCL,uprCL,stdev,lwrCL_adj,uprCL_adj,spo,naCount
1.052,1.047,1.057,0.002,1.043,1.059,SPO_Sp16SA,0
1.052,1.047,1.057,0.002,1.045,1.06,SPO_Sp16SB,0
1.053,1.05,1.056,0.002,1.047,1.058,SPO_Sp16SC,0
1.024,1.02,1.028,0.002,1.017,1.03,SPO_Sp23SA,0
1.024,1.018,1.029,0.003,1.016,1.032,SPO_Sp23SB,0
1.023,1.004,1.039,0.009,0.986,1.044,SPO_Sp5SD,0
1.016,0.997,1.036,0.01,0.981,1.055,SPO_Sp5SE,0
1.018,0.995,1.041,0.012,0.982,1.061,SPO_Sp5SF,0
0.822,0.755,0.89,0.035,0.711,0.929,SPO0001,0
1.054,1.035,1.076,0.01,1.028,1.09,SPO0002,0
0.191,0,0.4,0.145,0,0.4,SPO0003,642
NA,NA,NA,NA,NA,NA,SPO0004,10000
1.053,1.032,1.078,0.012,1.025,1.105,SPO0005,0
1.026,1.008,1.044,0.009,0.996,1.055,SPO0006,0
1.027,1.007,1.048,0.01,0.994,1.059,SPO0007,0
0.965,0.932,0.994,0.016,0.91,1.009,SPO0008,0
0.953,0.919,0.99,0.018,0.893,1.016,SPO0009,0
0,0,0,0,0,0,SPO0010,0
0.988,0.971,1.008,0.01,0.96,1.025,SPO0011,0
1.035,1.017,1.056,0.01,1.008,1.071,SPO0012,0
0.998,0.975,1.018,0.011,0.96,1.03,SPO0013,0
0.998,0.978,1.017,0.01,0.964,1.022,SPO0014,0
1.024,1.001,1.044,0.011,0.982,1.059,SPO0015,0
0.977,0.948,1,0.014,0.92,1.006,SPO0016,0
0.99,0.969,1.011,0.011,0.954,1.025,SPO0017,0
0.113,0,0.232,0.058,0,0.264,SPO0018,0
0.994,0.978,1.01,0.008,0.966,1.022,SPO0019,0
1.018,1.003,1.033,0.008,0.994,1.051,SPO0020,0
0.948,0.93,0.966,0.009,0.919,0.977,SPO0021,0
0.974,0.957,0.988,0.008,0.945,0.994,SPO0022,0
1.004,0.982,1.032,0.013,0.979,1.056,SPO0023,0
0.93,0.918,0.943,0.006,0.907,0.953,SPO0024,0
1.024,0.984,1.062,0.02,0.953,1.079,SPO0025,0
NA,NA,NA,NA,NA,NA,SPO0026,10000
0.993,0.982,1.006,0.006,0.979,1.018,SPO0027,0
0.991,0.97,1.009,0.01,0.953,1.017,SPO0028,0
1.022,0.993,1.049,0.014,0.966,1.063,SPO0029,0
1.027,1.009,1.046,0.009,0.995,1.056,SPO0030,0
1.009,0.98,1.036,0.015,0.961,1.052,SPO0031,0
1.021,1.007,1.037,0.008,0.999,1.049,SPO0033,0
0.977,0.944,1.004,0.016,0.915,1.018,SPO0034,0
0.984,0.968,0.999,0.008,0.951,1.011,SPO0035,0
0.985,0.975,0.995,0.005,0.969,1.004,SPO0036,0
0.995,0.984,1.008,0.006,0.979,1.02,SPO0037,0
NA,NA,NA,NA,NA,NA,SPO0038,10000
NA,NA,NA,NA,NA,NA,SPO0039,10000
1.027,1.015,1.04,0.007,1.003,1.052,SPO0040,0
1.001,0.975,1.027,0.014,0.958,1.051,SPO0041,0
1.028,0.999,1.056,0.015,0.965,1.076,SPO0042,0
NA,NA,NA,NA,NA,NA,SPO0043,10000
0.85,0.754,0.952,0.051,0.675,1.026,SPO0044,0
1.007,0.997,1.021,0.006,0.994,1.032,SPO0045,0
0.968,0.93,1.013,0.022,0.911,1.047,SPO0046,0
1.018,0.962,1.088,0.033,0.942,1.159,SPO0046a,0
0.969,0.94,0.995,0.014,0.911,1.008,SPO0047,0
0.998,0.949,1.047,0.025,0.906,1.085,SPO0048,0
0.976,0.945,1.007,0.016,0.918,1.029,SPO0049,0
0.99,0.969,1.009,0.01,0.956,1.016,SPO0050,0
0.985,0.963,1.012,0.013,0.956,1.031,SPO0051,0
1.035,0.997,1.068,0.019,0.964,1.084,SPO0052,0
0.984,0.952,1.018,0.017,0.934,1.054,SPO0053,0
1.002,0.986,1.019,0.008,0.978,1.025,SPO0054,0
0.993,0.963,1.023,0.015,0.947,1.042,SPO0055,0
0.99,0.95,1.033,0.022,0.924,1.066,SPO0056,0
0.65,0.138,1.132,0.26,0,1.409,SPO0057,6
1.048,1.027,1.066,0.01,1.014,1.075,SPO0058,0
1.024,0.997,1.047,0.013,0.979,1.061,SPO0059,0
1.047,1.029,1.067,0.01,1.018,1.082,SPO0060,0
NA,NA,NA,NA,NA,NA,SPO0061,10000
0.472,0,0.944,0.235,0,1.06,SPO0062,0
0.228,0,0.695,0.201,0,1.029,SPO0063,0
NA,NA,NA,NA,NA,NA,SPO0064,10000
NA,NA,NA,NA,NA,NA,SPO0065,10000
0.969,0.955,0.985,0.008,0.943,0.997,SPO0066,0
1.039,0.903,1.165,0.068,0.793,1.249,SPO0067,0
0.923,0.868,0.981,0.029,0.836,1.02,SPO0068,0
1.001,0.973,1.028,0.014,0.949,1.05,SPO0069,0
0.996,0.946,1.042,0.025,0.902,1.074,SPO0070,0
0.92,0.846,0.988,0.037,0.787,1.03,SPO0071,0
0.843,0.282,1.189,0.248,0,1.27,SPO0072,0
NA,NA,NA,NA,NA,NA,SPO0074,10000
1.059,1.037,1.08,0.011,1.018,1.091,SPO0075,0
0.922,0.881,0.957,0.02,0.852,0.977,SPO0077,0
1.014,0.985,1.043,0.015,0.963,1.062,SPO0078,0
NA,NA,NA,NA,NA,NA,SPO0079,10000
NA,NA,NA,NA,NA,NA,SPO0080,10000
NA,NA,NA,NA,NA,NA,SPO0081,10000
NA,NA,NA,NA,NA,NA,SPO0082,10000
1.031,1.008,1.056,0.012,0.989,1.076,SPO0084,0
0.967,0.926,1.007,0.021,0.897,1.03,SPO0085,0
1.032,1.02,1.045,0.006,1.011,1.056,SPO0086,0
0.978,0.964,0.994,0.008,0.957,1.006,SPO0087,0
1.016,0.982,1.041,0.015,0.961,1.053,SPO0088,0
0.976,0.945,1.013,0.018,0.931,1.035,SPO0089,0
0.961,0.935,0.989,0.014,0.917,1.014,SPO0090,0
1.012,0.992,1.033,0.011,0.982,1.049,SPO0091,0
0.994,0.96,1.034,0.019,0.938,1.062,SPO0092,0
1.011,0.974,1.054,0.021,0.954,1.084,SPO0093,0
0.985,0.962,1.013,0.013,0.957,1.029,SPO0094,0
0.937,0.892,0.975,0.022,0.86,0.992,SPO0095,0
0.992,0.96,1.027,0.017,0.941,1.05,SPO0096,0
0.982,0.961,1.004,0.011,0.94,1.019,SPO0097,0
0.946,0.922,0.97,0.012,0.901,0.987,SPO0098,0
0.971,0.946,0.991,0.012,0.926,1.002,SPO0099,0
1.018,0.972,1.068,0.025,0.952,1.109,SPO0100,0
0.988,0.967,1.011,0.011,0.951,1.025,SPO0101,0
1.01,0.968,1.046,0.02,0.941,1.066,SPO0102,0
1.027,0.972,1.077,0.027,0.924,1.109,SPO0103,0
0.994,0.973,1.011,0.01,0.961,1.017,SPO0104,0
0.988,0.96,1.017,0.015,0.941,1.043,SPO0105,0
1.018,1,1.035,0.009,0.987,1.045,SPO0106,0
0.997,0.979,1.022,0.011,0.971,1.041,SPO0107,0
0.985,0.935,1.034,0.026,0.885,1.072,SPO0108,0
1.013,1.001,1.024,0.006,0.993,1.03,SPO0109,0
1.018,1.011,1.025,0.004,1.002,1.029,SPO0110,0
1.044,1.029,1.059,0.008,1.019,1.069,SPO0111,0
1.018,1.007,1.028,0.005,0.999,1.034,SPO0112,0
1.023,1.011,1.038,0.007,1.004,1.053,SPO0113,0
1.02,0.976,1.079,0.027,0.963,1.128,SPO0114,0
0.985,0.966,1,0.009,0.953,1.01,SPO0115,0
1.011,0.992,1.026,0.009,0.975,1.031,SPO0116,0
0.96,0.937,0.991,0.014,0.935,1.011,SPO0118,0
1.061,0.992,1.12,0.033,0.933,1.153,SPO0119,0
1.015,0.983,1.046,0.016,0.964,1.064,SPO0120,0
1.003,0.952,1.052,0.026,0.908,1.098,SPO0122,0
0.979,0.959,0.999,0.01,0.947,1.014,SPO0123,0
1.023,1.004,1.042,0.01,0.993,1.053,SPO0124,0
0.996,0.96,1.032,0.019,0.929,1.062,SPO0125,0
1.036,0.999,1.068,0.018,0.957,1.08,SPO0126,0
1.105,1.004,1.204,0.051,0.942,1.255,SPO0127,0
1.015,0.992,1.04,0.013,0.978,1.062,SPO0128,0
1.028,0.992,1.069,0.02,0.965,1.105,SPO0129,0
0.926,0.879,0.977,0.025,0.846,1.017,SPO0130,0
1.059,0.987,1.134,0.038,0.946,1.194,SPO0131,0
0.957,0.929,0.994,0.017,0.92,1.021,SPO0132,0
0.976,0.963,0.989,0.007,0.955,0.999,SPO0133,0
1.112,1.001,1.239,0.061,0.936,1.35,SPO0134,0
0.996,0.96,1.028,0.018,0.932,1.044,SPO0135,0
0.982,0.954,1.012,0.015,0.937,1.039,SPO0136,0
1.009,0.983,1.035,0.013,0.963,1.059,SPO0137,0
0.986,0.937,1.036,0.025,0.911,1.068,SPO0138,0
0.985,0.964,1.005,0.011,0.943,1.019,SPO0139,0
0.968,0.93,1.007,0.02,0.9,1.035,SPO0140,0
0.981,0.909,1.064,0.04,0.874,1.136,SPO0141,0
1.006,0.972,1.041,0.018,0.946,1.069,SPO0142,0
0.967,0.932,0.993,0.016,0.905,1.002,SPO0143,0
1.559,1.424,1.627,0.073,1.424,1.627,SPO0144,3139
1.01,0.975,1.045,0.018,0.949,1.069,SPO0146,0
0.78,0.664,0.902,0.062,0.591,1.014,SPO0147,0
NA,NA,NA,NA,NA,NA,SPO0149,10000
NA,NA,NA,NA,NA,NA,SPO0150,10000
0.95,0.925,0.974,0.013,0.905,0.995,SPO0151,0
0.958,0.928,1,0.019,0.922,1.025,SPO0152,0
0.841,0.788,0.894,0.027,0.741,0.925,SPO0153,0
1,0.972,1.029,0.015,0.955,1.055,SPO0154,0
NA,NA,NA,NA,NA,NA,SPO0155,10000
1.009,0.985,1.027,0.011,0.969,1.036,SPO0156,0
0.992,0.964,1.019,0.014,0.94,1.039,SPO0157,0
1.032,1.009,1.053,0.011,0.989,1.066,SPO0160,0
1.004,0.956,1.036,0.021,0.927,1.047,SPO0161,0
