"spo","meanW","semW"
"SPO_Sp16SA",1.052,0.003
"SPO_Sp16SB",1.052,0.004
"SPO_Sp16SC",1.053,0.002
"SPO_Sp23SA",1.024,0.003
"SPO_Sp23SB",1.024,0.003
"SPO_Sp5SD",1.023,0.008
"SPO_Sp5SE",1.016,0.014
"SPO_Sp5SF",1.018,0.016
"SPO0001",0.821,0.036
"SPO0002",1.054,0.011
"SPO0003",0.182,0.182
"SPO0005",1.053,0.013
"SPO0006",1.026,0.01
"SPO0007",1.027,0.012
"SPO0008",0.965,0.016
"SPO0009",0.953,0.016
"SPO0010",0,0
"SPO0011",0.988,0.012
"SPO0012",1.035,0.011
"SPO0013",0.998,0.013
"SPO0014",0.998,0.013
"SPO0015",1.024,0.012
"SPO0016",0.977,0.014
"SPO0017",0.99,0.009
"SPO0018",0.122,0.071
"SPO0019",0.994,0.011
"SPO0020",1.017,0.009
"SPO0021",0.948,0.009
"SPO0022",0.974,0.011
"SPO0023",1.004,0.012
"SPO0024",0.93,0.01
"SPO0025",1.024,0.028
"SPO0027",0.993,0.007
"SPO0028",0.991,0.016
"SPO0029",1.022,0.015
"SPO0030",1.027,0.01
"SPO0031",1.01,0.02
"SPO0033",1.021,0.011
"SPO0034",0.977,0.011
"SPO0035",0.984,0.013
"SPO0036",0.985,0.007
"SPO0037",0.995,0.006
"SPO0040",1.027,0.009
"SPO0041",1.001,0.022
"SPO0042",1.028,0.007
"SPO0044",0.85,0.073
"SPO0045",1.007,0.006
"SPO0046",0.967,0.026
"SPO0046a",1.018,0.043
"SPO0047",0.969,0.018
"SPO0048",0.998,0.031
"SPO0049",0.977,0.016
"SPO0050",0.99,0.013
"SPO0051",0.985,0.017
"SPO0052",1.035,0.022
"SPO0053",0.984,0.012
"SPO0054",1.002,0.01
"SPO0055",0.994,0.019
"SPO0056",0.99,0.01
"SPO0057",0.788,0.197
"SPO0058",1.048,0.013
"SPO0059",1.024,0.019
"SPO0060",1.047,0.014
"SPO0062",0.487,0.282
"SPO0063",0.261,0.261
"SPO0066",0.97,0.004
"SPO0067",1.039,0.097
"SPO0068",0.923,0.031
"SPO0069",1.001,0.004
"SPO0070",0.996,0.018
"SPO0071",0.92,0.037
"SPO0072",0.837,0.279
"SPO0075",1.059,0.011
"SPO0077",0.922,0.025
"SPO0078",1.014,0.017
"SPO0084",1.031,0.016
"SPO0085",0.967,0.019
"SPO0086",1.032,0.008
"SPO0087",0.978,0.011
"SPO0088",1.016,0.019
"SPO0089",0.976,0.018
"SPO0090",0.961,0.02
"SPO0091",1.012,0.007
"SPO0092",0.994,0.012
"SPO0093",1.011,0.015
"SPO0094",0.985,0.009
"SPO0095",0.936,0.026
"SPO0096",0.992,0.018
"SPO0097",0.982,0.012
"SPO0098",0.946,0.018
"SPO0099",0.971,0.017
"SPO0100",1.018,0.021
"SPO0101",0.988,0.007
"SPO0102",1.01,0.017
"SPO0103",1.027,0.043
"SPO0104",0.994,0.01
"SPO0105",0.988,0.014
"SPO0106",1.018,0.013
"SPO0107",0.997,0.015
"SPO0108",0.985,0.03
"SPO0109",1.013,0.007
"SPO0110",1.018,0.002
"SPO0111",1.044,0.01
"SPO0112",1.018,0.006
"SPO0113",1.023,0.006
"SPO0114",1.02,0.03
"SPO0115",0.985,0.005
"SPO0116",1.011,0.006
"SPO0118",0.96,0.016
"SPO0119",1.061,0.05
"SPO0120",1.014,0.016
"SPO0122",1.003,0.022
"SPO0123",0.979,0.006
"SPO0124",1.023,0.007
"SPO0125",0.997,0.029
"SPO0126",1.036,0.028
"SPO0127",1.104,0.042
"SPO0128",1.015,0.015
"SPO0129",1.028,0.025
"SPO0130",0.926,0.035
"SPO0131",1.059,0.055
"SPO0132",0.957,0.018
"SPO0133",0.976,0.01
"SPO0134",1.111,0.026
"SPO0135",0.996,0.02
"SPO0136",0.982,0.013
"SPO0137",1.01,0.017
"SPO0138",0.986,0.035
"SPO0139",0.985,0.016
"SPO0140",0.968,0.022
"SPO0141",0.981,0.061
"SPO0142",1.006,0.012
"SPO0143",0.967,0.016
"SPO0144",1.424,NA
"SPO0146",1.01,0.027
"SPO0147",0.779,0.052
"SPO0151",0.95,0.013
"SPO0152",0.958,0.022
"SPO0153",0.841,0.034
"SPO0154",1,0.02
"SPO0156",1.009,0.015
"SPO0157",0.992,0.006
"SPO0160",1.032,0.017
"SPO0161",1.004,0.028
"SPO0162",0.958,0.018
"SPO0163",0.96,0.016
"SPO0164",0.951,0.01
"SPO0165",0.968,0.044
"SPO0166",0.956,0.016
"SPO0167",0.98,0.027
"SPO0168",1.005,0.021
"SPO0169",0.98,0.025
"SPO0170",0.99,0.023
"SPO0171",0.996,0.04
"SPO0172",1.028,0.02
"SPO0173",0.917,0.069
"SPO0174",1.045,0.048
"SPO0175",0.959,0.035
"SPO0176",0.977,0.039
"SPO0177",0.977,0.025
