"spo","w_1","w_2","w_3","w_4"
"SPO_Sp16SA",1.04,1.05,1.06,1.06
"SPO_Sp16SB",1.04,1.05,1.06,1.06
"SPO_Sp16SC",1.05,1.05,1.06,1.06
"SPO_Sp23SA",1.02,1.02,1.03,1.03
"SPO_Sp23SB",1.02,1.03,1.03,1.02
"SPO_Sp5SD",1.03,1,1.04,1.03
"SPO_Sp5SE",0.98,1.04,1.03,1.01
"SPO_Sp5SF",0.97,1.04,1.04,1.03
"SPO0001",0.82,0.74,0.8,0.92
"SPO0002",1.03,1.06,1.05,1.08
"SPO0003",NA,0.36,0,NA
"SPO0004",NA,NA,NA,NA
"SPO0005",1.02,1.06,1.09,1.04
"SPO0006",1.02,1,1.05,1.04
"SPO0007",1,1.05,1.03,1.02
"SPO0008",0.98,1,0.92,0.96
"SPO0009",0.92,0.97,0.99,0.94
"SPO0010",0,0,0,0
"SPO0011",1,1.02,0.97,0.97
"SPO0012",1.07,1.03,1.02,1.02
"SPO0013",0.96,1.01,1.02,0.99
"SPO0014",1.02,1.02,0.99,0.97
"SPO0015",1.03,1.05,0.99,1.02
"SPO0016",1.01,0.98,0.94,0.99
"SPO0017",1.01,0.97,0.99,1
"SPO0018",0,0,0.26,0.22
"SPO0019",1,0.99,1.02,0.97
"SPO0020",1,1.03,1.04,1.01
"SPO0021",0.94,0.93,0.95,0.97
"SPO0022",0.97,0.98,0.94,0.99
"SPO0023",1.02,1.03,0.99,0.98
"SPO0024",0.93,0.91,0.93,0.95
"SPO0025",1.09,1.04,0.96,1
"SPO0026",NA,NA,NA,NA
"SPO0027",1,0.99,0.98,1.01
"SPO0028",0.95,1.01,0.99,1.01
"SPO0029",0.98,1.03,1.05,1.03
"SPO0030",1.02,1.06,1.02,1.01
"SPO0031",1.05,0.99,1.03,0.96
"SPO0033",1.03,1.05,1.01,1
"SPO0034",0.95,0.96,0.99,1
"SPO0035",1,0.95,1.01,0.98
"SPO0036",1,0.99,0.97,0.98
"SPO0037",1.01,1,0.99,0.98
"SPO0038",NA,NA,NA,NA
"SPO0039",NA,NA,NA,NA
"SPO0040",1.04,1.04,1.02,1.01
"SPO0041",1.05,1.02,0.95,0.99
"SPO0042",1.05,1.02,1.03,1.01
"SPO0043",NA,NA,NA,NA
"SPO0044",0.85,0.71,0.79,1.05
"SPO0045",1.03,1,1,1
"SPO0046",0.97,0.95,0.91,1.03
"SPO0046a",0.94,1.05,1.13,0.96
"SPO0047",1,0.92,0.97,1
"SPO0048",0.96,0.94,1.03,1.07
"SPO0049",0.97,0.93,1.01,0.99
"SPO0050",1.01,0.95,0.99,1.01
"SPO0051",1.03,0.95,0.99,0.97
"SPO0052",1.04,1.04,1.08,0.98
"SPO0053",1.02,0.97,0.96,0.98
"SPO0054",1.01,1.02,0.99,0.98
"SPO0055",1,0.95,0.98,1.04
"SPO0056",0.99,0.96,1.01,1
"SPO0057",NA,0.41,0.87,1.08
"SPO0058",1.01,1.04,1.07,1.06
"SPO0059",1.02,0.97,1.06,1.04
"SPO0060",1.03,1.07,1.07,1.02
"SPO0061",NA,NA,NA,NA
"SPO0062",0,0,0.93,1.02
"SPO0063",0,0,1.05,0
"SPO0064",NA,NA,NA,NA
"SPO0065",NA,NA,NA,NA
"SPO0066",0.97,0.98,0.97,0.96
"SPO0067",1.24,0.79,1.11,1.01
"SPO0068",0.92,0.98,0.96,0.84
"SPO0069",1.01,0.99,0.99,1
"SPO0070",0.96,1.04,0.98,1
"SPO0071",0.81,0.96,0.96,0.95
"SPO0072",1.14,0,1.07,1.14
"SPO0074",NA,NA,NA,NA
"SPO0075",1.09,1.04,1.07,1.04
"SPO0077",0.97,0.91,0.86,0.95
"SPO0078",0.97,1.03,1.05,1.02
"SPO0079",NA,NA,NA,NA
"SPO0080",NA,NA,NA,NA
"SPO0081",NA,NA,NA,NA
