"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO_Sp16SA",0.96,0.97,0.96,0.98,1,1,1,1,1.1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp16SB",0.95,0.97,0.96,0.98,1,1.1,1,1,1.1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp16SC",0.95,0.97,0.96,0.98,1,1.1,1,1,1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp23SA",0.95,0.97,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp23SB",0.96,0.97,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp5SD",1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp5SE",0.96,0.97,1,0.98,0.99,1,1,1,1,1,1,1,0.98,1,1,1
"SPO_Sp5SF",0.93,0.96,0.99,0.96,0.99,1,1.1,1,1,1,1,1,0.97,1,1,1
"SPO0001",0.71,0.84,0.85,0.9,0.79,0.74,0.84,0.78,0.79,0.8,0.82,0.82,0.82,0.74,0.8,0.92
"SPO0002",0.98,1.1,1,0.99,1,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1,1.1
"SPO0003",NA,0.71,0.92,NA,NA,1,0,NA,NA,0,0,NA,NA,0.36,0,NA
"SPO0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0005",1.1,1,1.1,1.1,1,1,1.1,1.1,1,1,1.1,1,1,1.1,1.1,1
"SPO0006",0.99,1,1,1.1,1,0.98,1,1,1,1,1,1,1,1,1,1
"SPO0007",1.1,1,1.1,0.99,0.98,1,1,1,0.99,1,1,1,1,1.1,1,1
"SPO0008",1,0.96,0.97,0.99,0.96,0.96,0.97,0.95,1,0.97,1,0.98,0.98,1,0.92,0.96
"SPO0009",0.97,0.89,1,0.95,0.97,0.91,0.97,0.97,0.98,0.93,1,0.95,0.92,0.97,0.99,0.94
"SPO0010",0,0.79,0.65,0,0,0,0,0,0,0.72,0.52,1,0,0,0,0
"SPO0011",0.99,0.98,1,0.99,1,0.97,1,0.97,1,1,1,0.98,1,1,0.97,0.97
"SPO0012",1.1,1,1,0.99,1.1,1,1,1,1.1,1,1,1,1.1,1,1,1
"SPO0013",0.96,0.99,1.1,0.99,0.95,0.98,1,1,0.95,1,1,0.97,0.96,1,1,0.99
"SPO0014",0.99,1,0.94,0.99,1,1,0.98,0.99,1,1,0.99,0.98,1,1,0.99,0.97
"SPO0015",1,1.1,1,0.99,0.97,1,1,0.99,0.99,1,1,1,1,1.1,0.99,1
"SPO0016",0.99,1,0.98,0.93,1,0.98,1,1.1,1,0.96,0.99,1,1,0.98,0.94,0.99
"SPO0017",1,1,1,1,1,1.1,0.99,1,1,1,1,1,1,0.97,0.99,1
"SPO0018",0,0,0,0,0,0.38,0,0,0,0,0.15,0.12,0,0,0.26,0.22
"SPO0019",0.94,0.98,1,0.97,1,0.97,0.98,0.95,0.96,0.98,0.99,0.97,1,0.99,1,0.97
"SPO0020",1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,1
"SPO0021",0.93,0.91,0.9,0.96,0.98,0.96,0.94,0.96,0.95,0.92,0.95,0.97,0.94,0.93,0.95,0.97
"SPO0022",0.97,0.99,1,1,1,0.99,0.96,0.96,0.98,1,1,1,0.97,0.98,0.94,0.99
"SPO0023",1.1,1,1,0.99,1,1.1,1.1,0.99,0.99,1,1,1,1,1,0.99,0.98
"SPO0024",0.88,0.93,0.89,0.95,0.91,0.92,0.92,0.94,0.92,0.92,0.93,0.95,0.93,0.91,0.93,0.95
"SPO0025",1.1,1,1,0.96,1,0.99,0.99,0.97,0.99,0.99,1,1,1.1,1,0.96,1
"SPO0026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0027",0.98,0.98,0.98,1,0.99,0.96,0.98,0.98,0.98,1,1,0.99,1,0.99,0.98,1
