mean,lwrCL,uprCL,spo,naCount
1.047,1.038,1.055,SPO_Sp16SA,0
1.047,1.037,1.057,SPO_Sp16SB,0
1.046,1.038,1.054,SPO_Sp16SC,0
1.021,1.011,1.028,SPO_Sp23SA,0
1.02,1.01,1.027,SPO_Sp23SB,0
1.018,1.01,1.026,SPO_Sp5SD,0
1.009,0.993,1.023,SPO_Sp5SE,0
1.011,0.99,1.031,SPO_Sp5SF,0
0.807,0.766,0.847,SPO0001,0
1.045,1.025,1.062,SPO0002,0
0.102,0,0.433,SPO0003,603
NA,NA,NA,SPO0004,10000
1.03,1.011,1.053,SPO0005,0
1.018,1.005,1.033,SPO0006,0
1.024,1.006,1.042,SPO0007,0
0.989,0.975,1.004,SPO0008,0
0.965,0.941,0.988,SPO0009,0
0.526,0.154,0.849,SPO0010,0
0.996,0.987,1.004,SPO0011,0
1.043,1.025,1.063,SPO0012,0
0.988,0.964,1.009,SPO0013,0
0.993,0.983,1.005,SPO0014,0
1.02,1.002,1.041,SPO0015,0
0.997,0.976,1.021,SPO0016,0
1.015,1.004,1.03,SPO0017,0
0.061,0,0.125,SPO0018,0
0.977,0.969,0.988,SPO0019,0
1.019,1.005,1.034,SPO0020,0
0.949,0.93,0.965,SPO0021,0
1.004,0.985,1.02,SPO0022,0
1.001,0.977,1.027,SPO0023,0
0.931,0.919,0.942,SPO0024,0
0.995,0.974,1.017,SPO0025,0
NA,NA,NA,SPO0026,10000
0.992,0.978,1.005,SPO0027,0
0.989,0.974,1.001,SPO0028,0
1.046,1.01,1.072,SPO0029,0
1.031,1.019,1.043,SPO0030,0
1.021,1.002,1.042,SPO0031,0
1.03,1.015,1.045,SPO0033,0
0.996,0.98,1.013,SPO0034,0
0.986,0.972,0.999,SPO0035,0
0.982,0.973,0.992,SPO0036,0
0.994,0.985,1.006,SPO0037,0
NA,NA,NA,SPO0038,10000
NA,NA,NA,SPO0039,10000
1,0.988,1.012,SPO0040,0
1.04,1.02,1.059,SPO0041,0
0.996,0.973,1.02,SPO0042,0
NA,NA,NA,SPO0043,10000
0.925,0.848,1.007,SPO0044,0
0.998,0.966,1.029,SPO0045,0
0.95,0.919,0.978,SPO0046,0
0.991,0.923,1.068,SPO0046a,0
0.95,0.922,0.978,SPO0047,0
0.957,0.898,1.007,SPO0048,0
0.967,0.938,0.994,SPO0049,0
0.957,0.931,0.982,SPO0050,0
0.981,0.969,0.992,SPO0051,0
0.994,0.969,1.015,SPO0052,0
0.994,0.958,1.034,SPO0053,0
0.971,0.953,0.989,SPO0054,0
1.025,1.008,1.04,SPO0055,0
1.015,0.989,1.041,SPO0056,0
0.944,0.717,1.25,SPO0057,11
1.018,1.004,1.032,SPO0058,0
0.99,0.975,1.006,SPO0059,0
1.052,1.03,1.07,SPO0060,0
NA,NA,NA,SPO0061,10000
0.413,0,0.83,SPO0062,0
0.594,0.195,0.864,SPO0063,0
0.938,0.938,0.938,SPO0064,7734
NA,NA,NA,SPO0065,10000
0.931,0.905,0.956,SPO0066,0
0.912,0.794,1.038,SPO0067,0
0.952,0.921,0.983,SPO0068,0
0.999,0.982,1.016,SPO0069,0
0.999,0.954,1.044,SPO0070,0
0.991,0.962,1.026,SPO0071,0
0.805,0.64,0.962,SPO0072,0
NA,NA,NA,SPO0074,10000
1.05,1.031,1.069,SPO0075,0
0.907,0.884,0.931,SPO0077,0
1.055,1.031,1.077,SPO0078,0
NA,NA,NA,SPO0079,10000
NA,NA,NA,SPO0080,10000
