"spo","w_1","w_2","w_3","w_4"
"SPO_Sp16SA",1.05,1.06,1.03,1.05
"SPO_Sp16SB",1.05,1.06,1.03,1.05
"SPO_Sp16SC",1.05,1.06,1.03,1.05
"SPO_Sp23SA",1.03,1.03,1.01,1.02
"SPO_Sp23SB",1.03,1.02,1.01,1.02
"SPO_Sp5SD",1.01,1.01,1.02,1.02
"SPO_Sp5SE",1,1.02,1.01,1.01
"SPO_Sp5SF",1,1.01,1.02,1.01
"SPO0001",0.79,0.8,0.82,0.82
"SPO0002",1.01,1.07,1.06,1.05
"SPO0003",NA,0,0,NA
"SPO0004",NA,NA,NA,NA
"SPO0005",1,1.02,1.08,1.02
"SPO0006",1.01,1,1.01,1.05
"SPO0007",0.99,1.05,1.05,1.01
"SPO0008",1,0.97,1,0.98
"SPO0009",0.98,0.93,1.01,0.95
"SPO0010",0,0.72,0.52,1.02
"SPO0011",1.01,1,1,0.98
"SPO0012",1.07,1.03,1.04,1.03
"SPO0013",0.95,1.01,1.02,0.97
"SPO0014",1.01,1,0.99,0.98
"SPO0015",0.99,1.03,1.01,1.04
"SPO0016",1.04,0.96,0.99,1
"SPO0017",1,1.04,1,1.02
"SPO0018",0,0,0.15,0.12
"SPO0019",0.96,0.98,0.99,0.97
"SPO0020",0.99,1.02,1.05,1.02
"SPO0021",0.95,0.92,0.95,0.97
"SPO0022",0.98,1.02,1.01,1.01
"SPO0023",0.99,1.01,1,1.01
"SPO0024",0.92,0.92,0.93,0.95
"SPO0025",0.99,0.99,1,1
"SPO0026",NA,NA,NA,NA
"SPO0027",0.98,1.01,1,0.99
"SPO0028",0.97,0.99,1.01,0.99
"SPO0029",0.99,1.08,1.08,1.04
"SPO0030",1.04,1.04,1.01,1.03
"SPO0031",1.03,1,1.06,1
"SPO0033",1.06,1.03,1.02,1.01
"SPO0034",1.02,0.98,1.01,0.98
"SPO0035",0.99,0.96,1.01,0.98
"SPO0036",0.98,0.98,0.99,0.98
"SPO0037",0.99,1,1,0.99
"SPO0038",NA,NA,NA,NA
"SPO0039",NA,NA,NA,NA
"SPO0040",1.01,1,0.98,1
"SPO0041",1.07,1.04,1.02,1.02
"SPO0042",0.99,0.99,1.01,0.99
"SPO0043",NA,NA,NA,NA
"SPO0044",0.97,1.01,0.81,0.91
"SPO0045",1.05,0.95,0.98,1.01
"SPO0046",0.97,0.92,0.96,0.95
"SPO0046a",0.94,1.04,1.11,0.88
"SPO0047",0.99,0.9,0.96,0.95
"SPO0048",0.89,0.93,0.96,1.04
"SPO0049",0.97,0.95,0.97,0.98
"SPO0050",0.95,0.98,0.92,0.98
"SPO0051",0.98,0.98,0.97,0.99
"SPO0052",1,1,0.97,1.01
"SPO0053",1,0.98,0.99,1.01
"SPO0054",0.94,0.96,0.98,0.99
"SPO0055",1.03,1,1.03,1.04
"SPO0056",1.01,1.03,1,1.02
"SPO0057",NA,0.82,0.67,1.2
"SPO0058",1.01,1.04,1.02,1
"SPO0059",1.01,0.98,0.99,0.98
"SPO0060",1.01,1.08,1.06,1.05
"SPO0061",NA,NA,NA,NA
"SPO0062",0,0.75,0.82,0
"SPO0063",0.82,0,0.88,0.75
"SPO0064",NA,NA,NA,NA
"SPO0065",NA,NA,NA,NA
"SPO0066",0.93,0.97,0.93,0.9
"SPO0067",0.89,0.79,0.95,1.01
"SPO0068",0.99,0.97,0.9,0.95
"SPO0069",1.01,1.01,1,0.98
"SPO0070",0.99,0.98,0.99,1.04
"SPO0071",0.98,1.06,0.94,0.97
"SPO0072",0.98,0.76,0.93,0.54
"SPO0074",NA,NA,NA,NA
"SPO0075",1.08,1.05,1.06,1.02
"SPO0077",0.95,0.88,0.88,0.92
"SPO0078",1.01,1.05,1.09,1.07
"SPO0079",NA,NA,NA,NA
"SPO0080",NA,NA,NA,NA
"SPO0081",NA,NA,NA,NA
"SPO0082",NA,NA,NA,NA
"SPO0084",1.03,1.01,1.03,1
"SPO0085",0.84,0.85,0.97,0.98
"SPO0086",1.04,1.02,1.02,1.04
"SPO0087",1.01,1.01,1.01,1.01
"SPO0088",0.97,0.97,1.03,1.02
"SPO0089",0.96,0.98,1,1
"SPO0090",0.99,0.94,1.02,1
"SPO0091",1.01,1.03,1.03,1.04
"SPO0092",1.03,0.95,0.97,0.93
"SPO0093",1.04,1.01,1.01,1.01
"SPO0094",0.97,0.94,0.94,0.96
"SPO0095",0.96,0.96,0.98,0.94
"SPO0096",1,0.93,1.04,1
"SPO0097",0.99,0.99,1,0.93
"SPO0098",0.97,0.98,0.96,0.92
"SPO0099",0.94,0.95,1.01,0.94
"SPO0100",1.06,1.05,1,1.01
"SPO0101",0.97,0.97,1.01,0.99
"SPO0102",1,0.99,1.02,0.96
"SPO0103",0.99,1.03,1.05,1.06
"SPO0104",1,1,1.01,1.01
"SPO0105",1.02,1.01,0.95,0.98
"SPO0106",1.03,0.98,1,1.01
"SPO0107",1,1.02,1.04,1.01
"SPO0108",0.91,1,0.91,0.93
"SPO0109",1.01,0.99,1.02,1.02
"SPO0110",1.01,1.02,1.02,1.02
"SPO0111",1.04,1.05,1.01,1.02
"SPO0112",1.01,1.01,1.03,1.02
"SPO0113",0.99,1.01,1.03,1.07
"SPO0114",1.02,1.05,0.97,1.05
"SPO0115",0.99,1,0.98,1
"SPO0116",0.99,1.01,1.04,1.03
"SPO0118",0.94,0.95,0.95,0.96
"SPO0119",0.94,1.07,1.08,1.11
"SPO0120",0.96,1.05,1,0.99
"SPO0122",1.08,1.02,0.91,0.95
"SPO0123",0.96,0.98,1.03,1
"SPO0124",1.02,1.03,1.03,1.03
"SPO0125",0.95,1.01,1.06,1.04
"SPO0126",1,1.04,1.04,1.05
"SPO0127",1.16,1.03,1.02,1.22
"SPO0128",1.06,0.99,0.99,0.98
"SPO0129",1.07,1.03,1.01,1.05
"SPO0130",0.91,0.98,0.88,0.92
"SPO0131",1.07,1.06,1.06,0.97
"SPO0132",0.98,0.95,0.96,0.94
"SPO0133",1,0.99,0.98,1
"SPO0134",1.25,0.94,1.05,0.97
"SPO0135",0.97,1.01,0.98,0.91
