"spo","pval","gene","funct","NCBI","padj"
"SPO_Sp16SA",0.4298,"16S rRNA","","",1
"SPO_Sp16SB",0.403,"16S rRNA","","",1
"SPO_Sp16SC",0.198,"16S rRNA","","",1
"SPO_Sp23SA",0.0272,"23S rRNA","","",0.367871698113208
"SPO_Sp23SB",0,"23S rRNA","","",0
"SPO_Sp5SD",0,"5S rRNA","","",0
"SPO_Sp5SE",0.144,"5S rRNA","","",0.91598407960199
"SPO_Sp5SF",0.026,"5S rRNA","","",0.367871698113208
"SPO0001",0.766,"gidA","glucose inhibited division protein A","SPO_RS00005",1
"SPO0002",0.0264,"gidB","glucose-inhibited division protein B","SPO_RS22355",0.367871698113208
"SPO0003",0.06,"parA","chromosome partitioning protein ParA","SPO_RS00015",0.605231607629428
"SPO0005",0,"SPO0005","hypothetical protein","SPO_RS00025",0
"SPO0006",1.0026,"SPO0006","oxygen-independent coproporphyrinogen III oxidase, putative","SPO_RS00030",1
"SPO0007",1.3444,"SPO0007","non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family","SPO_RS00035",1
"SPO0008",0.395,"rph","ribonuclease PH","SPO_RS00040",1
"SPO0009",0.7506,"hrcA","heat-inducible transcription repressor HrcA","SPO_RS00045",1
"SPO0010",0.5904,"grpE","co-chaperone GrpE","SPO_RS00050",1
"SPO0011",0.257,"mutS","DNA mismatch repair protein MutS","SPO_RS00055",1
"SPO0012",0.9938,"maeB","NADP-dependent malic enzyme","SPO_RS00060",1
"SPO0013",0.8032,"rbsK","ribokinase","SPO_RS00065",1
"SPO0014",0.7114,"msrA-1","methionine-S-sulfoxide reductase","SPO_RS00070",1
"SPO0015",0.9932,"SPO0015","hypothetical protein","SPO_RS00075",1
"SPO0016",0.6388,"SPO0016","sterol carrier family protein","SPO_RS00080",1
"SPO0017",2,"SPO0017","hypothetical protein","SPO_RS00085",1
"SPO0018",0,"argG","argininosuccinate synthase","SPO_RS00090",0
"SPO0019",0.485,"SPO0019","hypothetical protein","SPO_RS00095",1
"SPO0020",0.9892,"ilvA","threonine dehydratase","SPO_RS00100",1
"SPO0021",0.0846,"SPO0021","Hpt domain protein","SPO_RS00105",0.788454807692308
"SPO0022",0.4278,"SPO0022","response regulator","SPO_RS00110",1
"SPO0023",1.0132,"SPO0023","hydrolase, NUDIX family","SPO_RS00115",1
"SPO0024",0.2768,"hslO","chaperonin, 33 kDa","SPO_RS00120",1
"SPO0025",0.9998,"SPO0025","hydrolase, NUDIX family","SPO_RS00125",1
"SPO0027",0.156,"SPO0027","ABC transporter, transmembrane ATP-binding protein","SPO_RS00135",0.945191489361702
"SPO0028",1.2564,"SPO0028","ABC transporter, transmembrane ATP-binding protein","SPO_RS00140",1
"SPO0029",0,"rumA","23S rRNA (Uracil-5-)-methyltransferase rumA","SPO_RS00145",0
"SPO0030",1.0148,"SPO0030","voltage-gated sodium channel","SPO_RS00150",1
"SPO0031",0.9976,"SPO0031","ErfK/YbiS/YcfS/YnhG family protein","SPO_RS00155",1
"SPO0033",1.5798,"SPO0033","transcriptional regulator, LysR family","SPO_RS00165",1
"SPO0034",0.976,"SPO0034","hypothetical protein","SPO_RS00170",1
"SPO0035",0.3696,"SPO0035","core-2/I-branching enzyme family protein","SPO_RS00175",1
"SPO0036",0.9972,"SPO0036","hypothetical protein","SPO_RS00180",1
"SPO0037",0.2552,"SPO0037","hypothetical protein","SPO_RS00185",1
"SPO0040",0.1418,"SPO0040","ABC transporter, permease protein","SPO_RS00200",0.91598407960199
"SPO0041",0.9996,"SPO0041","hypothetical protein","SPO_RS22085",1
"SPO0042",0.9948,"SPO0042","alkylated DNA repair protein, putative","SPO_RS00210",1
"SPO0044",0.935,"dnaJ","chaperone protein DnaJ","SPO_RS00220",1
"SPO0045",0.8022,"thiD","phosphomethylpyrimidine kinase","SPO_RS00225",1
"SPO0046",0.0262,"SPO0046","thiamine biosynthesis oxidoreductase ThiO, putative","SPO_RS00230",0.367871698113208
"SPO0046a",0.7372,"thiS","thiamine biosynthesis protein ThiS","SPO_RS00235",1
"SPO0047",0.596,"thiG","thiazole biosynthesis protein ThiG","SPO_RS00240",1
"SPO0048",0.2252,"thiE","thiamine-phosphate pyrophosphorylase","SPO_RS00245",1
"SPO0049",0.1464,"SPO0049","thiamine biosynthesis protein ThiF","SPO_RS00250",0.91598407960199
"SPO0050",0.9834,"SPO0050","ABC transporter, periplasmic substrate-binding protein","SPO_RS00255",1
"SPO0051",1.1724,"SPO0051","TENA/THI-4 family protein","SPO_RS00260",1
"SPO0052",0.8612,"SPO0052","ABC transporter, ATP-binding protein","SPO_RS00265",1
"SPO0053",1.0864,"SPO0053","ABC transporter, permease protein","SPO_RS00270",1
"SPO0054",0.6874,"radC","DNA repair protein RadC","SPO_RS00275",1
"SPO0055",1.573,"SPO0055","OmpA domain protein","SPO_RS00280",1
"SPO0056",1.5752,"SPO0056","hypothetical protein","SPO_RS00285",1
"SPO0057",0.9562,"secA","preprotein translocase, SecA subunit","SPO_RS00290",1
"SPO0058",2,"SPO0058","PPIC-type PPIASE domain protein","SPO_RS00295",1
"SPO0059",0.2578,"argJ","glutamate N-acetyltransferase/amino-acid acetyltransferase","SPO_RS00300",1
"SPO0060",0,"mutT","mutator mutT protein","SPO_RS00305",0
"SPO0062",0.8196,"SPO0062","hypothetical protein","SPO_RS00315",1
"SPO0063",0.14,"nusA","transcription termination factor NusA","SPO_RS00320",0.91598407960199
"SPO0066",0.0584,"pip","proline iminopeptidase","SPO_RS00335",0.601702479338843
"SPO0067",0.5476,"ubiG","3-demethylubiquinone-9 3-methyltransferase","SPO_RS00340",1
"SPO0068",0.3344,"SPO0068","transcriptional regulator, putative","SPO_RS00345",1
"SPO0069",1.0022,"SPO0069","hydrolase, carbon-nitrogen family","SPO_RS00350",1
"SPO0070",0.885,"SPO0070","glutaredoxin","SPO_RS00355",1
"SPO0071",0.0316,"SPO0071","competence protein F, putative","SPO_RS00360",0.367871698113208
"SPO0072",0.3716,"SPO0072","hypothetical protein","SPO_RS00365",1
"SPO0075",0,"SPO0075","ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein","SPO_RS00380",0
"SPO0077",0.1096,"ptsN","PTS IIA-like nitrogen-regulatory protein PtsN","SPO_RS00390",0.863558512720157
"SPO0078",1.002,"SPO0078","ribosomal subunit interface protein, putative","SPO_RS00395",1
"SPO0084",0,"betB","betaine aldehyde dehydrogenase","SPO_RS00425",0
"SPO0085",0.6172,"SPO0085","hypothetical protein","SPO_RS00430",1
"SPO0086",1.0152,"SPO0086","lipoprotein, putative","SPO_RS00435",1
"SPO0087",0.9794,"SPO0087","hypothetical protein","SPO_RS00440",1
"SPO0088",0.7404,"SPO0088","hypothetical protein","SPO_RS00445",1
"SPO0089",0.7326,"SPO0089","hypothetical protein","SPO_RS00450",1
"SPO0090",1.0026,"SPO0090","hypothetical protein","SPO_RS00455",1
"SPO0091",1.0054,"SPO0091","rhodanese-like domain protein","SPO_RS00460",1
"SPO0092",0.9422,"SPO0092","heat shock protein, Hsp70 family","SPO_RS00465",1
"SPO0093",1.0016,"pncA","pyrazinamidase/nicotinamidase","SPO_RS00470",1
"SPO0094",0.08,"SPO0094","sensory box sensor histidine kinase/response regulator","SPO_RS00475",0.785570291777188
"SPO0095",0.0292,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0.367871698113208
"SPO0096",1.1122,"SPO0096","hypothetical protein","SPO_RS00485",1
"SPO0097",0.7006,"SPO0097","aldehyde dehydrogenase family protein","SPO_RS00490",1
"SPO0098",0.9892,"SPO0098","peptide/opine/nickel uptake family ABC transporter, ATP-binding protein","SPO_RS00495",1
"SPO0099",0.7674,"SPO0099","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00500",1
"SPO0100",0.9902,"SPO0100","peptide/opine/nickel uptake family ABC transporter, permease protein","SPO_RS00505",1
"SPO0101",1.17,"SPO0101","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00510",1
"SPO0102",0,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0
"SPO0103",0.0248,"panC","pantoate--beta-alanine ligase","SPO_RS00520",0.367871698113208
"SPO0104",1.0018,"glpK","glycerol kinase","SPO_RS00525",1
"SPO0105",0.8056,"SPO0105","monooxygenase family protein","SPO_RS00530",1
"SPO0106",1.0058,"SPO0106","hypothetical protein","SPO_RS00535",1
"SPO0107",1.0062,"recQ","ATP-dependent DNA helicase RecQ","SPO_RS00540",1
"SPO0108",0.5482,"SPO0108","transposase, truncation","SPO_RS22360",1
"SPO0109",1.5716,"SPO0109","hypothetical protein","SPO_RS00545",1
"SPO0110",2,"SPO0110","ABC transporter, ATP binding/permease protein","SPO_RS00550",1
"SPO0111",1.5834,"SPO0111","hypothetical protein","SPO_RS00555",1
"SPO0112",1.0066,"SPO0112","poly(3-hydroxyalkanoate) polymerase family protein","SPO_RS00560",1
"SPO0113",0.9906,"fabI-1","enoyl-(acyl-carrier-protein) reductase","SPO_RS00565",1
"SPO0114",1.0016,"SPO0114","hypothetical protein","SPO_RS00570",1
"SPO0115",0.0268,"SPO0115","maoC family protein/phosphate acetyl/butaryl transferase","SPO_RS00575",0.367871698113208
"SPO0116",0.427,"ackA","acetate kinase","SPO_RS00580",1
"SPO0118",0.3946,"SPO0118","hypothetical protein","SPO_RS00600",1
"SPO0119",0,"SPO0119","transcriptional regulator, AsnC family","SPO_RS00605",0
"SPO0120",0.7116,"SPO0120","hypothetical protein","SPO_RS00610",1
"SPO0122",0.8286,"SPO0122","YGGT family protein","SPO_RS00625",1
"SPO0123",0.3382,"SPO0123","hypothetical protein","SPO_RS00630",1
"SPO0124",0,"mepA","murein endopeptidase","SPO_RS00635",0
"SPO0125",1.0022,"SPO0125","hypothetical protein","SPO_RS00640",1
"SPO0126",2,"SPO0126","hypothetical protein","SPO_RS00645",1
"SPO0127",1.0092,"SPO0127","peptidyl-tRNA hydrolase domain protein","SPO_RS00650",1
"SPO0128",1.0128,"SPO0128","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS00655",1
"SPO0129",1.3298,"SPO0129","peptidase, T4 family","SPO_RS00660",1
"SPO0130",0.6188,"SPO0130","cytochrome c family protein","SPO_RS00665",1
"SPO0131",0.9892,"idi","isopentyl-diphosphate delta-isomerase","SPO_RS00670",1
"SPO0132",0,"SPO0132","sensor histidine kinase/response regulator","SPO_RS00675",0
"SPO0133",0.9972,"SPO0133","PAN domain protein","SPO_RS00680",1
"SPO0134",0.2562,"SPO0134","hypothetical protein","SPO_RS00685",1
"SPO0135",0.4796,"pbpC","penicillin-binding protein 1C","SPO_RS00690",1
"SPO0136",0.7106,"SPO0136","hypothetical protein","SPO_RS00695",1
"SPO0137",0.4294,"SPO0137","hypothetical protein","SPO_RS00700",1
"SPO0138",0.1654,"SPO0138","hypothetical protein","SPO_RS00705",0.985265830721003
"SPO0139",1.0058,"SPO0139","ATPase, MoxR family","SPO_RS00710",1
"SPO0140",1.1384,"SPO0140","hypothetical protein","SPO_RS00715",1
"SPO0141",0.375,"SPO0141","DNA binding protein, putative","SPO_RS00720",1
"SPO0142",1.0018,"bktB","beta-ketothiolase","SPO_RS00730",1
"SPO0143",0.7202,"SPO0143","iron-sulfur cluster-binding protein","SPO_RS00735",1
"SPO0144",NA,"ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740",NA
"SPO0146",0,"mutM","formamidopyrimidine-DNA glycosylase","SPO_RS00750",0
"SPO0147",0.9972,"SPO0147","enoyl-CoA hydratase","SPO_RS00755",1
"SPO0151",0.1348,"recF","DNA replication and repair protein RecF","SPO_RS00775",0.91598407960199
"SPO0152",0.4844,"SPO0152","transporter, LysE family","SPO_RS00780",1
"SPO0153",0.2288,"SPO0153","transcriptional regulator, TetR family","SPO_RS00785",1
"SPO0154",0.5528,"SPO0154","NAD(P)H dehydrogenase, quinone family","SPO_RS00790",1
"SPO0156",0.3708,"rtcR","transcriptional regulator RtcR","SPO_RS00800",1
"SPO0157",0.9996,"SPO0157","TROVE domain protein","SPO_RS00805",1
"SPO0160",0,"SPO0160","hypothetical protein","SPO_RS00820",0
"SPO0161",0.9856,"SPO0161","DNA-binding response regulator, LuxR family","SPO_RS00825",1
"SPO0162",0.6242,"SPO0162","hypothetical protein","SPO_RS00830",1
"SPO0163",0.2098,"SPO0163","sensory box histidine kinase/response regulator","SPO_RS00835",1
"SPO0164",0.3098,"SPO0164","oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase","SPO_RS00840",1
"SPO0165",0.5402,"SPO0165","pyrroline-5-carboxylate reductase, putative","SPO_RS00845",1
"SPO0166",0.65,"SPO0166","N-methylproline demethylase, putative","SPO_RS00850",1
"SPO0167",1.001,"SPO0167","trimethylamine methyltransferase family protein","SPO_RS00855",1
"SPO0168",0.5404,"SPO0168","transcriptional regulator, TetR family","SPO_RS00860",1
"SPO0169",0.2146,"SPO0169","transglycosylase, Slt family","SPO_RS00865",1
"SPO0170",0.2868,"flhA","flagellar biosynthesis protein FlhA","SPO_RS00870",1
"SPO0171",0.9106,"fliR","flagellar biosynthetic protein FliR","SPO_RS00875",1
"SPO0172",0.2626,"flhB","flagellar biosynthetic protein FlhB","SPO_RS00880",1
"SPO0173",0.8556,"SPO0173","hypothetical protein","SPO_RS00885",1
"SPO0174",0.628,"SPO0174","hypothetical protein","SPO_RS00890",1
"SPO0175",0.4322,"flgH","flagellar L-ring protein FlgH","SPO_RS00895",1
"SPO0176",0.7322,"flgA","flagellar basal-body P-ring formation protein FlgA","SPO_RS00900",1
"SPO0177",0.573,"flgG","flagellar basal-body rod protein FlgG","SPO_RS00905",1
"SPO0178",0.6456,"flgF","flagellar basal-body rod protein FlgF","SPO_RS00910",1
"SPO0179",0.8006,"fliQ","flagellar biosynthetic protein FliQ","SPO_RS00915",1
"SPO0180",0.3492,"SPO0180","flagellar hook-basal body complex protein FliE, putative","SPO_RS00920",1
