mean,lwrCL,uprCL,stdev,lwrCL_adj,uprCL_adj,spo,naCount
0.967,0.96,0.974,0.004,0.956,0.978,SPO_Sp16SA,0
0.966,0.957,0.975,0.005,0.952,0.982,SPO_Sp16SB,0
0.964,0.956,0.971,0.004,0.952,0.975,SPO_Sp16SC,0
0.961,0.955,0.968,0.003,0.953,0.973,SPO_Sp23SA,0
0.962,0.958,0.966,0.002,0.957,0.97,SPO_Sp23SB,0
0.995,0.978,1.014,0.009,0.967,1.029,SPO_Sp5SD,0
0.975,0.957,0.992,0.009,0.941,1.002,SPO_Sp5SE,0
0.96,0.937,0.982,0.011,0.927,0.991,SPO_Sp5SF,0
0.827,0.765,0.884,0.03,0.721,0.919,SPO0001,0
1.022,0.995,1.054,0.015,0.984,1.082,SPO0002,0
0.409,0,0.917,0.31,0,0.917,SPO0003,601
NA,NA,NA,NA,NA,NA,SPO0004,10000
1.063,1.033,1.099,0.017,1.021,1.13,SPO0005,0
1.026,1.008,1.045,0.009,0.995,1.056,SPO0006,0
1.04,1.006,1.074,0.017,0.985,1.094,SPO0007,0
0.984,0.964,1.009,0.012,0.957,1.029,SPO0008,0
0.955,0.924,0.984,0.016,0.898,1.005,SPO0009,0
0.338,0,0.688,0.174,0,0.792,SPO0010,0
0.993,0.977,1.008,0.008,0.966,1.02,SPO0011,0
1.017,0.992,1.045,0.014,0.983,1.07,SPO0012,0
0.998,0.968,1.027,0.015,0.944,1.05,SPO0013,0
0.98,0.958,0.995,0.01,0.944,1,SPO0014,0
1.052,1.01,1.1,0.023,0.984,1.138,SPO0015,0
0.984,0.939,1.029,0.022,0.904,1.054,SPO0016,0
1.019,1.001,1.034,0.008,0.987,1.044,SPO0017,0
0,0,0,0,0,0,SPO0018,0
0.975,0.958,0.991,0.009,0.943,1.002,SPO0019,0
1.024,1.01,1.039,0.007,1.001,1.048,SPO0020,0
0.925,0.91,0.94,0.008,0.897,0.953,SPO0021,0
0.993,0.975,1.008,0.009,0.964,1.015,SPO0022,0
1.03,0.993,1.069,0.02,0.975,1.1,SPO0023,0
0.911,0.883,0.939,0.015,0.871,0.957,SPO0024,0
1.015,0.987,1.042,0.014,0.965,1.06,SPO0025,0
NA,NA,NA,NA,NA,NA,SPO0026,10000
0.986,0.974,1,0.007,0.967,1.009,SPO0027,0
0.995,0.976,1.01,0.009,0.962,1.021,SPO0028,0
1.049,1.02,1.079,0.015,0.998,1.097,SPO0029,0
1.024,1.002,1.043,0.01,0.981,1.05,SPO0030,0
1.045,1.031,1.061,0.008,1.024,1.072,SPO0031,0
1.044,1.015,1.079,0.017,1.003,1.11,SPO0033,0
1.002,0.981,1.024,0.011,0.964,1.042,SPO0034,0
0.998,0.978,1.018,0.01,0.963,1.033,SPO0035,0
0.983,0.977,0.99,0.003,0.972,0.995,SPO0036,0
0.991,0.982,1.003,0.005,0.977,1.014,SPO0037,0
NA,NA,NA,NA,NA,NA,SPO0038,10000
NA,NA,NA,NA,NA,NA,SPO0039,10000
1.006,0.983,1.031,0.012,0.968,1.052,SPO0040,0
1.045,1.023,1.067,0.012,1.01,1.077,SPO0041,0
1.018,0.984,1.052,0.017,0.963,1.076,SPO0042,0
1.137,1.137,1.137,0,1.137,1.137,SPO0043,7682
0.928,0.815,1.033,0.056,0.725,1.108,SPO0044,0
0.991,0.964,1.019,0.014,0.953,1.042,SPO0045,0
0.922,0.897,0.946,0.013,0.873,0.96,SPO0046,0
0.982,0.904,1.077,0.044,0.886,1.168,SPO0046a,0
0.934,0.884,0.989,0.027,0.846,1.032,SPO0047,0
0.995,0.952,1.04,0.023,0.917,1.074,SPO0048,0
1.006,0.962,1.046,0.022,0.925,1.076,SPO0049,0
0.962,0.938,1,0.017,0.931,1.023,SPO0050,0
0.997,0.967,1.028,0.016,0.955,1.046,SPO0051,0
1.008,0.963,1.056,0.024,0.944,1.086,SPO0052,0
0.998,0.951,1.048,0.025,0.922,1.085,SPO0053,0
0.969,0.931,1.004,0.019,0.909,1.018,SPO0054,0
1.051,1.025,1.077,0.013,1.013,1.097,SPO0055,0
1.04,1.007,1.072,0.017,0.985,1.098,SPO0056,0
0.889,0.319,1.309,0.269,0,1.557,SPO0057,3
1.016,1.002,1.032,0.008,0.996,1.043,SPO0058,0
0.966,0.951,0.981,0.008,0.937,0.994,SPO0059,0
1.054,1.04,1.07,0.008,1.035,1.083,SPO0060,0
NA,NA,NA,NA,NA,NA,SPO0061,10000
0.465,0,0.974,0.246,0,1.257,SPO0062,0
0.163,0,0.497,0.143,0,0.76,SPO0063,0
NA,NA,NA,NA,NA,NA,SPO0064,10000
NA,NA,NA,NA,NA,NA,SPO0065,10000
0.969,0.946,0.991,0.012,0.929,1.008,SPO0066,0
0.882,0.751,1.004,0.067,0.641,1.114,SPO0067,0
1.012,0.963,1.07,0.028,0.946,1.121,SPO0068,0
1.015,0.993,1.038,0.012,0.974,1.053,SPO0069,0
0.996,0.946,1.042,0.025,0.91,1.069,SPO0070,0
1.055,1.022,1.096,0.02,1.005,1.124,SPO0071,0
0.899,0.764,1.038,0.072,0.653,1.15,SPO0072,0
NA,NA,NA,NA,NA,NA,SPO0074,10000
1.057,1.04,1.074,0.009,1.029,1.086,SPO0075,0
0.963,0.925,1.002,0.019,0.906,1.03,SPO0077,0
1.072,1.045,1.098,0.014,1.022,1.119,SPO0078,0
NA,NA,NA,NA,NA,NA,SPO0079,10000
NA,NA,NA,NA,NA,NA,SPO0080,10000
NA,NA,NA,NA,NA,NA,SPO0081,10000
NA,NA,NA,NA,NA,NA,SPO0082,10000
1.058,1.037,1.078,0.011,1.019,1.088,SPO0084,0
0.883,0.81,0.957,0.038,0.759,1.002,SPO0085,0
1.048,1.035,1.06,0.006,1.026,1.071,SPO0086,0
1.001,0.968,1.032,0.016,0.947,1.055,SPO0087,0
