"spo","meanW","semW"
"SPO_Sp16SA",0.97,0
"SPO_Sp16SB",0.96,0.01
"SPO_Sp16SC",0.96,0.01
"SPO_Sp23SA",0.96,0
"SPO_Sp23SB",0.96,0
"SPO_Sp5SD",1,0.01
"SPO_Sp5SE",0.98,0.01
"SPO_Sp5SF",0.96,0.01
"SPO0001",0.82,0.04
"SPO0002",1.02,0.02
"SPO0003",0.81,0.11
"SPO0005",1.06,0.01
"SPO0006",1.03,0.01
"SPO0007",1.04,0.02
"SPO0008",0.98,0.01
"SPO0009",0.96,0.02
"SPO0010",0.36,0.21
"SPO0011",0.99,0
"SPO0012",1.02,0.02
"SPO0013",1,0.02
"SPO0014",0.98,0.01
"SPO0015",1.05,0.03
"SPO0016",0.98,0.02
"SPO0017",1.02,0.01
"SPO0018",0,0
"SPO0019",0.97,0.01
"SPO0020",1.02,0.01
"SPO0021",0.92,0.01
"SPO0022",1,0.01
"SPO0023",1.03,0.01
"SPO0024",0.91,0.02
"SPO0025",1.02,0.02
"SPO0027",0.98,0.01
"SPO0028",0.99,0.01
"SPO0029",1.05,0.02
"SPO0030",1.02,0.01
"SPO0031",1.04,0.01
"SPO0033",1.04,0.02
"SPO0034",1,0.02
"SPO0035",1,0.01
"SPO0036",0.98,0.01
"SPO0037",0.99,0.01
"SPO0040",1.01,0.01
"SPO0041",1.04,0.01
"SPO0042",1.02,0.02
"SPO0044",0.93,0.07
"SPO0045",0.99,0.02
"SPO0046",0.92,0.01
"SPO0046a",0.98,0.05
"SPO0047",0.94,0.04
"SPO0048",1,0.03
"SPO0049",1,0.01
"SPO0050",0.96,0.02
"SPO0051",1,0.02
"SPO0052",1.01,0.03
"SPO0053",1,0.04
"SPO0054",0.97,0.02
"SPO0055",1.05,0.01
"SPO0056",1.04,0.01
"SPO0057",0.88,0.32
"SPO0058",1.02,0.01
"SPO0059",0.97,0.01
"SPO0060",1.06,0.01
"SPO0062",0.44,0.26
"SPO0063",0.14,0.14
"SPO0066",0.97,0.01
"SPO0067",0.88,0.02
"SPO0068",1.01,0.02
"SPO0069",1.02,0.01
"SPO0070",1,0.02
"SPO0071",1.06,0.02
"SPO0072",0.9,0.06
"SPO0075",1.06,0.01
"SPO0077",0.96,0.02
"SPO0078",1.07,0
"SPO0084",1.06,0.01
"SPO0085",0.88,0.05
"SPO0086",1.05,0
"SPO0087",1,0.02
"SPO0088",1.02,0.04
"SPO0089",1.02,0.02
"SPO0090",0.99,0.02
"SPO0091",1.01,0.01
"SPO0092",0.96,0.04
"SPO0093",1.01,0.04
"SPO0094",0.98,0.01
"SPO0095",0.89,0.02
"SPO0096",0.97,0.03
"SPO0097",1,0.01
"SPO0098",0.96,0.01
"SPO0099",0.96,0.02
"SPO0100",1,0.04
"SPO0101",0.98,0.01
"SPO0102",0.74,0.03
"SPO0103",0.76,0.01
"SPO0104",1.01,0.01
"SPO0105",0.99,0.03
"SPO0106",1.02,0.01
"SPO0107",1.03,0.01
"SPO0108",0.98,0.05
"SPO0109",1,0.01
"SPO0110",1.03,0.01
"SPO0111",1.04,0.01
"SPO0112",1.03,0.01
"SPO0113",1.01,0.01
"SPO0114",1.04,0.01
"SPO0115",1.01,0.01
"SPO0116",1,0.01
"SPO0118",0.94,0.01
"SPO0119",1.04,0.02
"SPO0120",0.98,0.02
"SPO0122",1.02,0.04
"SPO0123",0.95,0.02
"SPO0124",1.05,0.01
"SPO0125",1.03,0.01
"SPO0126",1.03,0.01
"SPO0127",1.08,0.11
"SPO0128",1.02,0.02
"SPO0129",1.01,0.03
"SPO0130",0.9,0.04
"SPO0131",1.07,0.03
"SPO0132",0.93,0
"SPO0133",1.02,0.02
"SPO0134",1.04,0.07
"SPO0135",1.02,0.03
"SPO0136",1.01,0.02
"SPO0137",1.02,0.01
"SPO0138",0.95,0.01
"SPO0139",0.98,0.01
"SPO0140",0.95,0.01
"SPO0141",0.95,0.03
"SPO0142",1.01,0.03
"SPO0143",0.95,0.01
"SPO0146",1.06,0.02
"SPO0147",0.5,0.17
"SPO0151",0.94,0.01
"SPO0152",0.98,0.01
"SPO0153",0.81,0.02
"SPO0154",0.98,0.02
"SPO0156",0.99,0.01
"SPO0157",1.01,0.01
"SPO0160",1.06,0.02
"SPO0161",0.98,0.01
"SPO0162",0.98,0.03
"SPO0163",0.94,0.01
"SPO0164",0.95,0.02
"SPO0165",0.98,0.03
"SPO0166",0.98,0.03
"SPO0167",1,0.04
"SPO0168",0.97,0.02
"SPO0169",1.02,0.04
"SPO0170",1.03,0.01
"SPO0171",0.98,0.05
"SPO0172",0.99,0.03
"SPO0173",0.99,0.11
"SPO0174",0.88,0.06
"SPO0175",0.98,0.04
"SPO0176",0.93,0.07
"SPO0177",0.99,0.02
"SPO0178",0.98,0.05
"SPO0179",0.88,0.06
"SPO0180",0.96,0.06
"SPO0181",0.94,0.05
"SPO0182",0.95,0.03
"SPO0183",0.98,0.03
"SPO0184",1.04,0.02
"SPO0185",0.99,0.01
"SPO0186",1.06,0.01
"SPO0187",0.94,0.03
"SPO0188",0.98,0.02
"SPO0189",0.96,0.02
"SPO0190",0.97,0
"SPO0191",0.98,0.03
"SPO0192",0.98,0.03
"SPO0193",0.96,0.03
"SPO0194",1,0.02
"SPO0195",1.02,0.02
"SPO0196",1.04,0.02
"SPO0197",0.99,0.01
"SPO0198",1,0.02
"SPO0199",1.02,0.02
"SPO0200",1,0.02
"SPO0201",1.02,0.03
"SPO0202",1.03,0.02
"SPO0203",0.97,0.01
"SPO0204",1,0.03
