mean,lwrCL,uprCL,spo,naCount
1.042,1.036,1.046,SPO_Sp16SA,0
1.043,1.036,1.049,SPO_Sp16SB,0
1.043,1.037,1.05,SPO_Sp16SC,0
1.013,1.006,1.02,SPO_Sp23SA,0
1.014,1.007,1.021,SPO_Sp23SB,0
1.018,1.004,1.033,SPO_Sp5SD,0
1.02,0.998,1.042,SPO_Sp5SE,0
1.025,1.002,1.047,SPO_Sp5SF,0
0.788,0.74,0.838,SPO0001,0
1.043,1.022,1.061,SPO0002,0
0.425,0,1.541,SPO0003,376
NA,NA,NA,SPO0004,10000
1.063,1.04,1.091,SPO0005,0
1.009,0.992,1.021,SPO0006,0
1.019,0.999,1.038,SPO0007,0
0.961,0.952,0.97,SPO0008,0
0.953,0.931,0.974,SPO0009,0
0,0,0,SPO0010,0
0.988,0.973,1.002,SPO0011,0
1.038,1.021,1.059,SPO0012,0
0.986,0.961,1.008,SPO0013,0
1.001,0.985,1.018,SPO0014,0
1.005,0.987,1.023,SPO0015,0
1.018,0.988,1.061,SPO0016,0
1.014,0.994,1.037,SPO0017,0
0.091,0,0.271,SPO0018,0
0.975,0.958,0.997,SPO0019,0
1.007,0.994,1.021,SPO0020,0
0.961,0.948,0.974,SPO0021,0
0.977,0.956,0.996,SPO0022,0
1.026,0.999,1.059,SPO0023,0
0.923,0.913,0.934,SPO0024,0
0.999,0.978,1.023,SPO0025,0
NA,NA,NA,SPO0026,10000
0.978,0.968,0.987,SPO0027,0
0.992,0.973,1.009,SPO0028,0
1.024,1.006,1.041,SPO0029,0
0.998,0.982,1.014,SPO0030,0
1.019,1.007,1.031,SPO0031,0
1.007,0.982,1.029,SPO0033,0
0.987,0.96,1.014,SPO0034,0
0.992,0.979,1.005,SPO0035,0
0.976,0.968,0.985,SPO0036,0
0.98,0.973,0.989,SPO0037,0
NA,NA,NA,SPO0038,10000
NA,NA,NA,SPO0039,10000
1.014,1.004,1.026,SPO0040,0
1.015,0.993,1.036,SPO0041,0
0.987,0.962,1.011,SPO0042,0
NA,NA,NA,SPO0043,10000
0.854,0.768,0.936,SPO0044,0
1.008,0.999,1.022,SPO0045,0
0.926,0.899,0.96,SPO0046,0
1.002,0.934,1.08,SPO0046a,0
0.941,0.908,0.971,SPO0047,0
0.973,0.935,1.011,SPO0048,0
1,0.934,1.051,SPO0049,0
0.968,0.937,0.99,SPO0050,0
0.999,0.975,1.024,SPO0051,0
0.975,0.93,1.012,SPO0052,0
0.96,0.926,0.995,SPO0053,0
0.947,0.897,0.997,SPO0054,0
1.025,1.014,1.037,SPO0055,0
1.011,0.982,1.041,SPO0056,0
0.432,0,0.88,SPO0057,28
1.008,0.968,1.044,SPO0058,0
0.967,0.926,1.008,SPO0059,0
1.062,1.042,1.082,SPO0060,0
NA,NA,NA,SPO0061,10000
0.524,0,1.084,SPO0062,0
0.498,0,1.019,SPO0063,0
NA,NA,NA,SPO0064,10000
NA,NA,NA,SPO0065,10000
0.97,0.954,0.986,SPO0066,0
0.921,0.821,1.033,SPO0067,0
0.911,0.87,0.964,SPO0068,0
0.963,0.923,1.002,SPO0069,0
0.98,0.935,1.022,SPO0070,0
0.972,0.924,1.02,SPO0071,0
0.955,0.773,1.134,SPO0072,0
NA,NA,NA,SPO0074,10000
1.059,1.032,1.089,SPO0075,0
0.902,0.861,0.942,SPO0077,0
1.028,1.009,1.05,SPO0078,0
NA,NA,NA,SPO0079,10000
NA,NA,NA,SPO0080,10000
NA,NA,NA,SPO0081,10000
NA,NA,NA,SPO0082,10000
1.029,1.01,1.045,SPO0084,0
0.92,0.853,0.987,SPO0085,0
1.036,1.019,1.057,SPO0086,0
0.985,0.965,1.004,SPO0087,0
1.005,0.991,1.021,SPO0088,0
1.007,0.99,1.021,SPO0089,0
0.984,0.959,1.012,SPO0090,0
1.044,1.017,1.065,SPO0091,0
0.928,0.893,0.969,SPO0092,0
1.039,1.005,1.074,SPO0093,0
0.97,0.939,1,SPO0094,0
0.958,0.929,0.992,SPO0095,0
0.969,0.916,1.019,SPO0096,0
0.98,0.961,1,SPO0097,0
0.937,0.912,0.963,SPO0098,0
0.968,0.94,0.999,SPO0099,0
1,0.945,1.057,SPO0100,0
0.994,0.977,1.007,SPO0101,0
1.001,0.978,1.024,SPO0102,0
1.05,0.994,1.099,SPO0103,0
1.001,0.987,1.015,SPO0104,0
0.992,0.964,1.023,SPO0105,0
1.015,0.995,1.036,SPO0106,0
1.01,0.987,1.037,SPO0107,0
0.995,0.955,1.032,SPO0108,0
1.003,0.984,1.024,SPO0109,0
1.02,1.009,1.03,SPO0110,0
1.036,1.022,1.051,SPO0111,0
1.019,1.007,1.031,SPO0112,0
1.021,1.002,1.041,SPO0113,0
1.026,0.977,1.074,SPO0114,0
1.006,0.983,1.026,SPO0115,0
1.02,1.004,1.033,SPO0116,0
0.946,0.939,0.952,SPO0118,0
1.047,0.979,1.108,SPO0119,0
1.008,0.987,1.029,SPO0120,0
0.985,0.942,1.03,SPO0122,0
1.003,0.984,1.027,SPO0123,0
1.035,1.02,1.05,SPO0124,0
0.973,0.937,1.007,SPO0125,0
1.045,1.018,1.071,SPO0126,0
0.999,0.879,1.118,SPO0127,0
1.011,0.989,1.036,SPO0128,0
1.039,1.01,1.065,SPO0129,0
0.904,0.866,0.948,SPO0130,0
1.066,1.02,1.118,SPO0131,0
0.96,0.946,0.973,SPO0132,0
1.003,0.987,1.017,SPO0133,0
1.066,0.976,1.175,SPO0134,0
0.967,0.927,1.01,SPO0135,0
1.008,0.974,1.042,SPO0136,0
1,0.968,1.035,SPO0137,0
0.979,0.937,1.024,SPO0138,0
0.966,0.933,1.001,SPO0139,0
0.967,0.905,1.025,SPO0140,0
0.963,0.899,1.038,SPO0141,0
0.997,0.964,1.027,SPO0142,0
0.937,0.904,0.96,SPO0143,0
NA,NA,NA,SPO0144,10000
1.03,1.003,1.056,SPO0146,0
0.616,0.216,0.918,SPO0147,0
NA,NA,NA,SPO0149,10000
NA,NA,NA,SPO0150,10000
0.958,0.939,0.98,SPO0151,0
0.985,0.972,0.998,SPO0152,0
0.873,0.822,0.923,SPO0153,0
1.01,0.986,1.037,SPO0154,0
NA,NA,NA,SPO0155,10000
1.014,0.985,1.039,SPO0156,0
1.008,0.986,1.027,SPO0157,0
1.03,1.014,1.047,SPO0160,0
0.989,0.974,1.003,SPO0161,0
0.954,0.884,1.014,SPO0162,0
0.994,0.961,1.039,SPO0163,0
0.952,0.896,0.995,SPO0164,0
1.002,0.951,1.055,SPO0165,0
0.962,0.928,1,SPO0166,0
0.998,0.942,1.048,SPO0167,0
1.023,0.984,1.065,SPO0168,0
0.921,0.876,0.979,SPO0169,0
1.01,0.978,1.045,SPO0170,0
1.049,0.985,1.114,SPO0171,0
0.971,0.917,1.02,SPO0172,0
0.953,0.885,1.025,SPO0173,0
0.94,0.855,1.046,SPO0174,0
0.963,0.9,1.025,SPO0175,0
0.987,0.899,1.066,SPO0176,0
0.998,0.959,1.037,SPO0177,0
0.925,0.879,0.973,SPO0178,0
0.905,0.816,0.987,SPO0179,0
0.813,0.726,0.89,SPO0180,0
0.978,0.892,1.066,SPO0181,0
0.922,0.86,0.986,SPO0182,0
0.945,0.895,0.99,SPO0183,0
1.031,1.015,1.048,SPO0184,0
1.004,0.972,1.038,SPO0185,0
1.05,1.024,1.073,SPO0186,0
0.894,0.774,1.001,SPO0187,0
0.985,0.959,1.01,SPO0188,0
0.995,0.973,1.02,SPO0189,0
1.008,0.983,1.043,SPO0190,0
0.934,0.886,0.982,SPO0191,0
1.022,0.993,1.049,SPO0192,0
0.962,0.932,0.987,SPO0193,0
0.998,0.949,1.04,SPO0194,0
0.984,0.949,1.018,SPO0195,0
0.978,0.945,1.018,SPO0196,0
0.98,0.951,1.008,SPO0197,0
0.962,0.912,1.011,SPO0198,0
0.988,0.968,1.01,SPO0199,0
0.982,0.952,1.023,SPO0200,0
0.97,0.859,1.077,SPO0201,0
1,0.934,1.076,SPO0202,0
0.982,0.951,1.017,SPO0203,0
0.95,0.918,0.994,SPO0204,0
1.02,0.989,1.051,SPO0205,0
0.958,0.908,1.009,SPO0206,0
0.987,0.953,1.029,SPO0207,0
0.953,0.899,1.014,SPO0209,0
0.143,0,0.293,SPO0210,0
0.991,0.965,1.016,SPO0211,0
0.955,0.915,0.988,SPO0212,0
0.968,0.949,0.987,SPO0213,0
0.977,0.942,1.011,SPO0214,0
0.418,0.373,0.477,SPO0215,0
0.154,0.076,0.266,SPO0216,0
0.933,0.786,1.081,SPO0217,0
0.979,0.959,0.999,SPO0218,0
1.07,1.048,1.09,SPO0219,0
1.023,0.989,1.052,SPO0220,0
1.079,1.012,1.163,SPO0221,0
1.026,1.01,1.043,SPO0222,0
0.982,0.958,1.008,SPO0223,0
0.969,0.929,1.014,SPO0224,0
0.99,0.953,1.03,SPO0225,0
0.991,0.954,1.031,SPO0226,0
1.02,1.009,1.031,SPO0227,0
1.02,0.971,1.065,SPO0228,0
1.015,0.944,1.089,SPO0230,0
1.03,1.008,1.049,SPO0231,0
1.012,0.998,1.024,SPO0232,0
0.978,0.904,1.039,SPO0233,0
1.053,1.029,1.073,SPO0234,0
1.041,1.027,1.056,SPO0235,0
0.998,0.953,1.043,SPO0236,0
1.023,1.008,1.04,SPO0237,0
0.965,0.944,0.984,SPO0238,0
1.001,0.982,1.022,SPO0239,0
0.99,0.963,1.019,SPO0240,0
0.991,0.959,1.021,SPO0241,0
NA,NA,NA,SPO0247,10000
0.976,0.93,1.021,SPO0248,0
1.191,1.084,1.303,SPO0249,0
1.001,0.969,1.029,SPO0250,0
NA,NA,NA,SPO0251,10000
0,0,0,SPO0252,0
1.051,1.034,1.071,SPO0253,0
1.041,1.014,1.06,SPO0254,0
0.99,0.967,1.013,SPO0255,0
1.008,0.952,1.062,SPO0256,0
0.979,0.934,1.021,SPO0257,0
0.998,0.972,1.026,SPO0258,0
0.962,0.884,1.042,SPO0259,0
0.994,0.974,1.013,SPO0260,0
0.985,0.957,1.013,SPO0261,0
0.959,0.904,1.017,SPO0263,0
1.017,0.991,1.044,SPO0264,0
0.988,0.95,1.024,SPO0265,0
0.983,0.924,1.039,SPO0266,0
NA,NA,NA,SPO0267,10000
1.04,0.998,1.074,SPO0268,0
0.985,0.926,1.039,SPO0269,0
1.056,1.007,1.112,SPO0270,0
NA,NA,NA,SPO0271,10000
NA,NA,NA,SPO0272,10000
NA,NA,NA,SPO0273,10000
1.028,0.968,1.09,SPO0274,0
1.064,1.008,1.114,SPO0275,0
0.941,0.869,1.013,SPO0276,0
0.981,0.935,1.021,SPO0277,0
NA,NA,NA,SPO0278,10000
0.731,0,1.116,SPO0280,35
0.993,0.96,1.033,SPO0281,0
0.925,0.826,1.026,SPO0282,0
1.084,1.059,1.108,SPO0283,5877
0.415,0.162,0.623,SPO0284,0
0.911,0.853,0.967,SPO0285,0
0.869,0.696,1.009,SPO0286,0
0.425,0.138,0.617,SPO0287,0
NA,NA,NA,SPO0288,10000
0.937,0.897,0.979,SPO0289,0
0.966,0.889,1.033,SPO0290,0
0.821,0.789,0.858,SPO0291,0
0.98,0.933,1.026,SPO0292,0
0.985,0.972,0.998,SPO0293,0
0.923,0.839,1.015,SPO0294,0
0.987,0.969,1.006,SPO0295,0
1.04,1.015,1.065,SPO0296,0
0.081,0,0.337,SPO0297,618
0.985,0.966,1.005,SPO0298,0
1.006,0.978,1.036,SPO0299,0
1.026,0.997,1.058,SPO0300,0
1,0.967,1.025,SPO0301,0
0.958,0.881,1.054,SPO0302,0
1.057,1.003,1.12,SPO0303,0
1.061,1.038,1.086,SPO0304,0
0.972,0.938,1.006,SPO0305,0
0.957,0.918,0.99,SPO0306,0
0.946,0.889,1.002,SPO0307,0
0.918,0.837,0.991,SPO0308,0
0.962,0.899,1.016,SPO0309,0
0.977,0.944,1.025,SPO0310,0
1.077,1.061,1.094,SPO0311,0
0.983,0.961,1.008,SPO0312,0
0.998,0.935,1.075,SPO0313,0
1.018,0.973,1.061,SPO0314,0
0.904,0.847,0.978,SPO0315,0
NA,NA,NA,SPO0316,10000
0.913,0.831,0.991,SPO0317,0
NA,NA,NA,SPO0318,10000
NA,NA,NA,SPO0319,10000
0.977,0.856,1.101,SPO0320,0
0.989,0.918,1.06,SPO0321,0
1.036,1.009,1.065,SPO0322,0
0.96,0.93,0.991,SPO0323,0
0.996,0.949,1.044,SPO0324,0
1.022,0.926,1.123,SPO0325,0
1.036,1.026,1.046,SPO0326,0
1.002,0.972,1.031,SPO0327,0
0.933,0.904,0.962,SPO0328,0
0.925,0.866,0.99,SPO0329,0
0.948,0.913,0.981,SPO0330,0
1.017,0.969,1.061,SPO0331,0
0.049,0,0.152,SPO0332,0
1.075,1.024,1.127,SPO0333,0
0.331,0.184,0.478,SPO0334,0
0.984,0.962,1.006,SPO0335,0
0.975,0.899,1.046,SPO0336,0
1.021,1.009,1.034,SPO0337,0
1.044,1.011,1.072,SPO0338,0
1.022,0.968,1.079,SPO0339,0
NA,NA,NA,SPO0340,10000
0.966,0.888,1.036,SPO0342,0
1.039,0.902,1.143,SPO0343,96
NA,NA,NA,SPO0344,10000
0.829,0.746,0.913,SPO0344a,0
0.381,0.116,0.667,SPO0345,0
NA,NA,NA,SPO0346,10000
0.806,0.761,0.846,SPO0346a,0
0.383,0,1.032,SPO0347,2283
0.938,0.921,0.951,SPO0348,0
0.284,0.02,0.554,SPO0349,0
1.022,0.946,1.095,SPO0350,0
0.938,0.82,1.05,SPO0351,0
0.977,0.934,1.018,SPO0352,0
0.996,0.945,1.043,SPO0353,0
0.966,0.922,1.002,SPO0354,0
0.875,0.835,0.916,SPO0355,0
0.946,0.908,0.986,SPO0356,0
0.967,0.938,0.988,SPO0357,0
NA,NA,NA,SPO0358,10000
0,0,0,SPO0360a,35
1.032,1.026,1.039,SPO0362,0
1.011,0.994,1.027,SPO0363,0
1.007,0.991,1.023,SPO0364,0
0.998,0.983,1.013,SPO0365,0
1.023,1.015,1.032,SPO0366,0
