mean,lwrCL,uprCL,stdev,lwrCL_adj,uprCL_adj,spo,naCount
1.042,1.036,1.046,0.003,1.033,1.048,SPO_Sp16SA,0
1.043,1.036,1.049,0.003,1.031,1.053,SPO_Sp16SB,0
1.043,1.037,1.05,0.003,1.035,1.055,SPO_Sp16SC,0
1.013,1.006,1.02,0.004,1.002,1.025,SPO_Sp23SA,0
1.014,1.007,1.021,0.004,1.003,1.026,SPO_Sp23SB,0
1.018,1.004,1.033,0.008,0.995,1.046,SPO_Sp5SD,0
1.02,0.998,1.042,0.011,0.983,1.062,SPO_Sp5SE,0
1.025,1.002,1.047,0.012,0.985,1.071,SPO_Sp5SF,0
0.788,0.74,0.838,0.025,0.707,0.883,SPO0001,0
1.043,1.022,1.061,0.01,1.009,1.078,SPO0002,0
0.425,0,1.541,0.45,0,1.736,SPO0003,376
NA,NA,NA,NA,NA,NA,SPO0004,10000
1.063,1.04,1.091,0.013,1.034,1.116,SPO0005,0
1.009,0.992,1.021,0.008,0.979,1.027,SPO0006,0
1.019,0.999,1.038,0.01,0.984,1.047,SPO0007,0
0.961,0.952,0.97,0.005,0.944,0.976,SPO0008,0
0.953,0.931,0.974,0.011,0.911,0.985,SPO0009,0
0,0,0,0,0,0,SPO0010,0
0.988,0.973,1.002,0.008,0.959,1.012,SPO0011,0
1.038,1.021,1.059,0.01,1.015,1.073,SPO0012,0
0.986,0.961,1.008,0.012,0.943,1.024,SPO0013,0
1.001,0.985,1.018,0.008,0.979,1.028,SPO0014,0
1.005,0.987,1.023,0.009,0.977,1.037,SPO0015,0
1.018,0.988,1.061,0.019,0.976,1.09,SPO0016,0
1.014,0.994,1.037,0.011,0.988,1.055,SPO0017,0
0.091,0,0.271,0.079,0,0.396,SPO0018,0
0.975,0.958,0.997,0.01,0.95,1.022,SPO0019,0
1.007,0.994,1.021,0.007,0.986,1.03,SPO0020,0
0.961,0.948,0.974,0.007,0.938,0.983,SPO0021,0
0.977,0.956,0.996,0.01,0.945,1.005,SPO0022,0
1.026,0.999,1.059,0.015,0.987,1.085,SPO0023,0
0.923,0.913,0.934,0.005,0.906,0.944,SPO0024,0
0.999,0.978,1.023,0.012,0.968,1.045,SPO0025,0
NA,NA,NA,NA,NA,NA,SPO0026,10000
0.978,0.968,0.987,0.005,0.959,0.993,SPO0027,0
0.992,0.973,1.009,0.009,0.957,1.018,SPO0028,0
1.024,1.006,1.041,0.009,0.988,1.052,SPO0029,0
0.998,0.982,1.014,0.008,0.974,1.025,SPO0030,0
1.019,1.007,1.031,0.006,0.998,1.038,SPO0031,0
1.007,0.982,1.029,0.012,0.958,1.037,SPO0033,0
0.987,0.96,1.014,0.014,0.943,1.034,SPO0034,0
0.992,0.979,1.005,0.007,0.969,1.015,SPO0035,0
0.976,0.968,0.985,0.004,0.962,0.991,SPO0036,0
0.98,0.973,0.989,0.004,0.97,0.998,SPO0037,0
NA,NA,NA,NA,NA,NA,SPO0038,10000
NA,NA,NA,NA,NA,NA,SPO0039,10000
1.014,1.004,1.026,0.006,0.999,1.034,SPO0040,0
1.015,0.993,1.036,0.011,0.982,1.049,SPO0041,0
0.987,0.962,1.011,0.013,0.946,1.03,SPO0042,0
NA,NA,NA,NA,NA,NA,SPO0043,10000
0.854,0.768,0.936,0.044,0.71,0.99,SPO0044,0
1.008,0.999,1.022,0.006,0.997,1.031,SPO0045,0
0.926,0.899,0.96,0.016,0.885,0.989,SPO0046,0
1.002,0.934,1.08,0.038,0.897,1.156,SPO0046a,0
0.941,0.908,0.971,0.016,0.88,0.988,SPO0047,0
0.973,0.935,1.011,0.02,0.911,1.038,SPO0048,0
1,0.934,1.051,0.03,0.877,1.075,SPO0049,0
0.968,0.937,0.99,0.014,0.915,0.994,SPO0050,0
0.999,0.975,1.024,0.013,0.961,1.038,SPO0051,0
0.975,0.93,1.012,0.022,0.894,1.026,SPO0052,0
0.96,0.926,0.995,0.018,0.9,1.018,SPO0053,0
0.947,0.897,0.997,0.025,0.891,1.003,SPO0054,0
1.025,1.014,1.037,0.006,1.005,1.047,SPO0055,0
1.011,0.982,1.041,0.015,0.962,1.064,SPO0056,0
0.432,0,0.88,0.264,0,0.903,SPO0057,28
1.008,0.968,1.044,0.02,0.944,1.061,SPO0058,0
0.967,0.926,1.008,0.021,0.911,1.025,SPO0059,0
1.062,1.042,1.082,0.01,1.032,1.097,SPO0060,0
NA,NA,NA,NA,NA,NA,SPO0061,10000
0.524,0,1.084,0.27,0,1.287,SPO0062,0
0.498,0,1.019,0.254,0,1.175,SPO0063,0
NA,NA,NA,NA,NA,NA,SPO0064,10000
NA,NA,NA,NA,NA,NA,SPO0065,10000
0.97,0.954,0.986,0.008,0.944,0.996,SPO0066,0
0.921,0.821,1.033,0.054,0.755,1.131,SPO0067,0
0.911,0.87,0.964,0.025,0.853,1.015,SPO0068,0
