"spo","meanW","semW"
"SPO_Sp16SA",1.04,0
"SPO_Sp16SB",1.04,0
"SPO_Sp16SC",1.04,0
"SPO_Sp23SA",1.01,0
"SPO_Sp23SB",1.01,0
"SPO_Sp5SD",1.02,0.01
"SPO_Sp5SE",1.02,0.01
"SPO_Sp5SF",1.02,0.01
"SPO0001",0.79,0.02
"SPO0002",1.04,0.01
"SPO0003",0.52,0.52
"SPO0005",1.06,0.02
"SPO0006",1.01,0.01
"SPO0007",1.02,0.02
"SPO0008",0.96,0
"SPO0009",0.96,0.01
"SPO0010",0,0
"SPO0011",0.99,0.01
"SPO0012",1.04,0.01
"SPO0013",0.99,0.01
"SPO0014",1,0.01
"SPO0015",1,0.01
"SPO0016",1.02,0.02
"SPO0017",1.02,0.01
"SPO0018",0.1,0.1
"SPO0019",0.98,0.01
"SPO0020",1,0.01
"SPO0021",0.96,0.01
"SPO0022",0.98,0.01
"SPO0023",1.02,0.02
"SPO0024",0.92,0.01
"SPO0025",1,0.02
"SPO0027",0.98,0.01
"SPO0028",1,0.01
"SPO0029",1.02,0.01
"SPO0030",1,0
"SPO0031",1.02,0
"SPO0033",1.01,0.01
"SPO0034",0.98,0.01
"SPO0035",0.99,0.01
"SPO0036",0.98,0.01
"SPO0037",0.98,0
"SPO0040",1.02,0.01
"SPO0041",1.02,0.01
"SPO0042",0.99,0.02
"SPO0044",0.86,0.05
"SPO0045",1.01,0.01
"SPO0046",0.92,0.02
"SPO0046a",1,0.04
"SPO0047",0.94,0.02
"SPO0048",0.97,0.03
"SPO0049",1,0.02
"SPO0050",0.97,0.02
"SPO0051",1,0.01
"SPO0052",0.98,0.02
"SPO0053",0.96,0.01
"SPO0054",0.95,0.02
"SPO0055",1.02,0
"SPO0056",1.01,0.01
"SPO0057",0.58,0.29
"SPO0058",1.01,0.02
"SPO0059",0.96,0.03
"SPO0060",1.06,0.01
"SPO0062",0.5,0.3
"SPO0063",0.5,0.3
"SPO0066",0.97,0.01
"SPO0067",0.92,0.07
"SPO0068",0.91,0.04
"SPO0069",0.96,0.02
"SPO0070",0.98,0.03
"SPO0071",0.97,0.03
"SPO0072",0.96,0.07
"SPO0075",1.06,0.01
"SPO0077",0.9,0.02
"SPO0078",1.03,0
"SPO0084",1.02,0.01
"SPO0085",0.92,0.05
"SPO0086",1.04,0.01
"SPO0087",0.98,0.01
"SPO0088",1,0.01
"SPO0089",1,0.01
"SPO0090",0.98,0.02
"SPO0091",1.04,0.01
"SPO0092",0.93,0.03
"SPO0093",1.04,0.03
"SPO0094",0.97,0.02
"SPO0095",0.96,0.01
"SPO0096",0.97,0.04
"SPO0097",0.98,0.01
"SPO0098",0.94,0.01
"SPO0099",0.97,0.02
"SPO0100",1,0.03
"SPO0101",0.99,0.01
"SPO0102",1,0.01
"SPO0103",1.05,0.04
"SPO0104",1,0.01
"SPO0105",0.99,0.02
"SPO0106",1.02,0.01
"SPO0107",1.01,0.02
"SPO0108",1,0.02
"SPO0109",1,0.01
"SPO0110",1.02,0
"SPO0111",1.04,0.01
"SPO0112",1.02,0
"SPO0113",1.02,0.01
"SPO0114",1.03,0.03
"SPO0115",1.01,0.02
"SPO0116",1.02,0.01
"SPO0118",0.95,0
"SPO0119",1.04,0.05
"SPO0120",1,0.01
"SPO0122",0.99,0.02
"SPO0123",1,0.01
"SPO0124",1.04,0
"SPO0125",0.98,0.03
"SPO0126",1.04,0.02
"SPO0127",1,0.1
"SPO0128",1.01,0.02
"SPO0129",1.04,0.02
"SPO0130",0.9,0.03
"SPO0131",1.07,0.02
"SPO0132",0.96,0
"SPO0133",1,0.01
"SPO0134",1.07,0.06
"SPO0135",0.96,0.01
"SPO0136",1.01,0.02
"SPO0137",1,0.01
"SPO0138",0.98,0.02
"SPO0139",0.97,0.02
"SPO0140",0.96,0.04
"SPO0141",0.96,0.04
"SPO0142",1,0.01
"SPO0143",0.94,0.01
"SPO0146",1.03,0.01
"SPO0147",0.6,0.21
"SPO0151",0.96,0.01
"SPO0152",0.98,0.01
"SPO0153",0.87,0.02
"SPO0154",1.01,0
"SPO0156",1.01,0.01
"SPO0157",1.01,0.01
"SPO0160",1.03,0.01
"SPO0161",0.99,0.01
"SPO0162",0.96,0.04
"SPO0163",1,0.03
"SPO0164",0.95,0.04
"SPO0165",1,0.01
"SPO0166",0.96,0.01
"SPO0167",1,0.04
"SPO0168",1.02,0.03
"SPO0169",0.92,0.04
"SPO0170",1.01,0.03
"SPO0171",1.05,0.04
"SPO0172",0.97,0.03
"SPO0173",0.96,0.05
"SPO0174",0.94,0.07
"SPO0175",0.96,0.05
"SPO0176",0.99,0.03
"SPO0177",1,0.02
"SPO0178",0.92,0.03
"SPO0179",0.9,0.07
"SPO0180",0.81,0.06
"SPO0181",0.98,0.06
"SPO0182",0.92,0.04
"SPO0183",0.95,0.03
"SPO0184",1.03,0.01
"SPO0185",1,0.02
"SPO0186",1.05,0.01
"SPO0187",0.89,0.09
"SPO0188",0.98,0.02
"SPO0189",0.99,0.02
"SPO0190",1.01,0.02
"SPO0191",0.93,0.04
"SPO0192",1.02,0.02
"SPO0193",0.96,0.02
"SPO0194",1,0.03
"SPO0195",0.99,0.02
"SPO0196",0.98,0.02
"SPO0197",0.98,0.01
"SPO0198",0.96,0.02
"SPO0199",0.99,0.01
"SPO0200",0.98,0.02
"SPO0201",0.97,0.08
"SPO0202",1,0.05
"SPO0203",0.98,0.01
"SPO0204",0.95,0.02
"SPO0205",1.02,0.01
"SPO0206",0.96,0.01
"SPO0207",0.99,0.02
"SPO0209",0.95,0.02
"SPO0210",0.15,0.09
"SPO0211",0.99,0.02
"SPO0212",0.95,0.02
"SPO0213",0.97,0.01
"SPO0214",0.98,0
"SPO0215",0.42,0.03
"SPO0216",0.15,0.06
"SPO0217",0.93,0.09
"SPO0218",0.98,0.01
"SPO0219",1.07,0.01
"SPO0220",1.02,0.02
"SPO0221",1.08,0.06
"SPO0222",1.03,0.01
"SPO0223",0.98,0.01
"SPO0224",0.97,0.03
"SPO0225",0.99,0.03
"SPO0226",0.99,0.02
"SPO0227",1.02,0
"SPO0228",1.02,0.03
"SPO0230",1.02,0.01
"SPO0231",1.03,0.01
"SPO0232",1.01,0.01
"SPO0233",0.98,0.03
"SPO0234",1.05,0.01
"SPO0235",1.04,0.01
"SPO0236",1,0.02
"SPO0237",1.02,0.01
"SPO0238",0.96,0.01
"SPO0239",1,0.02
"SPO0240",0.99,0.01
"SPO0241",0.99,0.01
"SPO0248",0.98,0.03
"SPO0249",1.19,0.06
"SPO0250",1,0.02
"SPO0252",0,0
"SPO0253",1.05,0.01
"SPO0254",1.04,0.01
"SPO0255",0.99,0.01
"SPO0256",1.01,0.02
"SPO0257",0.98,0.03
"SPO0258",1,0.02
"SPO0259",0.96,0.06
"SPO0260",0.99,0.01
"SPO0261",0.98,0.01
"SPO0263",0.96,0.04
"SPO0264",1.02,0.02
"SPO0265",0.99,0.03
"SPO0266",0.98,0.04
"SPO0268",1.04,0.02
"SPO0269",0.98,0.05
"SPO0270",1.06,0.03
"SPO0274",1.03,0.04
"SPO0275",1.06,0.03
"SPO0276",0.94,0.01
"SPO0277",0.98,0.03
"SPO0280",0.63,0.32
"SPO0281",0.99,0.03
"SPO0282",0.92,0.05
"SPO0284",0.41,0.12
"SPO0285",0.91,0.04
"SPO0286",0.87,0.08
"SPO0287",0.43,0.15
"SPO0289",0.94,0.03
"SPO0290",0.97,0.04
"SPO0291",0.82,0.02
"SPO0292",0.98,0.04
"SPO0293",0.98,0.01
"SPO0294",0.92,0.05
"SPO0295",0.99,0.01
"SPO0296",1.04,0
"SPO0297",0,0
"SPO0298",0.98,0.01
"SPO0299",1,0.02
"SPO0300",1.03,0.01
"SPO0301",1,0.02
"SPO0302",0.96,0.03
"SPO0303",1.06,0.04
"SPO0304",1.06,0.01
"SPO0305",0.97,0.02
"SPO0306",0.96,0.02
"SPO0307",0.94,0.04
"SPO0308",0.92,0.06
"SPO0309",0.96,0.04
"SPO0310",0.98,0.03
"SPO0311",1.08,0.01
"SPO0312",0.98,0.01
"SPO0313",1,0.04
"SPO0314",1.02,0.04
"SPO0315",0.9,0.05
"SPO0317",0.92,0.06
"SPO0320",0.98,0.08
"SPO0321",0.99,0.03
"SPO0322",1.04,0.02
"SPO0323",0.96,0.02
"SPO0324",1,0.04
