"spo","w_1","w_2","w_3","w_4"
"SPO_Sp16SA",1.03,1.05,1.04,1.04
"SPO_Sp16SB",1.03,1.05,1.04,1.05
"SPO_Sp16SC",1.03,1.05,1.04,1.04
"SPO_Sp23SA",1,1.01,1.02,1.02
"SPO_Sp23SB",1,1.01,1.02,1.02
"SPO_Sp5SD",1,1.01,1.01,1.05
"SPO_Sp5SE",0.99,1.01,1.03,1.05
"SPO_Sp5SF",0.99,1.01,1.05,1.04
"SPO0001",0.79,0.74,0.84,0.78
"SPO0002",1.04,1.06,1.06,1.01
"SPO0003",NA,1.04,0,NA
"SPO0004",NA,NA,NA,NA
"SPO0005",1.04,1.04,1.13,1.05
"SPO0006",1.01,0.98,1.01,1.03
"SPO0007",0.98,1.04,1.05,1.01
"SPO0008",0.96,0.96,0.97,0.95
"SPO0009",0.97,0.91,0.97,0.97
"SPO0010",0,0,0,0
"SPO0011",1.01,0.97,1,0.97
"SPO0012",1.07,1.04,1.03,1.01
"SPO0013",0.95,0.98,1.02,1
"SPO0014",1.01,1.03,0.98,0.99
"SPO0015",0.97,1.04,1.01,0.99
"SPO0016",1.01,0.98,1,1.09
"SPO0017",1.01,1.05,0.99,1.01
"SPO0018",0,0.38,0,0
"SPO0019",1,0.97,0.98,0.95
"SPO0020",0.99,1,1.03,1
"SPO0021",0.98,0.96,0.94,0.96
"SPO0022",1,0.99,0.96,0.96
"SPO0023",1.01,1.05,1.05,0.99
"SPO0024",0.91,0.92,0.92,0.94
"SPO0025",1.05,0.99,0.99,0.97
"SPO0026",NA,NA,NA,NA
"SPO0027",0.99,0.96,0.98,0.98
"SPO0028",0.96,1.02,0.99,1.01
"SPO0029",1,1.04,1.05,1.01
"SPO0030",1.01,1,1,0.99
"SPO0031",1.01,1.02,1.02,1.02
"SPO0033",0.99,1.03,1.01,1
"SPO0034",0.98,0.98,0.97,1.01
"SPO0035",1,0.98,1,0.98
"SPO0036",0.98,0.99,0.96,0.98
"SPO0037",0.98,0.99,0.98,0.97
"SPO0038",NA,NA,NA,NA
"SPO0039",NA,NA,NA,NA
"SPO0040",1.02,1.01,1,1.03
"SPO0041",1.05,1.02,0.98,1.01
"SPO0042",1,0.97,1.03,0.95
"SPO0043",NA,NA,NA,NA
"SPO0044",0.76,0.8,0.88,0.98
"SPO0045",1.03,1,1.01,1
"SPO0046",0.92,0.99,0.89,0.9
"SPO0046a",0.96,0.93,1.09,1.03
"SPO0047",0.92,0.89,0.97,0.99
"SPO0048",1,0.91,0.95,1.03
"SPO0049",1.04,1,1.02,0.94
"SPO0050",0.98,0.92,0.99,0.99
"SPO0051",0.98,1.02,1.02,0.98
"SPO0052",0.92,0.96,1.01,1.01
"SPO0053",0.97,0.99,0.95,0.94
"SPO0054",0.99,0.91,0.9,0.99
"SPO0055",1.01,1.03,1.03,1.02
"SPO0056",1.02,0.99,0.99,1.04
"SPO0057",NA,0.83,0,0.9
"SPO0058",1,0.95,1.04,1.05
"SPO0059",0.94,0.9,1.01,1.01
"SPO0060",1.07,1.09,1.05,1.03
"SPO0061",NA,NA,NA,NA
"SPO0062",0,0.87,1.15,0
"SPO0063",0,0,1.19,0.83
"SPO0064",NA,NA,NA,NA
"SPO0065",NA,NA,NA,NA
"SPO0066",0.96,0.96,0.99,0.97
"SPO0067",1.04,0.75,1.02,0.87
"SPO0068",0.92,1.01,0.85,0.87
"SPO0069",0.91,1.03,0.96,0.96
"SPO0070",0.93,0.99,0.95,1.06
"SPO0071",0.97,1.03,0.88,1
"SPO0072",0.92,0.78,1.06,1.06
"SPO0074",NA,NA,NA,NA
"SPO0075",1.05,1.07,1.09,1.02
"SPO0077",0.92,0.9,0.84,0.95
"SPO0078",1.02,1.02,1.04,1.03
"SPO0079",NA,NA,NA,NA
"SPO0080",NA,NA,NA,NA
"SPO0081",NA,NA,NA,NA
"SPO0082",NA,NA,NA,NA
"SPO0084",1.04,1.01,1.03,1.02
"SPO0085",1.02,0.87,0.98,0.82
"SPO0086",1.03,1.05,1.03,1.03
"SPO0087",0.97,1.01,0.99,0.96
"SPO0088",0.98,1.01,1,1.02
"SPO0089",0.98,1,1.02,1.02
"SPO0090",0.97,0.94,1.04,0.97
"SPO0091",1.05,1.05,1.07,1
"SPO0092",1,0.95,0.87,0.9
"SPO0093",0.98,1.02,1.11,1.05
"SPO0094",1.03,0.97,0.91,0.97
"SPO0095",0.96,0.96,0.92,0.99
"SPO0096",0.9,0.91,1.06,1
"SPO0097",0.97,0.99,0.99,0.97
"SPO0098",0.96,0.94,0.94,0.91
"SPO0099",0.95,0.96,1.02,0.94
"SPO0100",1.09,0.95,1,0.96
"SPO0101",1,0.96,1.01,1
"SPO0102",0.99,1.02,1.03,0.97
"SPO0103",0.93,1.12,1.1,1.04
"SPO0104",0.99,1.01,1.02,0.99
"SPO0105",1.03,1.02,0.95,0.97
"SPO0106",1.01,0.98,1.05,1.02
"SPO0107",0.97,1,1.05,1.02
"SPO0108",0.96,0.98,0.98,1.07
"SPO0109",1.02,1.02,0.99,0.98
"SPO0110",1.03,1.01,1.02,1.01
"SPO0111",1.04,1.05,1.01,1.05
"SPO0112",1.03,1.02,1.02,1.01
"SPO0113",1,1.01,1.03,1.04
"SPO0114",0.95,1.05,1.02,1.09
"SPO0115",1.04,1,0.97,1.03
"SPO0116",0.99,1.04,1.02,1.02
"SPO0118",0.95,0.94,0.95,0.95
"SPO0119",0.93,1.13,1.12,1
"SPO0120",0.97,1.02,1.03,1
"SPO0122",1.06,0.96,0.95,0.98
"SPO0123",1.03,0.99,1.01,0.98
"SPO0124",1.04,1.05,1.03,1.03
