"spo","pval","gene","funct","NCBI","padj"
"SPO_Sp16SA",0,"16S rRNA","","",0
"SPO_Sp16SB",0,"16S rRNA","","",0
"SPO_Sp16SC",0,"16S rRNA","","",0
"SPO_Sp23SA",0.0266,"23S rRNA","","",0.222776113360324
"SPO_Sp23SB",0,"23S rRNA","","",0
"SPO_Sp5SD",0.992,"5S rRNA","","",1
"SPO_Sp5SE",0.1334,"5S rRNA","","",0.674857808219178
"SPO_Sp5SF",0.3992,"5S rRNA","","",1
"SPO0001",0.8316,"gidA","glucose inhibited division protein A","SPO_RS00005",1
"SPO0002",0,"gidB","glucose-inhibited division protein B","SPO_RS22355",0
"SPO0003",0.163,"parA","chromosome partitioning protein ParA","SPO_RS00015",0.74224290998767
"SPO0005",0.9962,"SPO0005","hypothetical protein","SPO_RS00025",1
"SPO0006",1.0052,"SPO0006","oxygen-independent coproporphyrinogen III oxidase, putative","SPO_RS00030",1
"SPO0007",0.995,"SPO0007","non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family","SPO_RS00035",1
"SPO0008",0.2052,"rph","ribonuclease PH","SPO_RS00040",0.835505622932745
"SPO0009",0.602,"hrcA","heat-inducible transcription repressor HrcA","SPO_RS00045",1
"SPO0010",0.4354,"grpE","co-chaperone GrpE","SPO_RS00050",1
"SPO0011",1.193,"mutS","DNA mismatch repair protein MutS","SPO_RS00055",1
"SPO0012",1.0034,"maeB","NADP-dependent malic enzyme","SPO_RS00060",1
"SPO0013",1.0082,"rbsK","ribokinase","SPO_RS00065",1
"SPO0014",0.0816,"msrA-1","methionine-S-sulfoxide reductase","SPO_RS00070",0.514361502347418
"SPO0015",0,"SPO0015","hypothetical protein","SPO_RS00075",0
"SPO0016",1.0274,"SPO0016","sterol carrier family protein","SPO_RS00080",1
"SPO0017",0.9922,"SPO0017","hypothetical protein","SPO_RS00085",1
"SPO0018",0,"argG","argininosuccinate synthase","SPO_RS00090",0
"SPO0019",0.5756,"SPO0019","hypothetical protein","SPO_RS00095",1
"SPO0020",0.9834,"ilvA","threonine dehydratase","SPO_RS00100",1
"SPO0021",0.1126,"SPO0021","Hpt domain protein","SPO_RS00105",0.613721098265896
"SPO0022",0.1454,"SPO0022","response regulator","SPO_RS00110",0.686768421052632
"SPO0023",1.0092,"SPO0023","hydrolase, NUDIX family","SPO_RS00115",1
"SPO0024",0.3222,"hslO","chaperonin, 33 kDa","SPO_RS00120",1
"SPO0025",1.0022,"SPO0025","hydrolase, NUDIX family","SPO_RS00125",1
"SPO0027",1.0096,"SPO0027","ABC transporter, transmembrane ATP-binding protein","SPO_RS00135",1
"SPO0028",1.3492,"SPO0028","ABC transporter, transmembrane ATP-binding protein","SPO_RS00140",1
"SPO0029",1.0084,"rumA","23S rRNA (Uracil-5-)-methyltransferase rumA","SPO_RS00145",1
"SPO0030",0.9996,"SPO0030","voltage-gated sodium channel","SPO_RS00150",1
"SPO0031",1.5566,"SPO0031","ErfK/YbiS/YcfS/YnhG family protein","SPO_RS00155",1
