"spo","pval","gene","funct","NCBI","padj"
"SPO_Sp16SA",0.029,"16S rRNA","","",0.333809659090909
"SPO_Sp16SB",0.4618,"16S rRNA","","",1
"SPO_Sp16SC",0.1984,"16S rRNA","","",0.999252299605782
"SPO_Sp23SA",0.03,"23S rRNA","","",0.333809659090909
"SPO_Sp23SB",0,"23S rRNA","","",0
"SPO_Sp5SD",1.008,"5S rRNA","","",1
"SPO_Sp5SE",0.144,"5S rRNA","","",0.858837837837838
"SPO_Sp5SF",0.3966,"5S rRNA","","",1
"SPO0001",0.4294,"gidA","glucose inhibited division protein A","SPO_RS00005",1
"SPO0002",1.0022,"gidB","glucose-inhibited division protein B","SPO_RS22355",1
"SPO0003",0.9076,"parA","chromosome partitioning protein ParA","SPO_RS00015",1
"SPO0005",1.0038,"SPO0005","hypothetical protein","SPO_RS00025",1
"SPO0006",0.9948,"SPO0006","oxygen-independent coproporphyrinogen III oxidase, putative","SPO_RS00030",1
"SPO0007",1.005,"SPO0007","non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family","SPO_RS00035",1
"SPO0008",0.2038,"rph","ribonuclease PH","SPO_RS00040",0.999252299605782
"SPO0009",0.5824,"hrcA","heat-inducible transcription repressor HrcA","SPO_RS00045",1
"SPO0010",0.436,"grpE","co-chaperone GrpE","SPO_RS00050",1
"SPO0011",1.1538,"mutS","DNA mismatch repair protein MutS","SPO_RS00055",1
"SPO0012",0.9966,"maeB","NADP-dependent malic enzyme","SPO_RS00060",1
"SPO0013",0.9038,"rbsK","ribokinase","SPO_RS00065",1
"SPO0014",0.0882,"msrA-1","methionine-S-sulfoxide reductase","SPO_RS00070",0.707146551724138
"SPO0015",0,"SPO0015","hypothetical protein","SPO_RS00075",0
"SPO0016",0.6528,"SPO0016","sterol carrier family protein","SPO_RS00080",1
"SPO0017",1.0078,"SPO0017","hypothetical protein","SPO_RS00085",1
"SPO0018",0,"argG","argininosuccinate synthase","SPO_RS00090",0
"SPO0019",1.005,"SPO0019","hypothetical protein","SPO_RS00095",1
"SPO0020",1.0166,"ilvA","threonine dehydratase","SPO_RS00100",1
"SPO0021",0.023,"SPO0021","Hpt domain protein","SPO_RS00105",0.333809659090909
"SPO0022",0.4014,"SPO0022","response regulator","SPO_RS00110",1
