Gene ID	spo	Name	Function	
637287532	SPO0039	3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	COG1218	
637287544	SPO0050	ABC transporter, periplasmic substrate-binding protein	COG0715	
637287546	SPO0052	ABC transporter, ATP-binding protein	COG1116	
637287547	SPO0053	ABC transporter, permease protein	COG0600	
637287549	SPO0055	phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1)	COG0226	
637287593	SPO0099	peptide/opine/nickel uptake family ABC transporter, permease protein	COG1173	
637287594	SPO0100	peptide/opine/nickel uptake family ABC transporter, permease protein	COG0601	
637287600	SPO0106	hypothetical protein	COG3022	
637287681	SPO0189	iron(III) transport system substrate-binding protein	COG1840	
637287752	SPO0260	alkaline phosphatase, putative	COG3540	
637287958	SPO0466	transporter, formate/nitrate family	COG2116	
637287960	SPO0468	alkylphosphonate utilization protein PhnG	COG3624	
637287961	SPO0469	alkylphosphonate utilization protein PhnH	COG3625	
637287962	SPO0470	alkylphosphonate utilization protein PhnI	COG3626	
637287963	SPO0471	alkylphosphonate utilization protein PhnJ	COG3627	
637287964	SPO0472	alkylphosphonate utilization protein PhnK	COG4107	
637287965	SPO0473	alkylphosphonate utilization protein PhnL	COG4778	
637287968	SPO0476	alkylphosphonate utilization protein PhnM	COG3454	
637288027	SPO0535	K+-dependent Na+/Ca+ exchanger related-protein	COG0530	
637288050	SPO0558	oligopeptide ABC transporter, permease protein	COG1173	
637288051	SPO0559	oligopeptide ABC transporter, permease protein	COG0601	
637288148	SPO0661	peptide ABC transporter, permease protein	COG0601	
637288149	SPO0662	peptide ABC transporter, permease protein	COG1173	
637288150	SPO0663	peptide ABC transporter, ATP-binding protein	COG0444	
637288151	SPO0664	peptide ABC transporter, ATP-binding protein	COG0444	
637288161	SPO0674	taurine ABC transporter, periplasmic taurine-binding protein	COG4521	
637288162	SPO0675	taurine ABC transporter, ATP-binding protein	COG1116	
637288163	SPO0676	taurine ABC transporter, permease protein	COG0600	
637288179	SPO0692	multicopper oxidase	COG2132	
637288184	SPO0697	molybdate ABC transporter, ATP-binding protein	COG4148	
637288185	SPO0698	molybdate transport permease protein	COG4149	
637288186	SPO0699	molybdate ABC transporter, periplasmic molybdate-binding protein	COG0725	
637288190	SPO0703	oligopeptide ABC transporter, ATP-binding protein	COG0444	
637288191	SPO0704	oligopeptide ABC transporter, permease protein	COG1173	
637288192	SPO0705	oligopeptide ABC transporter, permease protein	COG0601	
637288267	SPO0780	phosphonate ABC transporter, ATP-binding protein	COG3638	
637288268	SPO0781	phosphonate ABC transporter, periplasmic phosphonate-binding protein	COG3221	
637288269	SPO0782	phosphonate ABC transporter, permease protein	COG3639	
637288270	SPO0783	phosphonate ABC transporter, permease protein	COG3639	
637288281	SPO0794	copper-translocating P-type ATPase	COG2608,COG2217	
637288285	SPO0798	monooxygenase domain protein	COG2072	
637288287	SPO0800	choline sulfatase, putative	COG3119	
637288371	SPO0884	hypothetical protein	COG2215	
637288378	SPO0891	alkylphosphonate utilization protein PhnM, putative	COG3454	
637288387	SPO0900	adenylylsulfate kinase (EC 2.7.1.25)/sulfate adenylyltransferase (EC 2.7.7.4)	COG0529,COG2046	
637288393	SPO0906	conserved hypothetical protein TIGR00726	COG1496	
637288454	SPO0967	phosphate transporter family protein	COG0306	
637288462	SPO0976	hypothetical protein	COG2847	
637288470	SPO0984	zinc ABC transporter, permease protein	COG1108	
637288471	SPO0985	zinc ABC transporter, ATP-binding protein	COG1121	
637288472	SPO0986	zinc uptake regulation protein	COG0735	
637288473	SPO0987	zinc ABC transporter, periplasmic zinc-binding protein	COG4531	
637288569	SPO1083	choline sulfatase	COG3119	
637288603	SPO1117	phosphatase, Ppx/GppA family	COG0248	
637288694	SPO1208	voltage-gated chloride channel family protein	COG0038	
637288697	SPO1211	oligopeptide ABC transporter, permease protein	COG0601	
637288698	SPO1212	oligopeptide ABC transporter, permease protein	COG1173	
637288740	SPO1255	alkylhydroperoxidase AhpD family core domain protein	COG2128	
637288761	SPO1276	ArsC family protein	COG1393	
637288835	SPO1353	Trk system potassium uptake protein TrkH	COG0168	
637288843	SPO1361	multicopper oxidase domain protein	COG2132	
637288869	SPO1387	cation efflux system protein	COG1230	
637288874	SPO1392	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein	COG2128	
637288906	SPO1424	Kef-type potassium/proton antiporter, CPA2 family (TC 2.A.37.1)	COG0475	
637288914	SPO1432	rhodanese domain protein	COG0607	
637288933	SPO1451	aromatic 1,2-dioxygenase, alpha subunit	COG4638	
637288985	SPO1503	pyrroloquinoline quinone biosynthesis protein PqqB	COG1235	
637289026	SPO1544	peptide/opine/nickel uptake family ABC transporter, permease protein	COG0601	
637289027	SPO1545	peptide/opine/nickel uptake family ABC transporter, permease protein	COG1173	
637289028	SPO1546	peptide/opine/nickel uptake family ABC transporter, ATP-binding protein	COG0444	
637289029	SPO1547	peptide/opine/nickel uptake family ABC transporter, ATP-binding protein	COG1124	
637289033	SPO1551	flavin-containing monooxygenase	COG2072	
637289036	SPO1554	ammonium transporter (TC 1.A.11)	COG0004	
637289045	SPO1563	protozoan/cyanobacterial globin family protein	COG2346	
637289060	SPO1578	ammonium transporter (TC 1.A.11)	COG0004	
637289072	SPO1590	Rieske 2Fe-2S domain protein	COG4638	
637289113	SPO1631	CBS domain protein	COG4536	
637289127	SPO1645	oligopeptide/dipeptide ABC transporter, permease protein	COG1173	
637289128	SPO1646	oligopeptide/dipeptide ABC transporter, permease protein	COG0601	
637289138	SPO1658	oligopeptide/dipeptide ABC transporter, permease protein	COG0601	
637289266	SPO1785	ABC transporter, ATP-binding protein	COG1116	
637289267	SPO1786	ABC transporter, permease protein	COG0600	
637289268	SPO1787	ABC transporter, permease protein	COG0600	
