Well,Organism,Condition
1,Blank,Glycolate
2,Blank,Glycolate
3,Blank,Glycolate
4,Blank,Glycolate
5,Blank,Glycolate
6,Blank,Glycolate
7,Blank,Glycolate
8,Blank,Glycolate
9,Rpom,Glycolate
10,Rpom,Glycolate
11,Rpom,Glycolate
12,Rpom,Glycolate
13,Rpom,Glycolate
14,Rpom,Glycolate
15,Rpom,Glycolate
16,Rpom,Glycolate
17,Mari,Glycolate
18,Mari,Glycolate
19,Mari,Glycolate
20,Mari,Glycolate
21,Mari,Glycolate
22,Mari,Glycolate
23,Mari,Glycolate
24,Mari,Glycolate
25,Vib,Glycolate
26,Vib,Glycolate
27,Vib,Glycolate
28,Vib,Glycolate
29,Vib,Glycolate
30,Vib,Glycolate
31,Vib,Glycolate
32,Vib,Glycolate
33,Blank,Malate
34,Blank,Malate
35,Blank,Malate
36,Blank,Malate
37,Blank,Malate
38,Blank,Malate
39,Blank,Malate
40,Blank,Malate
41,Rpom,Malate
42,Rpom,Malate
43,Rpom,Malate
44,Rpom,Malate
45,Rpom,Malate
46,Rpom,Malate
47,Rpom,Malate
48,Rpom,Malate
49,Mari,Malate
50,Mari,Malate
51,Mari,Malate
52,Mari,Malate
53,Mari,Malate
54,Mari,Malate
55,Mari,Malate
56,Mari,Malate
57,Vib,Malate
58,Vib,Malate
59,Vib,Malate
60,Vib,Malate
61,Vib,Malate
62,Vib,Malate
63,Vib,Malate
64,Vib,Malate
