"","spo","gene","funct","NCBI"
"1","SPO0004","parB","chromosome partitioning protein parB","SPO_RS00020"
"2","SPO0026","SPO0026","polyA polymerase family protein","SPO_RS00130"
"3","SPO0038","kdsB","3-deoxy-D-manno-octulosonate cytidylyltransferase","SPO_RS00190"
"4","SPO0039","cysQ","3'(2'),5'-bisphosphate nucleotidase","SPO_RS00195"
"5","SPO0043","dnaK","chaperone protein DnaK","SPO_RS00215"
"6","SPO0061","infB","translation initiation factor IF-2","SPO_RS00310"
"7","SPO0064","rimP","Ribosome maturation factor RimP","SPO_RS00325"
"8","SPO0065","SPO0065","peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS00330"
"9","SPO0073","hemH","ferrochelatase","SPO_RS00370"
"10","SPO0074","SPO0074","hypothetical protein","SPO_RS00375"
"11","SPO0076","SPO0076","lipoprotein, putative","SPO_RS00385"
"12","SPO0079","SPO0079","ABC transporter, ATP-binding protein","SPO_RS00400"
"13","SPO0080","SPO0080","hypothetical protein","SPO_RS00405"
"14","SPO0081","SPO0081","hypothetical protein","SPO_RS00410"
"15","SPO0082","kdsD","arabinose 5-phosphate isomerase","SPO_RS00415"
"16","SPO0083","SPO0083","exonuclease, putative","SPO_RS00420"
"17","SPO0117","SPO0117","transposase, degenerate","SPO_RS22365"
"18","SPO0121","SPO0121","transposase, degenerate","SPO_RS22375"
"19","SPO0144","ubiB","2-polyprenylphenol 6-hydroxylase","SPO_RS00740"
"20","SPO0145","ubiE","ubiquinone/menaquinone biosynthesis methyltransferase UbiE","SPO_RS00745"
"21","SPO0148","rpsT","ribosomal protein S20","SPO_RS00760"
"22","SPO0149","dnaA","chromosomal replication initiator protein DnaA","SPO_RS00765"
"23","SPO0150","dnaN","DNA polymerase III, beta subunit","SPO_RS00770"
"24","SPO0155","gyrB","DNA gyrase, B subunit","SPO_RS00795"
"25","SPO0229","rpsU","ribosomal protein S21","SPO_RS01170"
"26","SPO0247","dxs","1-deoxy-D-xylulose-5-phosphate synthase","SPO_RS01260"
"27","SPO0251","petR","DNA-binding response regulator PetR","SPO_RS01280"
"28","SPO0262","cobO","cob(I)alamin adenosyltransferase","SPO_RS01335"
"29","SPO0267","aroC","chorismate synthase","SPO_RS01360"
"30","SPO0271","petA","ubiquinol-cytochrome c reductase, iron-sulfur subunit","SPO_RS01380"
"31","SPO0272","petB","ubiquinol--cytochrome c reductase, cytochrome B","SPO_RS01385"
"32","SPO0273","petC","ubiquinol--cytochrome c reductase, cytochrome c1","SPO_RS01390"
"33","SPO0278","dapF","diaminopimelate epimerase","SPO_RS01415"
"34","SPO0283","plsY","Glycerol-3-phosphate acyltransferase/Acyl-phosphate--glycerol-3-phosphate acyltransferase","SPO_RS01435"
"35","SPO0288","udgA","uracil-DNA glycosylase","SPO_RS01465"
"36","SPO0316","SPO0316","electrotransfer ubiquinone oxidoreductase family protein","SPO_RS01615"
"37","SPO0318","ispE","4-diphosphocytidyl-2C-methyl-D-erythritol kinase","SPO_RS01625"
"38","SPO0319","ddsA","decaprenyl diphosphate synthase","SPO_RS01630"
"39","SPO0340","lpdA","2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase","SPO_RS01730"
"40","SPO0344","sucA","2-oxoglutarate dehydrogenase, E1 component","SPO_RS01745"
"41","SPO0346","sucD","succinyl-CoA synthase, alpha subunit","SPO_RS01760"
"42","SPO0358","sdhC","succinate dehydrogenase, cytochrome b556 subunit","SPO_RS01820"
"43","SPO0359","sdhD","succinate dehydrogenase, hydrophobic membrane anchor protein","SPO_RS01825"
"44","SPO0360","sdhA","succinate dehydrogenase, flavoprotein subunit","SPO_RS01830"
"45","SPO0361","sdhB","succinate dehydrogenase, iron-sulfur protein","SPO_RS01835"
"46","SPO0381","SPO0381","protease, putative","SPO_RS01930"
"47","SPO0382","SPO0382","nifU domain protein","SPO_RS01935"
"48","SPO0392","trpS","tryptophanyl-tRNA synthetase","SPO_RS01985"
"49","SPO0396","mviN","integral membrane protein MviN","SPO_RS02005"
"50","SPO0404","SPO0404","phosphoglycerate mutase family protein","SPO_RS02045"
"51","SPO0408","coaBC","phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase","SPO_RS02065"
"52","SPO0416","mreD","rod shape-determining protein MreD","SPO_RS02105"
"53","SPO0418","SPO0418","hypothetical protein","SPO_RS02115"
"54","SPO0420","mreB","rod shape-determining protein MreB","SPO_RS02125"
"55","SPO0426","nadE","glutamine-dependent NAD(+) synthetase","SPO_RS02155"
"56","SPO0430","gltX-1","glutamyl-tRNA synthetase","SPO_RS02175"
"57","SPO0449","nadD","nicotinate (nicotinamide) nucleotide adenylyltransferase","SPO_RS02270"
"58","SPO0455","lysS","lysyl-tRNA synthetase","SPO_RS02300"
"59","SPO0459","SPO0459","hypothetical protein","SPO_RS02315"
"60","SPO0475","SPO0475","hypothetical protein","SPO_RS02395"
"61","SPO0484","rplB","ribosomal protein L2","SPO_RS02440"
"62","SPO0485","rpsS","ribosomal protein S19","SPO_RS02445"
"63","SPO0486","rplV","ribosomal protein L22","SPO_RS02450"
"64","SPO0487","rpsC","ribosomal protein S3","SPO_RS02455"
"65","SPO0488","rplP","ribosomal protein L16","SPO_RS02460"
"66","SPO0493","rpmC","ribosomal protein L29","SPO_RS02490"
"67","SPO0494","rpsQ","ribosomal protein S17","SPO_RS02495"
"68","SPO0495","rplN","ribosomal protein L14","SPO_RS02500"
"69","SPO0496","rplX","ribosomal protein L24","SPO_RS02505"
"70","SPO0497","rplE","ribosomal protein L5","SPO_RS02510"
"71","SPO0498","rpsN","ribosomal protein S14","SPO_RS02515"
"72","SPO0499","rpsH","ribosomal protein S8","SPO_RS02520"
"73","SPO0500","rplF","ribosomal protein L6","SPO_RS02525"
"74","SPO0501","rplR","ribosomal protein L18","SPO_RS02530"
"75","SPO0502","rpsE","ribosomal protein S5","SPO_RS02535"
"76","SPO0505","rplO","ribosomal protein L15","SPO_RS02550"
"77","SPO0506","secY","preprotein translocase, SecY subunit","SPO_RS02555"
"78","SPO0509","rpsM","ribosomal protein S13","SPO_RS02570"
"79","SPO0510","rpsK","ribosomal protein S11","SPO_RS02575"
"80","SPO0511","rpoA","DNA-directed RNA polymerase, alpha subunit","SPO_RS02580"
"81","SPO0518","SPO0518","hypothetical protein","SPO_RS02615"
"82","SPO0519","SPO0519","glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein","SPO_RS02620"
"83","SPO0530","engB","Probable GTP-binding protein EngB","SPO_RS02675"
"84","SPO0531","SPO0531","MOSC domain protein","SPO_RS02680"
"85","SPO0537","rnpA","Ribonuclease P protein component (RNase P protein) (EC 3.1.26.5)","SPO_RS02710"
"86","SPO0538","rpmH","ribosomal protein L34","SPO_RS02715"
"87","SPO0603","SPO0603","hypothetical protein","SPO_RS03045"
"88","SPO0631","SPO0631","hypothetical protein","SPO_RS03195"
"89","SPO0637","SPO0637","hypothetical protein",""
"90","SPO0640","SPO0640","4-carboxymuconolactone decarboxylase domain/ alkylhydroperoxidase AhpD family core domain protein","SPO_RS03235"
"91","SPO0646","SPO0646","hypothetical protein","SPO_RS22115"
"92","SPO0656","dnaE","DNA polymerase III, alpha subunit","SPO_RS03315"
"93","SPO0667","hisS","histidyl-tRNA synthetase","SPO_RS03370"
"94","SPO0669","SPO0669","ATP phosphoribosyltransferase, putative","SPO_RS03380"
"95","SPO0709","pckA","phosphoenolpyruvate carboxykinase (ATP)","SPO_RS03580"
"96","SPO0719","etfA","electron transfer flavoprotein, alpha subunit","SPO_RS03630"
"97","SPO0720","etfB","electron transfer flavoprotein, beta subunit","SPO_RS03635"
"98","SPO0726","parC","DNA topoisomerase IV, A subunit","SPO_RS03665"
"99","SPO0731","glpR","glycerol-3-phosphate regulon repressor","SPO_RS03690"
"100","SPO0781","phnD","phosphonate ABC transporter, periplasmic phosphonate-binding protein","SPO_RS03940"
"101","SPO0802","rpsA","ribosomal protein S1","SPO_RS04045"
"102","SPO0804","ihfB","integration host factor, beta subunit","SPO_RS04055"
"103","SPO0805","SPO0805","hypothetical protein","SPO_RS04060"
"104","SPO0815","trpA","tryptophan synthase, alpha subunit","SPO_RS04110"
"105","SPO0838","SPO0838","associated gene for polyketide biosynthesis","SPO_RS04225"
"106","SPO0843","SPO0843","glycosyl transferase, group 2 family protein","SPO_RS04250"
"107","SPO0846","SPO0846","associated gene for polyketide biosynthesis","SPO_RS04265"
"108","SPO0871","SPO0871","5-hydroxyisourate hydrolase","SPO_RS04390"
"109","SPO0876","ylbA","(S)-ureidoglycine aminohydrolase","SPO_RS04415"
"110","SPO0886","groES","chaperonin, 10 kDa","SPO_RS04465"
"111","SPO0896","SPO0896","hypothetical protein","SPO_RS04515"
"112","SPO0908","lgt","prolipoprotein diacylglyceryl transferase","SPO_RS04575"
"113","SPO0909","SPO0909","hypothetical protein","SPO_RS04580"
"114","SPO0924","pabB","para-aminobenzoate synthase component I","SPO_RS04655"
"115","SPO0926","aspS","aspartyl-tRNA synthetase","SPO_RS04665"
"116","SPO0938","SPO0938","hypothetical protein","SPO_RS04710"
