"spo","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC","gene","funct","NCBI","Vib_fold_diff","Mari_fold_diff","CC_fold_diff"
"SPO0001",0.83,0.041,0.79,0.019,0.81,0.006,0.82,0.036,"gidA","glucose inhibited division protein A","SPO_RS00005",-0.07,-0.035,-0.017
"SPO0002",1,0.023,1,0.012,1,0.013,1.1,0.011,"gidB","glucose-inhibited division protein B","SPO_RS22355",0,0,0.14
"SPO0003",0.82,0.1,0.52,0.52,0,0,0.18,0.18,"parA","chromosome partitioning protein ParA","SPO_RS00015",-0.65,-6.4,-2.1
"SPO0005",1.1,0.01,1.1,0.021,1,0.016,1.1,0.013,"SPO0005","hypothetical protein","SPO_RS00025",0,-0.14,0
"SPO0006",1,0.014,1,0.009,1,0.011,1,0.01,"SPO0006","oxygen-independent coproporphyrinogen III oxidase, putative","SPO_RS00030",0,0,0
"SPO0007",1,0.018,1,0.015,1,0.013,1,0.012,"SPO0007","non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family","SPO_RS00035",0,0,0
"SPO0008",0.98,0.011,0.96,0.004,0.99,0.008,0.96,0.016,"rph","ribonuclease PH","SPO_RS00040",-0.029,0.014,-0.029
"SPO0009",0.96,0.024,0.95,0.014,0.96,0.017,0.95,0.016,"hrcA","heat-inducible transcription repressor HrcA","SPO_RS00045",-0.015,0,-0.015
"SPO0010",0.36,0.21,0,0,0.56,0.21,0,0,"grpE","co-chaperone GrpE","SPO_RS00050",-5.2,0.62,-5.2
"SPO0011",0.99,0.004,0.99,0.01,1,0.006,0.99,0.012,"mutS","DNA mismatch repair protein MutS","SPO_RS00055",0,0.014,0
"SPO0012",1,0.021,1,0.012,1,0.008,1,0.011,"maeB","NADP-dependent malic enzyme","SPO_RS00060",0,0,0
"SPO0013",1,0.021,0.99,0.017,0.99,0.016,1,0.013,"rbsK","ribokinase","SPO_RS00065",-0.014,-0.014,0
"SPO0014",0.98,0.013,1,0.011,0.99,0.007,1,0.013,"msrA-1","methionine-S-sulfoxide reductase","SPO_RS00070",0.029,0.014,0.029
"SPO0015",1.1,0.032,1,0.015,1,0.011,1,0.012,"SPO0015","hypothetical protein","SPO_RS00075",-0.14,-0.14,-0.14
"SPO0016",0.98,0.02,1,0.024,1,0.017,0.98,0.014,"SPO0016","sterol carrier family protein","SPO_RS00080",0.029,0.029,0
"SPO0017",1,0.007,1,0.013,1,0.009,0.99,0.009,"SPO0017","hypothetical protein","SPO_RS00085",0,0,-0.014
"SPO0018",0,0,0.094,0.094,0.067,0.039,0.12,0.071,"argG","argininosuccinate synthase","SPO_RS00090",3.4,2.9,3.7
"SPO0019",0.98,0.012,0.98,0.01,0.98,0.006,0.99,0.011,"SPO0019","hypothetical protein","SPO_RS00095",0,0,0.014
"SPO0020",1,0.008,1,0.01,1,0.012,1,0.009,"ilvA","threonine dehydratase","SPO_RS00100",0,0,0
"SPO0021",0.92,0.012,0.96,0.007,0.95,0.009,0.95,0.009,"SPO0021","Hpt domain protein","SPO_RS00105",0.061,0.046,0.046
"SPO0022",0.99,0.01,0.98,0.011,1,0.01,0.97,0.011,"SPO0022","response regulator","SPO_RS00110",-0.014,0.014,-0.029
"SPO0023",1,0.015,1,0.016,1,0.005,1,0.012,"SPO0023","hydrolase, NUDIX family","SPO_RS00115",0,0,0
"SPO0024",0.91,0.017,0.92,0.005,0.93,0.008,0.93,0.01,"hslO","chaperonin, 33 kDa","SPO_RS00120",0.016,0.031,0.031
"SPO0025",1,0.021,1,0.018,0.99,0.004,1,0.028,"SPO0025","hydrolase, NUDIX family","SPO_RS00125",0,-0.014,0
"SPO0027",0.99,0.006,0.98,0.006,0.99,0.005,0.99,0.007,"SPO0027","ABC transporter, transmembrane ATP-binding protein","SPO_RS00135",-0.014,0,0
"SPO0028",0.99,0.011,0.99,0.012,0.99,0.007,0.99,0.016,"SPO0028","ABC transporter, transmembrane ATP-binding protein","SPO_RS00140",0,0,0
"SPO0029",1,0.02,1,0.012,1,0.02,1,0.015,"rumA","23S rRNA (Uracil-5-)-methyltransferase rumA","SPO_RS00145",0,0,0
"SPO0030",1,0.013,1,0.003,1,0.006,1,0.01,"SPO0030","voltage-gated sodium channel","SPO_RS00150",0,0,0
"SPO0031",1,0.012,1,0.003,1,0.015,1,0.02,"SPO0031","ErfK/YbiS/YcfS/YnhG family protein","SPO_RS00155",0,0,0
"SPO0033",1,0.023,1,0.01,1,0.011,1,0.011,"SPO0033","transcriptional regulator, LysR family","SPO_RS00165",0,0,0
"SPO0034",1,0.018,0.99,0.01,1,0.009,0.98,0.011,"SPO0034","hypothetical protein","SPO_RS00170",-0.014,0,-0.029
