Gene ID	spo	Name	Function	
637287499	SPO0006	coproporphyrinogen III oxidase	COG0635	
637287538	SPO0045	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	COG0351	
637287540	SPO0046.1	thiamine biosynthesis protein ThiS	COG2104	
637287541	SPO0047	thiazole-phosphate synthase	COG2022	
637287542	SPO0048	thiamine-phosphate diphosphorylase	COG0352	
637287543	SPO0049	thiamine biosynthesis protein ThiF	COG0476	
637287545	SPO0051	TENA/THI-4 family protein	COG0819	
637287560	SPO0066	proline iminopeptidase	COG0596	
637287561	SPO0067	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	COG2227	
637287567	SPO0073	ferrochelatase (EC 4.99.1.1)	COG0276	
637287587	SPO0093	pyrazinamidase/nicotinamidase	COG1335	
637287589	SPO0095	nicotinate phosphoribosyltransferase	COG1488	
637287596	SPO0102	ketopantoate hydroxymethyltransferase (EC 2.1.2.11)	COG0413	
637287597	SPO0103	pantothenate synthetase (EC 6.3.2.1)	COG0414	
637287599	SPO0105	hypothetical protein	COG0654	
637287636	SPO0144	2-octaprenylphenol hydroxylase (EC 1.14.13.-)	COG0661	
637287637	SPO0145	2-octaprenyl-6-methoxy-1,4-benzoquinone methylase (EC 2.1.1.-)/demethylmenaquinone methyltransferase (EC 2.1.1.163)	COG2226	
637287659	SPO0167	trimethylamine methyltransferase family protein	COG5598	
637287722	SPO0230	ubiquinone biosynthesis protein COQ9	COG5590	
637287739	SPO0247	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)	COG1154	
637287740	SPO0248	farnesyl-diphosphate synthase (EC 2.5.1.10)	COG0142	
637287745	SPO0253	branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42)	COG0115	
637287754	SPO0262	cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17)	COG2109	
637287760	SPO0268	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	COG0054	
637287783	SPO0291	molybdenum cofactor biosynthesis protein B	COG0521	
637287799	SPO0307	molybdenum cofactor guanylyltransferase (EC 2.7.7.77)	COG0746	
637287800	SPO0308	molybdopterin guanine dinucleotide biosynthesis accessory protein MobB	COG1763	
637287802	SPO0310	molybdopterin molybdochelatase (EC 2.10.1.1)	COG0303	
637287811	SPO0319	decaprenyl diphosphate synthase	COG0142	
637287880	SPO0388	branched-chain amino acid aminotransferase	COG0115	
637287893	SPO0401	glutathione synthase (EC 6.3.2.3)	COG0189	
637287897	SPO0405	adenosylcobinamide kinase (EC 2.7.1.156)/adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	COG2087	
637287900	SPO0408	Phosphopantothenate-cysteine ligase (EC 6.3.2.5)/Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	COG0452	
637287902	SPO0410	molybdopterin biosynthesis protein MoeB, putative	COG0476	
637287907	SPO0415	D-isomer specific 2-hydroxyacid dehydrogenase family protein	COG0111	
637287918	SPO0426	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	COG0171	
637287941	SPO0449	nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	COG1057	
637288056	SPO0565	trimethylamine methyltransferase family protein	COG5598	
637288111	SPO0620	hypothetical protein	COG2226	
637288119	SPO0632	2-hydroxyacid dehydrogenase	COG1052	
637288160	SPO0673	taurine--pyruvate aminotransferase	COG0161	
637288169	SPO0682	3-(3-hydroxy-phenyl)propionate hydroxylase	COG0654	
637288209	SPO0722	ATP:cob(I)alamin adenosyltransferase	COG2096	
637288220	SPO0733	esterase, putative	COG0596	
637288229	SPO0742	phenylacetate-CoA ligase (EC 6.2.1.30)	COG1541	
637288334	SPO0847	non-ribosomal peptide synthetase	COG2141	
637288364	SPO0877	hypothetical protein	COG0596	
637288372	SPO0885	hydrolase, alpha/beta fold family	COG0596	
637288400	SPO0913	D-isomer specific 2-hydroxyacid dehydrogenase family protein	COG1052	
637288411	SPO0924	aminodeoxychorismate synthase, subunit I (EC 2.6.1.85)	COG0147	
637288412	SPO0925	4-amino-4-deoxychorismate lyase	COG0115	
637288453	SPO0966	ketopantoate reductase (EC 1.1.1.169)	COG1893	
637288497	SPO1011	biotin carboxyl carrier protein	COG0511	
637288622	SPO1136	L-2,4-diaminobutyrate transaminase	COG0161	
637288652	SPO1166	aminotransferase, class III family	COG0161	
637288728	SPO1242	adenosylcobyric acid synthase (glutamine-hydrolysing) (EC 6.3.5.10)	COG1492	
637288743	SPO1258	hydrolase, alpha/beta fold family	COG0596	
637288770	SPO1285	hypothetical protein	COG0596	
637288774	SPO1289	hydrolase, alpha/beta fold family	COG0596	
637288804	SPO1321	thiamine diphosphokinase	COG1564	
637288834	SPO1352	GTP cyclohydrolase I (EC 3.5.4.16)	COG1469	
637288844	SPO1362	dihydroneopterin aldolase, putative	COG1539	
637288845	SPO1363	Dihydropteroate synthase (EC 2.5.1.15)	COG0294	
637288848	SPO1366	ketol-acid reductoisomerase (EC 1.1.1.86)	COG0059	
637288853	SPO1371	2-octaprenyl-6-methoxyphenyl hydroxylase	COG0654	
637288856	SPO1374	pyrimidine 5'-nucleotidase	COG1011	
637288870	SPO1388	transcriptional regulator, LuxR family/hydrolase, alpha/beta fold family	COG0596	
637288871	SPO1389	lipoyltransferase	COG0321	
637288883	SPO1401	hypothetical protein	COG0161	
637288904	SPO1422	cobalamin-5'-phosphate synthase (EC 2.7.8.26)	COG0368	
637288905	SPO1423	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	COG2038	
637288953	SPO1471	isochorismatase family protein	COG1335	
637288981	SPO1499	hydrolase, alpha/beta fold family	COG0596	
637288984	SPO1502	pyrroloquinoline quinone biosynthesis protein PqqC	COG5424	
637289041	SPO1559	methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)/5,10-methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	COG0190	
637289042	SPO1560	5,10-methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)/methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	COG0190	
637289052	SPO1570	2-hydroxyacid dehydrogenase	COG1052	
637289079	SPO1597	glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	COG0001	
637289083	SPO1601	ketopantoate reductase (EC 1.1.1.169)	COG1893	
637289084	SPO1602	trimethylamine methyltransferase family protein	COG5598	
637289109	SPO1627	hypothetical protein	COG2068	
637289180	SPO1700	D-isomer specific 2-hydroxyacid dehydrogenase family protein	COG0111	
637289209	SPO1728	esterase, putative	COG0596	
637289233	SPO1752	conserved hypothetical protein TIGR00149	COG0432	
