Gene ID	spo	Name	Function	
637287505	SPO0012	phosphate acetyltransferase	COG0280,COG0281	
637287578	SPO0084	betaine aldehyde dehydrogenase (EC 1.2.1.8)	COG1012	
637287591	SPO0097	aldehyde dehydrogenase family protein	COG1012	
637287598	SPO0104	glycerol kinase (EC 2.7.1.30)	COG0554	
637287599	SPO0105	hypothetical protein	COG0654	
637287609	SPO0115	phosphate acetyltransferase	COG0280	
637287610	SPO0116	acetate kinase (EC 2.7.2.1)	COG0282	
637287622	SPO0130	cytochrome c family protein	COG3474	
637287656	SPO0164	oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase	COG1902	
637287658	SPO0166	N-methylproline demethylase, putative	COG1902	
637287678	SPO0186	bordetella uptake gene family protein	COG3181	
637287702	SPO0210	3-isopropylmalate dehydrogenase	COG0473	
637287716	SPO0224	polyphosphate kinase, putative	COG2326	
637287723	SPO0231	alcohol dehydrogenase, zinc-containing	COG0604	
637287724	SPO0232	quinone oxidoreductase, putative	COG0604	
637287727	SPO0235	aldehyde dehydrogenase family protein	COG1012	
637287748	SPO0256	copper-binding protein, plastocyanin/azurin family	COG3794	
637287763	SPO0271	ubiquinol-cytochrome c reductase, iron-sulfur subunit	COG0723	
637287764	SPO0272	ubiquinol--cytochrome c reductase, cytochrome B	COG1290	
637287765	SPO0273	ubiquinol--cytochrome c reductase, cytochrome c1	COG2857	
637287767	SPO0275	cytochrome b, putative	COG3658	
637287798	SPO0306	formate dehydrogenase accessory protein FdhD	COG1526	
637287808	SPO0316	electrotransfer ubiquinone oxidoreductase family protein	COG0644	
637287832	SPO0340	2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase	COG1249	
637287835	SPO0343	2-oxoglutarate dehydrogenase E2 component (EC 2.3.1.61)	COG0508	
637287836	SPO0344	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	COG0567	
637287838	SPO0346	succinyl-CoA synthetase (ADP-forming) alpha subunit (EC 6.2.1.5)	COG0074	
637287839	SPO0347	succinyl-CoA synthetase (ADP-forming) beta subunit (EC 6.2.1.5)	COG0045	
637287841	SPO0349	malate dehydrogenase (NAD) (EC 1.1.1.37)	COG0039	
637287850	SPO0358	succinate dehydrogenase subunit C (EC 1.3.5.1)	COG2009	
637287851	SPO0359	succinate dehydrogenase subunit D (EC 1.3.5.1)	COG2142	
637287852	SPO0360	succinate dehydrogenase subunit A (EC 1.3.5.1)	COG1053	
637287853	SPO0361	succinate dehydrogenase subunit B (EC 1.3.5.1)	COG0479	
637287862	SPO0370	crotonyl-CoA carboxylase/reductase (EC 1.3.1.85)	COG0604	
637287875	SPO0383	acyl carrier protein phosphodiesterase, putative	COG1182	
637288009	SPO0517	HAD-superfamily hydrolase, subfamily IA, variant 1	COG0546	
637288032	SPO0540	mercuric reductase, putative	COG1249	
637288059	SPO0568	indolepyruvate ferredoxin oxidoreductase	COG4231	
637288076	SPO0585	branched-chain alpha-keto acid dehydrogenase E1 component (EC 1.2.4.4)	COG0022,COG1071	
637288080	SPO0589	oxidoreductase, NAD-binding/iron-sulfur cluster-binding protein	COG1018	
637288089	SPO0598	FMN-dependent alpha-hydroxy acid dehydrogenase family protein	COG1304	
637288097	SPO0606	predicted aconitase subunit 1 (EC 4.2.1.3)/predicted aconitase subunit 2 (EC 4.2.1.3)	COG1679	
637288107	SPO0616	oxidoreductase, zinc-binding dehydrogenase family	COG0604	
637288119	SPO0632	2-hydroxyacid dehydrogenase	COG1052	
637288121	SPO0634	oxidoreductase, FAD-binding	COG0277	
637288169	SPO0682	3-(3-hydroxy-phenyl)propionate hydroxylase	COG0654	
637288196	SPO0709	phosphoenolpyruvate carboxykinase	COG1866	
637288206	SPO0719	electron transfer flavoprotein alpha subunit apoprotein	COG2025	
637288207	SPO0720	electron transfer flavoprotein beta subunit	COG2086	
637288219	SPO0732	homodimeric glycerol 3-phosphate dehydrogenase (quinone) (EC 1.1.5.3)	COG0578	
637288222	SPO0735	phenylacetic acid degradation protein PaaZ	COG1012	
637288240	SPO0753	phenylacetic acid degradation oxidoreductase PaaK	COG1018,COG0633	
637288253	SPO0766	iron-sulfur cluster-binding protein	COG0633	
637288256	SPO0769	hypothetical protein	COG3181	
637288274	SPO0787	phosphoglycolate phosphatase	COG0546	
637288300	SPO0813	L-lactate dehydrogenase, putative	COG1304	
637288317	SPO0830	xanthine dehydrogenase, molybdenum binding subunit apoprotein (EC 1.17.1.4)	COG1529,COG2080	
637288318	SPO0831	xanthine dehydrogenase family protein, medium subunit	COG1319	
637288320	SPO0833	NAD-dependent formate dehydrogenase flavoprotein subunit	COG1905,COG1894	
637288400	SPO0913	D-isomer specific 2-hydroxyacid dehydrogenase family protein	COG1052	
637288422	SPO0935	nitroreductase family protein	COG0778	
637288477	SPO0991	sulfur oxidation V protein	COG0785	
637288484	SPO0998	sulfur dehydrogenase subunit SoxC (EC 1.-.-.-)	COG2041	
637288485	SPO0999	sulfur dehydrogenase subunit SoxD (EC 1.-.-.-)	COG3474	
637288486	SPO1000	sulfide dehydrogenase (flavocytochrome c), cytochrome c subunit (EC 1.8.2.3)	COG3474,COG2863	
637288492	SPO1006	NADH-ubiquinone oxidoreductase	COG3761	
637288559	SPO1073	bordetella uptake gene family protein	COG3181	
637288563	SPO1077	nitroreductase family protein	COG0778	
637288623	SPO1137	succinate semialdehyde dehydrogenase (EC 1.2.1.16)	COG1012	
637288657	SPO1171	pyruvate carboxylase	COG1038	
637288658	SPO1172	FMN-dependent alpha-hydroxy acid dehydrogenase family protein	COG1304	
637288741	SPO1256	polyphosphate kinase 2	COG2326	
637288811	SPO1328	NADPH-glutathione reductase (EC 1.8.1.7)	COG1249	
637288830	SPO1348	iron-sulfur cluster-binding protein	COG0633	
637288853	SPO1371	2-octaprenyl-6-methoxyphenyl hydroxylase	COG0654	
637288865	SPO1383	cytochrome c oxidase, aa3-type, subunit I	COG0843	
637288934	SPO1452	oxidoreductase NAD-binding domain/2Fe-2S iron-sulfur cluster binding domain protein	COG1018	
637288941	SPO1459	indolepyruvate oxidoreductase, IorA subunit, putative	COG4231	
637288942	SPO1460	indolepyruvate ferredoxin oxidoreductase	COG1014	
637288951	SPO1469	3-ketosteroid dehydrogenase, putative	COG1053	
637288980	SPO1498	fumarase, class I, homodimeric (EC 4.2.1.2)	COG1951,COG1838	
637288991	SPO1509	cytochrome c family protein	COG3474	
637288999	SPO1517	carbon monoxide dehydrogenase operon G protein	COG3427	
637289000	SPO1518	carbon-monoxide dehydrogenase, small subunit	COG2080	
637289001	SPO1519	xanthine dehydrogenase, molybdenum binding subunit apoprotein (EC 1.17.1.4)	COG1529	
637289002	SPO1520	carbon monoxide dehydrogenase, medium subunit, putative	COG1319	
637289037	SPO1555	NAD-dependent formate dehydrogenase flavoprotein subunit	COG1905,COG1894	
637289050	SPO1568	malate thiokinase large subunit (EC 6.2.1.9)	COG0045	
637289051	SPO1569	malate thiokinase small subunit (EC 6.2.1.9)	COG0074	
637289052	SPO1570	2-hydroxyacid dehydrogenase	COG1052	
637289053	SPO1571	Phosphoenolpyruvate carboxylase, type 1 (EC 4.1.1.31)	COG2352	
637289063	SPO1581	oxidoreductase NAD-binding domain/2Fe-2S iron-sulfur cluster binding domain protein	COG1018	
637289075	SPO1593	alcohol dehydrogenase, zinc-containing	COG0604	
637289085	SPO1603	malate/L-lactate dehydrogenase family protein	COG2055	
637289094	SPO1612	twin-arginine translocation pathway signal sequence domain protein	COG1252	
637289208	SPO1727	polyphosphate kinase 2, putative	COG2326	
637289274	SPO1793	WD-40 repeat-containing protein	COG3474	
637289275	SPO1794	formate dehydrogenase gamma subunit (EC 1.2.1.2)	COG2864	
637289276	SPO1795	formate dehydrogenase beta subunit (EC 1.2.1.2)	COG0437	
637289277	SPO1796	formate dehydrogenase alpha subunit (EC 1.2.1.2)	COG0243	
637289287	SPO1806	flavin reductase domain protein	COG1853	
637289291	SPO1810	sodium/solute symporter family protein	COG4147	
637289315	SPO1834	acetamidase/formamidase family protein	COG2421	
637289326	SPO1845	oxidoreductase, molybdopterin-binding	COG0243	
637289333	SPO1852	oxidoreductase, zinc-binding dehydrogenase family	COG0604	
637289354	SPO1873	indolepyruvate ferredoxin oxidoreductase	COG4231	
637289358	SPO1877	cytochrome c-type biogenesis protein CcmE	COG2332	
