Condition,Replicate,Day,Organism,Dilution,Volume,CFU,CFU_KAN
RpomAlone,1,0,Ruegeria_pomeroyi,10,0.1,,
RpomAlone,1,0,Ruegeria_pomeroyi,100,0.1,25,39
RpomAlone,2,0,Ruegeria_pomeroyi,10,0.1,,
RpomAlone,2,0,Ruegeria_pomeroyi,100,0.1,191,173
RpomAlone,3,0,Ruegeria_pomeroyi,10,0.1,,1150
RpomAlone,3,0,Ruegeria_pomeroyi,100,0.1,131,4
RpomAlone,4,0,Ruegeria_pomeroyi,10,0.1,,
RpomAlone,4,0,Ruegeria_pomeroyi,100,0.1,188,177
RpomAlone,1,4,Ruegeria_pomeroyi,100,0.1,,
RpomAlone,1,4,Ruegeria_pomeroyi,1000,0.1,,
RpomAlone,1,4,Ruegeria_pomeroyi,10000,0.1,131,101
RpomAlone,2,4,Ruegeria_pomeroyi,100,0.1,,
RpomAlone,2,4,Ruegeria_pomeroyi,1000,0.1,972,534
RpomAlone,2,4,Ruegeria_pomeroyi,10000,0.1,84,1
RpomAlone,3,4,Ruegeria_pomeroyi,100,0.1,,
RpomAlone,3,4,Ruegeria_pomeroyi,1000,0.1,,
RpomAlone,3,4,Ruegeria_pomeroyi,10000,0.1,126,87
RpomAlone,4,4,Ruegeria_pomeroyi,100,0.1,,
RpomAlone,4,4,Ruegeria_pomeroyi,1000,0.1,924,686
RpomAlone,4,4,Ruegeria_pomeroyi,10000,0.1,92,28
RpomAlone,1,8,Ruegeria_pomeroyi,1000,0.1,415,233
RpomAlone,1,8,Ruegeria_pomeroyi,10000,0.1,12,6
RpomAlone,1,8,Ruegeria_pomeroyi,100000,0.1,,1
RpomAlone,2,8,Ruegeria_pomeroyi,1000,0.1,431,5
RpomAlone,2,8,Ruegeria_pomeroyi,10000,0.1,11,11
RpomAlone,2,8,Ruegeria_pomeroyi,100000,0.1,,
RpomAlone,3,8,Ruegeria_pomeroyi,1000,0.1,556,176
RpomAlone,3,8,Ruegeria_pomeroyi,10000,0.1,19,1
RpomAlone,3,8,Ruegeria_pomeroyi,100000,0.1,,
RpomAlone,4,8,Ruegeria_pomeroyi,1000,0.1,457,150
RpomAlone,4,8,Ruegeria_pomeroyi,10000,0.1,9,
RpomAlone,4,8,Ruegeria_pomeroyi,100000,0.1,6,
Vibrio,1,0,Ruegeria_pomeroyi,10,0.1,,
Vibrio,1,0,Ruegeria_pomeroyi,100,0.1,,
Vibrio,1,0,Vib_70,10,0.1,,
Vibrio,1,0,Vib_70,100,0.1,1196,
Vibrio,2,0,Ruegeria_pomeroyi,10,0.1,,
Vibrio,2,0,Ruegeria_pomeroyi,100,0.1,,
Vibrio,2,0,Vib_70,10,0.1,,
Vibrio,2,0,Vib_70,100,0.1,899,
Vibrio,3,0,Ruegeria_pomeroyi,10,0.1,,
Vibrio,3,0,Ruegeria_pomeroyi,100,0.1,,
Vibrio,3,0,Vib_70,10,0.1,,
Vibrio,3,0,Vib_70,100,0.1,787,
Vibrio,4,0,Ruegeria_pomeroyi,10,0.1,,
Vibrio,4,0,Ruegeria_pomeroyi,100,0.1,,92
Vibrio,4,0,Vib_70,10,0.1,,
Vibrio,4,0,Vib_70,100,0.1,785,
Vibrio,1,4,Ruegeria_pomeroyi,100,0.1,,
Vibrio,1,4,Ruegeria_pomeroyi,1000,0.1,,412
Vibrio,1,4,Ruegeria_pomeroyi,10000,0.1,80,34
Vibrio,2,4,Ruegeria_pomeroyi,100,0.1,,
Vibrio,2,4,Ruegeria_pomeroyi,1000,0.1,569,141
Vibrio,2,4,Ruegeria_pomeroyi,10000,0.1,32,
Vibrio,3,4,Ruegeria_pomeroyi,100,0.1,,
Vibrio,3,4,Ruegeria_pomeroyi,1000,0.1,,209
Vibrio,3,4,Ruegeria_pomeroyi,10000,0.1,40,24
Vibrio,4,4,Ruegeria_pomeroyi,100,0.1,,
Vibrio,4,4,Ruegeria_pomeroyi,1000,0.1,,227
Vibrio,4,4,Ruegeria_pomeroyi,10000,0.1,,1
Vibrio,1,4,Vib_70,100,0.1,129,
Vibrio,1,4,Vib_70,1000,0.1,23,
Vibrio,1,4,Vib_70,10000,0.1,3,
Vibrio,2,4,Vib_70,100,0.1,4,
Vibrio,2,4,Vib_70,1000,0.1,1,
Vibrio,2,4,Vib_70,10000,0.1,,
Vibrio,3,4,Vib_70,100,0.1,37,
Vibrio,3,4,Vib_70,1000,0.1,6,
Vibrio,3,4,Vib_70,10000,0.1,,
Vibrio,4,4,Vib_70,100,0.1,135,
Vibrio,4,4,Vib_70,1000,0.1,12,
Vibrio,4,4,Vib_70,10000,0.1,2,
Vibrio,1,8,Ruegeria_pomeroyi,1000,0.1,210,444
Vibrio,1,8,Ruegeria_pomeroyi,10000,0.1,13,20
Vibrio,1,8,Ruegeria_pomeroyi,100000,0.1,,
Vibrio,2,8,Ruegeria_pomeroyi,1000,0.1,100,302
Vibrio,2,8,Ruegeria_pomeroyi,10000,0.1,,6
Vibrio,2,8,Ruegeria_pomeroyi,100000,0.1,,
Vibrio,3,8,Ruegeria_pomeroyi,1000,0.1,18,262
Vibrio,3,8,Ruegeria_pomeroyi,10000,0.1,1,6
Vibrio,3,8,Ruegeria_pomeroyi,100000,0.1,,
Vibrio,4,8,Ruegeria_pomeroyi,1000,0.1,31,279
Vibrio,4,8,Ruegeria_pomeroyi,10000,0.1,,8
Vibrio,4,8,Ruegeria_pomeroyi,100000,0.1,,4
Vibrio,1,8,Vib_70,10,0.1,35,
Vibrio,1,8,Vib_70,1000,0.1,,
