spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_diff,Vib_fold_diff,Mari_diff,Mari_fold_diff,CC_diff,CC_fold_diff
SPO0001,0.827,0.765,0.884,0,0.788,0.74,0.838,0,0.807,0.766,0.847,0,0.822,0.755,0.89,0,gidA,glucose inhibited division protein A,SPO_RS00005,0,-0.039,-0.0696917,-0.02,-0.035318656,-0.005,-0.008748935
SPO0002,1.022,0.995,1.054,0,1.043,1.022,1.061,0,1.045,1.025,1.062,0,1.054,1.035,1.076,0,gidB,glucose-inhibited division protein B,SPO_RS22355,0,0.021,0.029343962,0.023,0.032107746,0.032,0.044479671
SPO0003,0.409,0,0.917,601,0.425,0,1.541,376,0.102,0,0.433,603,0.191,0,0.4,642,parA,chromosome partitioning protein ParA,SPO_RS00015,555.5,0.016,0.055361998,-0.307,-2.003531691,-0.218,-1.098528205
SPO0005,1.063,1.033,1.099,0,1.063,1.04,1.091,0,1.03,1.011,1.053,0,1.053,1.032,1.078,0,SPO0005,hypothetical protein,SPO_RS00025,0,0,0,-0.033,-0.045497259,-0.01,-0.013636161
SPO0006,1.026,1.008,1.045,0,1.009,0.992,1.021,0,1.018,1.005,1.033,0,1.026,1.008,1.044,0,SPO0006,"oxygen-independent coproporphyrinogen III oxidase, putative",SPO_RS00030,0,-0.017,-0.024104557,-0.008,-0.01129317,0,0
SPO0007,1.04,1.006,1.074,0,1.019,0.999,1.038,0,1.024,1.006,1.042,0,1.027,1.007,1.048,0,SPO0007,"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family",SPO_RS00035,0,-0.021,-0.029429477,-0.016,-0.022367813,-0.013,-0.018147347
SPO0008,0.984,0.964,1.009,0,0.961,0.952,0.97,0,0.989,0.975,1.004,0,0.965,0.932,0.994,0,rph,ribonuclease PH,SPO_RS00040,0,-0.023,-0.034121885,0.005,0.007312205,-0.019,-0.028129373
SPO0009,0.955,0.924,0.984,0,0.953,0.931,0.974,0,0.965,0.941,0.988,0,0.953,0.919,0.99,0,hrcA,heat-inducible transcription repressor HrcA,SPO_RS00045,0,-0.002,-0.003024519,0.01,0.015028209,-0.002,-0.003024519
SPO0010,0.338,0,0.688,0,0,0,0,0,0.526,0.154,0.849,0,0,0,0,0,grpE,co-chaperone GrpE,SPO_RS00050,0,-0.338,#NAME?,0.188,0.638039553,-0.338,#NAME?
SPO0011,0.993,0.977,1.008,0,0.988,0.973,1.002,0,0.996,0.987,1.004,0,0.988,0.971,1.008,0,mutS,DNA mismatch repair protein MutS,SPO_RS00055,0,-0.005,-0.007282676,0.003,0.004352025,-0.005,-0.007282676
SPO0012,1.017,0.992,1.045,0,1.038,1.021,1.059,0,1.043,1.025,1.063,0,1.035,1.017,1.056,0,maeB,NADP-dependent malic enzyme,SPO_RS00060,0,0.021,0.029486765,0.026,0.036419479,0.018,0.025311089
SPO0013,0.998,0.968,1.027,0,0.986,0.961,1.008,0,0.988,0.964,1.009,0,0.998,0.975,1.018,0,rbsK,ribokinase,SPO_RS00065,0,-0.012,-0.017452169,-0.01,-0.014528774,0,0
