spo,mean_rpomAlone,lwrCL_rpomAlone,uprCL_rpomAlone,stdev_rpomAlone,lwrCL_adj_rpomAlone,uprCL_adj_rpomAlone,naCount_rpomAlone,mean_vib,lwrCL_vib,uprCL_vib,stdev_vib,lwrCL_adj_vib,uprCL_adj_vib,naCount_vib,mean_mari,lwrCL_mari,uprCL_mari,stdev_mari,lwrCL_adj_mari,uprCL_adj_mari,naCount_mari,mean_CC,lwrCL_CC,uprCL_CC,stdev_CC,lwrCL_adj_CC,uprCL_adj_CC,naCount_CC,gene,funct,NCBI,meanNA,Vib_fold_diff,Mari_fold_diff,CC_fold_diff,Vib_sig,Mari_sig,CC_sig,Group,Category,Subcategory,Metabolism,COG,COG_Category,COG_Name
SPO0102,0.74,0.695,0.79,0.024,0.673,0.828,0,1.001,0.978,1.024,0.012,0.968,1.04,0,0.992,0.974,1.007,0.009,0.958,1.016,0,1.01,0.968,1.046,0.02,0.941,1.066,0,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,SPO_RS00515,0,0.431,0.418,0.444,yes,yes,yes,Crossfeeding,Cofactor,Vitamin B5,Anabolic,COG0413,Coenzyme,ketopantoate hydroxymethyltransferase (EC 2.1.2.11)
SPO0103,0.762,0.704,0.817,0.029,0.651,0.851,0,1.05,0.994,1.099,0.027,0.95,1.123,0,1.032,0.991,1.069,0.02,0.958,1.088,0,1.027,0.972,1.077,0.027,0.924,1.109,0,panC,pantoate--beta-alanine ligase,SPO_RS00520,0,0.457,0.433,0.426,yes,yes,yes,Crossfeeding,Cofactor,Vitamin B5,Anabolic,COG0414,Coenzyme,pantothenate synthetase (EC 6.3.2.1)
SPO0215,0.19,0.151,0.22,0.018,0.129,0.233,0,0.418,0.373,0.477,0.027,0.357,0.518,0,0.29,0.164,0.375,0.055,0.099,0.399,0,0.332,0.255,0.41,0.039,0.235,0.443,0,leuD-1,"3-isopropylmalate dehydratase, small subunit",SPO_RS01095,0,1.098,0.585,0.774,yes,NA,yes,Crossfeeding,Amino Acid,Leucine,Anabolic,COG0066,AA,isopropylmalate isomerase small subunit
SPO0253,1.142,1.13,1.157,0.007,1.125,1.171,0,1.051,1.034,1.071,0.01,1.023,1.083,0,1.048,1.03,1.066,0.009,1.021,1.072,0,1.022,1.016,1.029,0.003,1.013,1.036,0,ilvE,branched-chain amino acid aminotransferase,SPO_RS01290,0,-0.119,-0.123,-0.159,yes,yes,yes,NA,,,Amphibolic,COG0115,"AA, Coenzyme",branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42)
SPO0289,0.782,0.735,0.827,0.024,0.699,0.861,0,0.937,0.897,0.979,0.021,0.873,1.017,0,0.87,0.818,0.924,0.027,0.796,0.956,0,0.884,0.833,0.93,0.025,0.796,0.963,0,SPO0289,Ser/Thr protein phosphatase family protein,SPO_RS01470,0,0.258,0.152,0.175,yes,NA,NA,Regulation/Signaling,,,NA,NA,NA,NA
SPO0291,0.727,0.705,0.751,0.012,0.69,0.773,0,0.821,0.789,0.858,0.018,0.779,0.887,0,0.755,0.68,0.813,0.034,0.637,0.839,0,0.812,0.794,0.832,0.009,0.784,0.846,0,SPO0291,molybdenum cofactor biosynthesis protein B,SPO_RS01480,0,0.173,0.054,0.157,yes,NA,yes,Crossfeeding,Cofactor,Molybdopterin,Anabolic,COG0521,Coenzyme,molybdenum cofactor biosynthesis protein B
SPO0323,1.041,1.018,1.072,0.014,1.013,1.099,0,0.96,0.93,0.991,0.015,0.919,1.007,0,0.966,0.954,0.978,0.006,0.947,0.987,0,0.945,0.91,0.981,0.018,0.893,1.005,0,SPO0323,hypothetical protein,SPO_RS01645,0,-0.116,-0.107,-0.138,yes,yes,yes,Hypothetical,,,NA,NA,NA,NA
SPO0325,0.635,0.491,0.776,0.072,0.399,0.874,0,1.022,0.926,1.123,0.05,0.878,1.202,0,0.939,0.841,1.042,0.052,0.792,1.124,0,0.964,0.844,1.08,0.061,0.753,1.162,0,phbB,acetoacetyl-CoA reductase,SPO_RS01655,0,0.678,0.557,0.595,yes,NA,NA,Central Metabolism,Carbon Storage,Polyhydroxyalkanoate,Anabolic,COG1028,lipids,3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)/acetoacetyl-CoA reductase (EC 1.1.1.36)
SPO0344a,0.492,0.395,0.589,0.049,0.365,0.634,0,0.829,0.746,0.913,0.044,0.706,0.965,0,0.73,0.683,0.787,0.027,0.655,0.838,0,0.899,0.833,0.979,0.038,0.799,1.034,0,SPO0344a,hypothetical protein,SPO_RS01750,0,0.741,0.56,0.857,yes,yes,yes,Hypothetical,,,NA,NA,NA,NA
SPO0366,0.886,0.874,0.902,0.007,0.868,0.914,0,1.023,1.015,1.032,0.004,1.01,1.039,0,0.971,0.955,0.986,0.008,0.939,0.994,0,1.005,0.995,1.014,0.005,0.986,1.018,0,deoD,purine nucleoside phosphorylase,SPO_RS01855,0,0.205,0.131,0.18,yes,yes,yes,Crossfeeding,Nucleotide,Purine,Amphibolic,COG0813,nucleotide,purine-nucleoside phosphorylase (EC 2.4.2.1)
