Condition,Replicate,Day,Organism,Cells.ml
RpomAlone,1,0,Bacteria,188329.9799
RpomAlone,2,0,Bacteria,197592.8833
RpomAlone,3,0,Bacteria,152319.4837
RpomAlone,4,0,Bacteria,146821.4483
RpomAlone,1,0,T_pseudo,9121.395037
RpomAlone,2,0,T_pseudo,11721.61172
RpomAlone,3,0,T_pseudo,10326.74466
RpomAlone,4,0,T_pseudo,11940.29851
RpomAlone,1,2,Bacteria,10897954.67
RpomAlone,2,2,Bacteria,10517915.63
RpomAlone,3,2,Bacteria,10845351.12
RpomAlone,4,2,Bacteria,11028801.29
RpomAlone,1,2,T_pseudo,312658.9276
RpomAlone,2,2,T_pseudo,297502.0678
RpomAlone,3,2,T_pseudo,287066.8236
RpomAlone,4,2,T_pseudo,316224.1888
RpomAlone,1,4,Bacteria,11553497.94
RpomAlone,2,4,Bacteria,9996557.01
RpomAlone,3,4,Bacteria,10962650.6
RpomAlone,4,4,Bacteria,10321058.6
RpomAlone,1,4,T_pseudo,1515637.86
RpomAlone,2,4,T_pseudo,1429642.731
RpomAlone,3,4,T_pseudo,1373493.976
RpomAlone,4,4,T_pseudo,1269111.531
RpomAlone,1,6,Bacteria,9306275.033
RpomAlone,2,6,Bacteria,8345823.416
RpomAlone,3,6,Bacteria,9238543.107
RpomAlone,4,6,Bacteria,5695162.762
RpomAlone,1,6,T_pseudo,1991277.259
RpomAlone,2,6,T_pseudo,1743080.585
RpomAlone,3,6,T_pseudo,1344767.174
RpomAlone,4,6,T_pseudo,1117614.846
RpomAlone,1,8,Bacteria,7244582.328
RpomAlone,2,8,Bacteria,6672340.426
RpomAlone,3,8,Bacteria,6775466.667
RpomAlone,4,8,Bacteria,5410513.296
RpomAlone,1,8,T_pseudo,2070090.773
RpomAlone,2,8,T_pseudo,1966437.534
RpomAlone,3,8,T_pseudo,1448177.778
RpomAlone,4,8,T_pseudo,1429313.544
Vibrio,1,0,Bacteria,577280.8834
Vibrio,2,0,Bacteria,502952.183
Vibrio,3,0,Bacteria,673042.7423
Vibrio,4,0,Bacteria,775401.3605
Vibrio,1,0,T_pseudo,14133.88544
Vibrio,2,0,T_pseudo,9757.449757
Vibrio,3,0,T_pseudo,6771.053745
Vibrio,4,0,T_pseudo,8707.482993
Vibrio,1,2,Bacteria,11914539.73
Vibrio,2,2,Bacteria,10310247.06
Vibrio,3,2,Bacteria,8356756.757
Vibrio,4,2,Bacteria,3972345.679
Vibrio,1,2,T_pseudo,241608.5351
Vibrio,2,2,T_pseudo,270878.8983
Vibrio,3,2,T_pseudo,331131.1311
Vibrio,4,2,T_pseudo,281679.0123
Vibrio,1,4,Bacteria,8769169.169
Vibrio,2,4,Bacteria,6552380.952
Vibrio,3,4,Bacteria,3576857.241
Vibrio,4,4,Bacteria,2673273.687
Vibrio,1,4,T_pseudo,1607607.608
Vibrio,2,4,T_pseudo,1621686.458
Vibrio,3,4,T_pseudo,1151751.683
Vibrio,4,4,T_pseudo,1136407.433
Vibrio,1,6,Bacteria,6776493.538
Vibrio,2,6,Bacteria,6054482.417
Vibrio,3,6,Bacteria,3009420.682
Vibrio,4,6,Bacteria,3126468.877
Vibrio,1,6,T_pseudo,1747866.374
Vibrio,2,6,T_pseudo,1741852.402
Vibrio,3,6,T_pseudo,1042122.361
Vibrio,4,6,T_pseudo,1273918.945
Vibrio,1,8,Bacteria,6415903.837
Vibrio,2,8,Bacteria,5250092.081
Vibrio,3,8,Bacteria,4346146.265
Vibrio,4,8,Bacteria,3330503.145
Vibrio,1,8,T_pseudo,1893296.348
Vibrio,2,8,T_pseudo,1913443.831
Vibrio,3,8,T_pseudo,1262527.104
Vibrio,4,8,T_pseudo,1380503.145
Marivivens,1,0,Bacteria,189785.1537
Marivivens,2,0,Bacteria,165636.5255
Marivivens,3,0,Bacteria,166368.4688
Marivivens,4,0,Bacteria,470663.4692
Marivivens,1,0,T_pseudo,6998.584845
Marivivens,2,0,T_pseudo,8139.387002
Marivivens,3,0,T_pseudo,5393.491508
Marivivens,4,0,T_pseudo,7673.860911
Marivivens,1,2,Bacteria,4859169.811
Marivivens,2,2,Bacteria,5302582.583
Marivivens,3,2,Bacteria,4368092.974
Marivivens,4,2,Bacteria,5729960.053
Marivivens,1,2,T_pseudo,242314.4654
