Gene ID	spo	Name	Function	
637287506	SPO0013	ribokinase	COG0524	
637287533	SPO0040	ABC transporter, permease protein	COG1682	
637287571	SPO0077	PTS IIA-like nitrogen-regulatory protein PtsN	COG1762	
637287576	SPO0082	arabinose 5-phosphate isomerase	COG0794	
637287697	SPO0205	MmgE/PrpD family protein	COG2079	
637287720	SPO0228	hypothetical protein	COG0697	
637287729	SPO0237	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637287730	SPO0238	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
637287731	SPO0239	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
637287732	SPO0240	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
637287753	SPO0261	hypothetical protein	COG0697	
637287755	SPO0263	membrane protein	COG0697	
637287844	SPO0352	(3S)-malyl-CoA thioesterase	COG2301	
637287896	SPO0404	phosphoglycerate mutase family protein	COG0406	
637287966	SPO0474	alkylphosphonate utilization protein PhnN	COG3709	
637288044	SPO0552	phosphoglycerate mutase family protein	COG0406	
637288082	SPO0591	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637288083	SPO0592	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637288084	SPO0593	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637288099	SPO0608	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)	COG1653	
637288100	SPO0609	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637288101	SPO0610	carbohydrate ABC transporter ATP-binding protein, CUT1 family (TC 3.A.1.1.-)	COG3839	
637288102	SPO0611	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)	COG1175	
637288103	SPO0612	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)	COG0395	
637288188	SPO0701	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (EC 1.2.1.12)	COG0057	
637288194	SPO0707	transcriptional regulator, DeoR family	COG1349	
637288201	SPO0714	PTS system IIA component, Man family	COG2893	
637288202	SPO0715	phosphocarrier protein HPr	COG1925	
637288218	SPO0731	transcriptional regulator, DeoR family	COG1349	
637288223	SPO0736	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637288225	SPO0738	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637288266	SPO0779	ribulose-5-phosphate 3-epimerase (EC 5.1.3.1)	COG0036	
637288272	SPO0785	2-keto-3-deoxygalactonate kinase (EC 2.7.1.58)	COG3734	
637288335	SPO0848	glycosyl transferase, group 2 family protein	COG1216	
637288340	SPO0853	glycosyl transferase, group 2 family protein	COG1216	
637288342	SPO0855	xylulokinase	COG1070	
637288343	SPO0856	D-xylose isomerase (EC 5.3.1.5)	COG2115	
637288344	SPO0857	aldose 1-epimerase (EC 5.1.3.3)	COG2017	
637288347	SPO0860	xylose repressor, putative	COG1940	
637288348	SPO0861	xylose-binding protein	COG4213	
637288349	SPO0862	xylose ABC transporter, permease protein	COG4214	
637288351	SPO0864	glucokinase (EC 2.7.1.2)	COG0837	
637288359	SPO0872	polysaccharide deacetylase family protein	COG0726	
637288362	SPO0875	glyceraldehyde-3-phosphate dehydrogenase, type I	COG0057	
637288433	SPO0946	phosphomannomutase/phosphoglucomutase	COG1109	
637288436	SPO0949	capsular polysaccharide export ATP-binding protein	COG1134	
637288444	SPO0957	ABC transporter, permease protein	COG1682	
637288456	SPO0970	aquaporin Z	COG0580	
637288562	SPO1076	trkA-C domain protein	COG0471	
637288571	SPO1085	hypothetical protein	COG2513	
637288579	SPO1093	drug resistance transporter, Bcr/CflA family	COG2814	
637288598	SPO1112	TRAP transporter, periplasmic protein	COG1638	
637288600	SPO1114	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637288631	SPO1145	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637288632	SPO1146	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637288633	SPO1147	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637288810	SPO1327	ribose-5-phosphate isomerase (EC 5.3.1.6)	COG0120	
637288841	SPO1359	pyruvate phosphate dikinase (EC 2.7.9.1)	COG0574	
637288846	SPO1364	phosphoglucosamine mutase (EC 5.4.2.10)	COG1109	
637288868	SPO1386	HIT family protein	COG0537	
637288878	SPO1396	transporter, putative	COG2814	
637288936	SPO1454	TRAP dicarboxylate transporter, DctP subunit	COG1638	
637288938	SPO1456	TRAP transporter, DctM subunit	COG1593	
637288946	SPO1464	TRAP dicarboxylate transporter, DctQ subunit, putative	COG3090	
637288947	SPO1465	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
637288952	SPO1470	isocitrate lyase family protein	COG2513	
637288967	SPO1485	sodium:galactoside symporter family protein	COG2211	
637288990	SPO1508	quinoprotein ethanol dehydrogenase	COG4993	
637289046	SPO1564	MOFRL domain protein	COG2379	
637289047	SPO1565	beta-methylmalyl-CoA/L-malyl-CoA lyase (EC 4.1.3.24)	COG2301	
637289081	SPO1599	MmgE/PrpD family protein	COG2079	
637289179	SPO1699	MmgE/PrpD family protein	COG2079	
637289200	SPO1719	TRAP dicarboxylate transporter, DctM subunit	COG1593	
637289201	SPO1720	TRAP dicarboxylate transporter, DctQ subunit	COG3090	
637289202	SPO1721	TRAP dicarboxylate transporter, DctP subunit, putative	COG1638	
