Gene ID	spo	Name	Function	
637287494	SPO0001	glucose-inhibited division protein A	COG0445	
637287495	SPO0002	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	COG0357	
637287501	SPO0008	RNAse PH (EC 2.7.7.56)	COG0689	
637287522	SPO0029	23S rRNA m(5)U-1939 methyltransferase (EC 2.1.1.190)	COG2265	
637287555	SPO0061	bacterial translation initiation factor 2 (bIF-2)	COG0532	
637287558	SPO0064	ribosome maturation factor RimP	COG0779	
637287572	SPO0078	SSU ribosomal protein S30P/sigma 54 modulation protein	COG1544	
637287640	SPO0148	SSU ribosomal protein S20P	COG0268	
637287652	SPO0160	hypothetical protein	COG1690	
637287711	SPO0219	iojap-related protein	COG0799	
637287712	SPO0220	23S rRNA (pseudouridine1915-N3)-methyltransferase	COG1576	
637287758	SPO0266	HD domain protein	COG1418	
637287769	SPO0277	MiaB-like tRNA modifying enzyme	COG0621	
637287789	SPO0297	translation factor SUA5	COG0009	
637287813	SPO0321	hypothetical protein	COG4123	
637287872	SPO0380	ribosomal-protein-alanine acetyltransferase, putative	COG0456	
637287873	SPO0381	protease, putative	COG1214	
637287884	SPO0392	tryptophanyl-tRNA synthetase (EC 6.1.1.2)	COG0180	
637287891	SPO0399	tetrapyrrole methylase family protein	COG0313	
637287893	SPO0401	glutathione synthase (EC 6.3.2.3)	COG0189	
637287913	SPO0421	23S rRNA (adenine2030-N6)-methyltransferase	COG2961	
637287922	SPO0430	glutamate--tRNA(Gln) ligase (EC 6.1.1.24)/glutamyl-tRNA synthetase (EC 6.1.1.17)	COG0008	
637287947	SPO0455	lysyl-tRNA synthetase, class I (EC 6.1.1.6)	COG1384	
637287976	SPO0484	LSU ribosomal protein L2P	COG0090	
637287977	SPO0485	SSU ribosomal protein S19P	COG0185	
637287978	SPO0486	LSU ribosomal protein L22P	COG0091	
637287979	SPO0487	SSU ribosomal protein S3P	COG0092	
637287980	SPO0488	LSU ribosomal protein L16P	COG0197	
637287985	SPO0493	LSU ribosomal protein L29P	COG0255	
637287986	SPO0494	SSU ribosomal protein S17P	COG0186	
637287987	SPO0495	LSU ribosomal protein L14P	COG0093	
637287988	SPO0496	LSU ribosomal protein L24P	COG0198	
637287989	SPO0497	LSU ribosomal protein L5P	COG0094	
637287990	SPO0498	SSU ribosomal protein S14P	COG0199	
637287991	SPO0499	SSU ribosomal protein S8P	COG0096	
637287992	SPO0500	LSU ribosomal protein L6P	COG0097	
637287993	SPO0501	LSU ribosomal protein L18P	COG0256	
637287994	SPO0502	SSU ribosomal protein S5P	COG0098	
637287995	SPO0503	LSU ribosomal protein L30P	COG1841	
637287997	SPO0505	LSU ribosomal protein L15P	COG0200	
637288001	SPO0509	SSU ribosomal protein S13P	COG0099	
637288002	SPO0510	SSU ribosomal protein S11P	COG0100	
637288004	SPO0512	LSU ribosomal protein L17P	COG0203	
637288008	SPO0516	ribosomal large subunit pseudouridine synthase C (EC 5.4.99.24)	COG0564	
637288026	SPO0534	tRNA 2-thiocytidine biosynthesis protein TtcA	COG0037	
637288029	SPO0537	ribonuclease P protein component	COG0594	
637288154	SPO0667	histidyl-tRNA synthetase (EC 6.1.1.21)	COG0124	
637288178	SPO0691	GTP-binding protein Era	COG1159	
637288215	SPO0728	translation elongation factor 1A (EF-1A/EF-Tu)	COG0050	
637288289	SPO0802	SSU ribosomal protein S1P	COG0539	
637288298	SPO0811	peptidyl-tRNA hydrolase (EC 3.1.1.29)	COG0193	
637288299	SPO0812	LSU ribosomal protein L25P	COG1825	
637288304	SPO0817	GTP-binding protein YchF	COG0012	
637288334	SPO0847	non-ribosomal peptide synthetase	COG0223	
637288399	SPO0912	chaperonin csaA	COG0073	
637288413	SPO0926	aspartyl-tRNA synthetase (EC 6.1.1.12)	COG0173	
