"spo","pval_vib","gene","funct","NCBI","padj_vib","sig_vib","Vib_fold_diff","Mari_fold_diff","CC_fold_diff","pval_mari","padj_mari","sig_mari","pval_cc","padj_cc","sig_cc","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC"
"SPO0018",0,"argG","argininosuccinate synthase","SPO_RS00090",0,"yes",3.5,3,3.7,0,0,"yes",NA,NA,NA,0,0,0.1,0.1,0.07,0.04,0.12,0.07
"SPO0071",0,"SPO0071","competence protein F, putative","SPO_RS00360",0,"yes",-0.13,-0.098,-0.2,NA,NA,NA,0,0,"yes",1.06,0.02,0.97,0.03,0.99,0.03,0.92,0.04
"SPO0095",0,"pncB","nicotinate phosphoribosyltransferase","SPO_RS00480",0,"yes",0.11,0.11,0.063,NA,NA,NA,NA,NA,NA,0.89,0.02,0.96,0.01,0.96,0.01,0.93,0.03
"SPO0102",0,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","SPO_RS00515",0,"yes",0.43,0.42,0.44,0,0,"yes",0,0,"yes",0.74,0.03,1,0.01,0.99,0.01,1.01,0.02
"SPO0215",0,"leuD-1","3-isopropylmalate dehydratase, small subunit","SPO_RS01095",0,"yes",1.1,0.58,0.77,NA,NA,NA,0,0,"yes",0.19,0.02,0.42,0.03,0.29,0.07,0.33,0.04
"SPO0219",0,"SPO0219","iojap-related protein","SPO_RS01115",0,"yes",0.11,0.043,0.098,NA,NA,NA,NA,NA,NA,0.99,0.02,1.07,0.01,1.02,0.01,1.06,0.02
"SPO0253",0,"ilvE","branched-chain amino acid aminotransferase","SPO_RS01290",0,"yes",-0.12,-0.12,-0.16,0,0,"yes",NA,NA,NA,1.14,0.01,1.05,0.01,1.05,0.01,1.02,0
"SPO0289",0,"SPO0289","Ser/Thr protein phosphatase family protein","SPO_RS01470",0,"yes",0.27,0.16,0.17,NA,NA,NA,NA,NA,NA,0.78,0.02,0.94,0.03,0.87,0.04,0.88,0.03
"SPO0322",0,"SPO0322","hypothetical protein","SPO_RS22380",0,"yes",-0.14,-0.2,-0.17,0,0,"yes",0,0,"yes",1.15,0.02,1.04,0.02,1,0.03,1.02,0.1
"SPO0332",0,"argH","argininosuccinate lyase","SPO_RS01690",0,"yes",2.8,0,0,NA,NA,NA,NA,NA,NA,0,0,0.06,0.06,0,0,0,0
"SPO0344a",0,"SPO0344a","hypothetical protein","SPO_RS01750",0,"yes",0.75,0.57,0.86,0,0,"yes",NA,NA,NA,0.49,0.04,0.83,0.05,0.73,0.03,0.9,0.04
"SPO0388",0,"SPO0388","aminotransferase, class IV","SPO_RS01965",0,"yes",-0.12,-0.11,-0.12,0,0,"yes",0,0,"yes",1.12,0,1.03,0.02,1.04,0.01,1.03,0.01
"SPO0437",0,"SPO0437","cold shock family protein","SPO_RS02210",0,"yes",0.11,0.015,0.072,NA,NA,NA,NA,NA,NA,0.97,0.02,1.05,0.03,0.98,0.02,1.02,0.02
"SPO0590",0,"hpsR","transcriptional regulator, LacI family","SPO_RS02975",0,"yes",0.63,0.38,0.63,NA,NA,NA,NA,NA,NA,0.59,0.14,0.92,0.03,0.77,0.05,0.92,0.03
"SPO0655",0,"SPO0655","hypothetical protein","SPO_RS03310",0,"yes",-0.65,0.058,-0.092,NA,NA,NA,NA,NA,NA,0.96,0.03,0.61,0.16,1,0.04,0.9,0.06
"SPO0691",0,"era","GTP-binding protein Era","SPO_RS03490",0,"yes",0.78,0.84,0.58,0,0,"yes",NA,NA,NA,0.56,0.19,0.97,0.04,1.01,0.05,0.84,0.13
"SPO0779",0,"rpe","ribulose-phosphate 3-epimerase","SPO_RS03930",0,"yes",3.5,3,4.2,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.07,0.07,0.17,0.12
"SPO0801",0,"fadD","4-coumarate:CoA ligase","SPO_RS04040",0,"yes",-0.24,-0.044,-0.06,NA,NA,NA,NA,NA,NA,0.98,0.03,0.83,0.02,0.95,0.04,0.94,0.02
"SPO0882",0,"SPO0882","hypothetical protein","",0,"yes",0.15,0.071,0.014,NA,NA,NA,NA,NA,NA,0.98,0.05,1.09,0.01,1.03,0.05,0.99,0.09
"SPO0929",0,"SPO0929","type II DNA modification methyltransferase, putative","SPO_RS04675",0,"yes",-0.54,-0.14,-0.15,NA,NA,NA,NA,NA,NA,1.21,0.08,0.83,0.16,1.1,0.06,1.09,0.09
"SPO1004",0,"clpX","ATP-dependent Clp protease, ATP-binding subunit ClpX","SPO_RS05055",0,"yes",5.5,3.7,3.9,0,0,"yes",NA,NA,NA,0,0,0.43,0.25,0.12,0.12,0.14,0.14
"SPO1042",0,"SPO1042","hypothetical protein","SPO_RS05250",0,"yes",0.37,0.098,0.22,NA,NA,NA,NA,NA,NA,0.84,0.06,1.09,0.05,0.9,0.05,0.98,0.05
"SPO1094a",0,"SPO1094a","hypothetical protein","SPO_RS05555",0,"yes",-0.11,-0.055,-0.083,NA,NA,NA,NA,NA,NA,1.06,0.02,0.98,0.02,1.02,0.01,1,0.02
"SPO1109",0,"SPO1109","endonuclease/exonuclease/phosphatase family protein","SPO_RS05625",0,"yes",0.13,0.076,0.061,NA,NA,NA,NA,NA,NA,0.91,0.02,1,0.02,0.96,0.04,0.95,0.02
"SPO1240",0,"SPO1240","type I secretion outer membrane protein, TolC family","SPO_RS06315",0,"yes",0.9,0.42,0.9,NA,NA,NA,0,0,"yes",0.44,0.1,0.83,0.07,0.59,0.03,0.83,0.05
"SPO1293",0,"phaP","phasin, PhaP","SPO_RS06585",0,"yes",-0.14,-0.11,-0.19,NA,NA,NA,NA,NA,NA,1.04,0.05,0.94,0.05,0.96,0.05,0.91,0.07
"SPO1333",0,"SPO1333","periplasmic serine protease, DO/DeqQ family","SPO_RS06795",0,"yes",0.17,0.13,0.13,NA,NA,NA,NA,NA,NA,0.96,0.04,1.08,0.04,1.05,0.03,1.05,0.04
"SPO1351",0,"metZ","O-succinylhomoserine sulfhydrylase","SPO_RS06880",0,"yes",3,2.8,3.7,NA,NA,NA,NA,NA,NA,0,0,0.07,0.07,0.06,0.06,0.12,0.12
