spo,gene,funct,NCBI,meanW_rpomAlone,semW_rpomAlone,meanW_vib,semW_vib,meanW_mari,semW_mari,meanW_CC,semW_CC,Vib_fold_diff,pval_vib,padj_vib,Mari_fold_diff,pval_mari,padj_mari,CC_fold_diff,pval_cc,padj_cc
SPO0001,gidA,glucose inhibited division protein A,SPO_RS00005,0.82,0.04,0.79,0.02,0.81,0.01,0.82,0.04,-0.053,0.5074,1,-0.017,0.766,1,0,1.0364,1
SPO0002,gidB,glucose-inhibited division protein B,SPO_RS22355,1.02,0.02,1.04,0.01,1.05,0.01,1.06,0.01,0.028,0.9984,1,0.041,0.0264,0.367871698,0.055,1.0006,1
SPO0003,parA,chromosome partitioning protein ParA,SPO_RS00015,0.81,0.11,0.52,0.52,0,0,0.18,0.18,-0.63,0.6078,1,-6.4,0.06,0.605231608,-2.1,0.3386,1
SPO0005,SPO0005,hypothetical protein,SPO_RS00025,1.06,0.01,1.06,0.02,1.03,0.02,1.05,0.01,0,0,0,-0.041,0,0,-0.014,0,0
SPO0006,SPO0006,"oxygen-independent coproporphyrinogen III oxidase, putative",SPO_RS00030,1.03,0.01,1.01,0.01,1.02,0.01,1.03,0.01,-0.028,1,1,-0.014,1.0026,1,0,0.9948,1
SPO0007,SPO0007,"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family",SPO_RS00035,1.04,0.02,1.02,0.02,1.02,0.02,1.02,0.01,-0.028,1.0024,1,-0.028,1.3444,1,-0.028,1.0092,1
SPO0008,rph,ribonuclease PH,SPO_RS00040,0.98,0.01,0.96,0,0.99,0.01,0.96,0.02,-0.029,0.2028,1,0.014,0.395,1,-0.029,0.4248,1
SPO0009,hrcA,heat-inducible transcription repressor HrcA,SPO_RS00045,0.96,0.02,0.96,0.01,0.97,0.02,0.96,0.02,0,0.6124,1,0.015,0.7506,1,0,0.6784,1
SPO0010,grpE,co-chaperone GrpE,SPO_RS00050,0.36,0.21,0,0,0.56,0.21,0,0,-5.2,0.4362,1,0.62,0.5904,1,-5.2,0.436,1
SPO0011,mutS,DNA mismatch repair protein MutS,SPO_RS00055,0.99,0,0.99,0.01,1,0.01,0.99,0.01,0,0.4156,1,0.014,0.257,1,0,0.386,1
SPO0012,maeB,NADP-dependent malic enzyme,SPO_RS00060,1.02,0.02,1.04,0.01,1.04,0.01,1.04,0.01,0.028,1.002,1,0.028,0.9938,1,0.028,0.9966,1
SPO0013,rbsK,ribokinase,SPO_RS00065,1,0.02,0.99,0.01,0.99,0.02,1,0.01,-0.014,0.7994,1,-0.014,0.8032,1,0,0.906,1
