Gene ID	spo	Name	Function	
637287511	SPO0018	argininosuccinate synthase (EC 6.3.4.5)	COG0137	
637287513	SPO0020	L-threonine ammonia-lyase (EC 4.3.1.19)	COG1171	
637287539	SPO0046	glycine oxidase (EC 1.4.3.19)	COG0665	
637287553	SPO0059	glutamate N-acetyltransferase (EC 2.3.1.35)	COG1364	
637287593	SPO0099	peptide/opine/nickel uptake family ABC transporter, permease protein	COG1173	
637287594	SPO0100	peptide/opine/nickel uptake family ABC transporter, permease protein	COG0601	
637287595	SPO0101	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	COG0747	
637287613	SPO0120	inner membrane transporter RhtA	COG5006	
637287621	SPO0129	peptidase, T4 family	COG3191	
637287644	SPO0152	transporter, LysE family	COG1280	
637287699	SPO0207	dimethylglycine dehydrogenase (EC 1.5.99.2)	COG0665,COG0404	
637287702	SPO0210	3-isopropylmalate dehydrogenase	COG0473	
637287707	SPO0215	isopropylmalate isomerase small subunit	COG0066	
637287708	SPO0216	3-isopropylmalate dehydratase, large subunit (EC 4.2.1.33)	COG0065	
637287714	SPO0222	L-alanine dehydrogenase (EC 1.4.1.1)	COG0686	
637287720	SPO0228	hypothetical protein	COG0697	
637287726	SPO0234	hypothetical protein	COG1748	
637287745	SPO0253	branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42)	COG0115	
637287753	SPO0261	hypothetical protein	COG0697	
637287755	SPO0263	membrane protein	COG0697	
637287759	SPO0267	chorismate synthase (EC 4.2.3.5)	COG0082	
637287770	SPO0278	diaminopimelate epimerase (EC 5.1.1.7)	COG0253	
637287782	SPO0290	transmembrane amino acid efflux protein	COG1280	
637287797	SPO0305	AzlC family protein	COG1296	
637287824	SPO0332	argininosuccinate lyase	COG0165	
637287826	SPO0334	diaminopimelate decarboxylase	COG0019	
637287856	SPO0364	ornithine decarboxylase (EC 4.1.1.17)	COG0019	
637287880	SPO0388	branched-chain amino acid aminotransferase	COG0115	
637287882	SPO0390	leucine dehydrogenase (EC 1.4.1.9)	COG0334	
637287890	SPO0398	amino acid/amide ABC transporter substrate-binding protein, HAAT family (TC 3.A.1.4.-)	COG0683	
